Spain, Life tables (period 5x5), Females	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1908-1909        0      0.16207  0.14586  0.31  100000   14586   89996  4227115  42.27
1908-1909      1-4      0.04246  0.15247  1.32   85414   13023  306705  4137119  48.44
1908-1909      5-9      0.00692  0.03389  1.95   72391    2454  354471  3830414  52.91
1908-1909     10-14     0.00380  0.01882  2.61   69938    1316  346548  3475943  49.70
1908-1909     15-19     0.00572  0.02820  2.63   68622    1935  338529  3129395  45.60
1908-1909     20-24     0.00748  0.03675  2.57   66686    2451  327479  2790866  41.85
1908-1909     25-29     0.00772  0.03782  2.40   64235    2429  314857  2463387  38.35
1908-1909     30-34     0.00956  0.04661  2.31   61806    2881  301270  2148529  34.76
1908-1909     35-39     0.00836  0.04088  2.27   58925    2409  288038  1847259  31.35
1908-1909     40-44     0.01125  0.05451  2.13   56516    3081  273738  1559221  27.59
1908-1909     45-49     0.01002  0.04874  2.25   53436    2605  260018  1285482  24.06
1908-1909     50-54     0.01693  0.08079  2.17   50831    4107  242550  1025464  20.17
1908-1909     55-59     0.01720  0.08208  2.23   46724    3835  223008   782914  16.76
1908-1909     60-64     0.04152  0.18564  2.15   42889    7962  191775   559905  13.05
1908-1909     65-69     0.04621  0.20420  2.16   34927    7132  154360   368131  10.54
1908-1909     70-74     0.11151  0.41556  1.94   27795   11550  103583   213771   7.69
1908-1909     75-79     0.11781  0.43557  2.01   16244    7076   60060   110188   6.78
1908-1909     80-84     0.16550  0.55428  2.02    9169    5082   30707    50128   5.47
1908-1909     85-89     0.19045  0.61203  2.08    4087    2501   13133    19421   4.75
1908-1909     90-94     0.24618  0.68791  1.79    1586    1091    4431     6288   3.97
1908-1909     95-99     0.25603  0.72868  2.04     495     361    1408     1858   3.75
1908-1909    100-104    0.29033  0.77307  1.98     134     104     357      449   3.35
1908-1909    105-109    0.32717  0.81289  1.91      30      25      76       92   3.01
1908-1909    110+       0.35573  1.00000  2.81       6       6      16       16   2.81
1910-1914        0      0.16277  0.14642  0.31  100000   14642   89957  4312321  43.12
1910-1914      1-4      0.04168  0.14989  1.31   85358   12794  306987  4222364  49.47
1910-1914      5-9      0.00680  0.03331  1.98   72564    2417  355519  3915377  53.96
1910-1914     10-14     0.00360  0.01785  2.55   70146    1252  347659  3559858  50.75
1910-1914     15-19     0.00548  0.02706  2.62   68894    1865  340026  3212199  46.63
1910-1914     20-24     0.00713  0.03505  2.58   67030    2349  329459  2872173  42.85
1910-1914     25-29     0.00753  0.03692  2.41   64680    2388  317214  2542714  39.31
1910-1914     30-34     0.00817  0.04002  2.48   62293    2493  305187  2225500  35.73
1910-1914     35-39     0.00867  0.04238  2.34   59800    2534  292252  1920312  32.11
1910-1914     40-44     0.00952  0.04641  2.31   57266    2657  279183  1628061  28.43
1910-1914     45-49     0.01027  0.04998  2.33   54608    2729  265766  1348878  24.70
1910-1914     50-54     0.01399  0.06749  2.38   51879    3501  250214  1083112  20.88
1910-1914     55-59     0.01880  0.08955  2.37   48377    4332  230487   832898  17.22
1910-1914     60-64     0.03321  0.15269  2.37   44045    6725  202525   602411  13.68
1910-1914     65-69     0.04832  0.21359  2.29   37320    7971  164960   399886  10.72
1910-1914     70-74     0.08946  0.35898  2.25   29349   10536  117771   234926   8.00
1910-1914     75-79     0.14316  0.50612  2.11   18813    9522   66512   117155   6.23
1910-1914     80-84     0.16276  0.54843  2.03    9291    5096   31308    50643   5.45
1910-1914     85-89     0.19517  0.61984  2.06    4196    2601   13325    19335   4.61
1910-1914     90-94     0.25785  0.70137  1.75    1595    1119    4339     6009   3.77
1910-1914     95-99     0.27378  0.75364  2.02     476     359    1311     1671   3.51
1910-1914    100-104    0.31717  0.80384  1.93     117      94     297      360   3.07
1910-1914    105-109    0.36396  0.84685  1.84      23      19      54       62   2.71
1910-1914    110+       0.40097  1.00000  2.49       4       4       9        9   2.49
1915-1919        0      0.16369  0.14716  0.31  100000   14716   89906  4069707  40.70
1915-1919      1-4      0.04146  0.14938  1.34   85284   12740  307290  3979801  46.67
1915-1919      5-9      0.00830  0.04047  2.01   72544    2936  353950  3672510  50.62
1915-1919     10-14     0.00481  0.02379  2.57   69608    1656  344009  3318560  47.68
1915-1919     15-19     0.00725  0.03565  2.63   67952    2423  334012  2974551  43.77
1915-1919     20-24     0.00977  0.04774  2.60   65529    3128  320151  2640539  40.30
1915-1919     25-29     0.01099  0.05345  2.44   62401    3335  303471  2320389  37.19
1915-1919     30-34     0.01171  0.05678  2.37   59066    3354  286509  2016918  34.15
1915-1919     35-39     0.01058  0.05145  2.35   55712    2866  270965  1730409  31.06
1915-1919     40-44     0.01199  0.05800  2.21   52846    3065  255688  1459444  27.62
1915-1919     45-49     0.01107  0.05380  2.37   49781    2678  241866  1203756  24.18
1915-1919     50-54     0.01640  0.07848  2.26   47102    3696  225391   961890  20.42
1915-1919     55-59     0.01816  0.08682  2.46   43406    3768  207474   736499  16.97
1915-1919     60-64     0.03804  0.17228  2.26   39638    6829  179493   529026  13.35
1915-1919     65-69     0.04601  0.20526  2.38   32809    6734  146377   349532  10.65
1915-1919     70-74     0.10213  0.39372  2.09   26075   10266  100522   203155   7.79
1915-1919     75-79     0.12564  0.46673  2.25   15808    7378   58727   102633   6.49
1915-1919     80-84     0.17065  0.56523  2.01    8430    4765   27922    43906   5.21
1915-1919     85-89     0.20627  0.63844  2.02    3665    2340   11345    15984   4.36
1915-1919     90-94     0.27913  0.72703  1.71    1325     963    3452     4639   3.50
1915-1919     95-99     0.29368  0.77841  1.98     362     282     959     1188   3.28
1915-1919    100-104    0.34163  0.82797  1.89      80      66     194      229   2.86
1915-1919    105-109    0.39303  0.86914  1.79      14      12      30       35   2.51
1915-1919    110+       0.43402  1.00000  2.30       2       2       4        4   2.30
1920-1924        0      0.15990  0.14410  0.31  100000   14410   90117  4476185  44.76
1920-1924      1-4      0.03726  0.13546  1.31   85590   11594  311124  4386068  51.24
1920-1924      5-9      0.00598  0.02937  1.99   73997    2174  363448  4074944  55.07
1920-1924     10-14     0.00357  0.01771  2.59   71823    1272  356050  3711496  51.68
1920-1924     15-19     0.00536  0.02648  2.63   70551    1868  348327  3355447  47.56
1920-1924     20-24     0.00680  0.03346  2.59   68683    2298  337872  3007120  43.78
1920-1924     25-29     0.00746  0.03660  2.43   66385    2430  325679  2669248  40.21
1920-1924     30-34     0.00767  0.03761  2.46   63955    2405  313658  2343569  36.64
1920-1924     35-39     0.00821  0.04020  2.36   61550    2474  301210  2029912  32.98
1920-1924     40-44     0.00881  0.04302  2.33   59076    2541  288587  1728702  29.26
1920-1924     45-49     0.00970  0.04730  2.34   56534    2674  275570  1440115  25.47
1920-1924     50-54     0.01270  0.06146  2.41   53860    3310  260721  1164546  21.62
1920-1924     55-59     0.01740  0.08325  2.40   50550    4208  241796   903825  17.88
1920-1924     60-64     0.03035  0.14076  2.43   46341    6523  214921   662028  14.29
1920-1924     65-69     0.04477  0.19977  2.31   39818    7954  177671   447108  11.23
1920-1924     70-74     0.08064  0.33153  2.32   31864   10564  131005   269436   8.46
1920-1924     75-79     0.13516  0.48778  2.15   21300   10390   76868   138431   6.50
1920-1924     80-84     0.15278  0.52804  2.08   10910    5761   37708    61563   5.64
1920-1924     85-89     0.19311  0.61572  2.06    5149    3170   16418    23855   4.63
1920-1924     90-94     0.25557  0.69973  1.77    1979    1385    5418     7437   3.76
1920-1924     95-99     0.28183  0.76483  2.01     594     454    1612     2019   3.40
1920-1924    100-104    0.33376  0.82129  1.91     140     115     344      407   2.91
1920-1924    105-109    0.39001  0.86760  1.80      25      22      56       63   2.53
1920-1924    110+       0.43515  1.00000  2.30       3       3       8        8   2.30
1925-1929        0      0.12959  0.11901  0.31  100000   11901   91837  4992835  49.93
1925-1929      1-4      0.02641  0.09855  1.27   88099    8682  328736  4900997  55.63
1925-1929      5-9      0.00438  0.02161  2.03   79417    1716  391995  4572261  57.57
1925-1929     10-14     0.00280  0.01390  2.63   77701    1080  385949  4180266  53.80
1925-1929     15-19     0.00458  0.02267  2.68   76621    1737  379073  3794317  49.52
1925-1929     20-24     0.00571  0.02815  2.57   74884    2108  369301  3415244  45.61
1925-1929     25-29     0.00601  0.02959  2.46   72776    2154  358399  3045943  41.85
1925-1929     30-34     0.00651  0.03201  2.45   70622    2261  347336  2687544  38.06
1925-1929     35-39     0.00665  0.03269  2.44   68362    2235  336095  2340208  34.23
1925-1929     40-44     0.00788  0.03860  2.31   66127    2552  323770  2004113  30.31
1925-1929     45-49     0.00836  0.04091  2.45   63574    2601  311251  1680343  26.43
1925-1929     50-54     0.01213  0.05878  2.39   60974    3584  295524  1369092  22.45
1925-1929     55-59     0.01496  0.07211  2.51   57390    4138  276655  1073567  18.71
1925-1929     60-64     0.02913  0.13532  2.39   53252    7206  247416   796913  14.97
1925-1929     65-69     0.03973  0.18014  2.42   46046    8295  208795   549497  11.93
1925-1929     70-74     0.07780  0.32075  2.26   37751   12109  155628   340702   9.03
1925-1929     75-79     0.11135  0.42911  2.33   25642   11003   98818   185074   7.22
1925-1929     80-84     0.14308  0.50972  2.18   14639    7462   52149    86255   5.89
1925-1929     85-89     0.18918  0.60845  2.07    7177    4367   23084    34106   4.75
1925-1929     90-94     0.23797  0.68227  1.87    2810    1917    8057    11021   3.92
1925-1929     95-99     0.28772  0.77309  2.01     893     690    2399     2964   3.32
1925-1929    100-104    0.34851  0.83580  1.89     203     169     486      565   2.79
1925-1929    105-109    0.41461  0.88489  1.76      33      29      71       79   2.38
1925-1929    110+       0.46824  1.00000  2.14       4       4       8        8   2.14
1930-1934        0      0.12404  0.11432  0.31  100000   11432   92159  5260778  52.61
1930-1934      1-4      0.02115  0.07996  1.25   88568    7082  334772  5168619  58.36
1930-1934      5-9      0.00346  0.01711  2.07   81486    1394  403347  4833847  59.32
1930-1934     10-14     0.00235  0.01168  2.61   80092     935  398225  4430500  55.32
1930-1934     15-19     0.00378  0.01874  2.67   79157    1483  392325  4032275  50.94
1930-1934     20-24     0.00502  0.02482  2.61   77673    1928  383764  3639950  46.86
1930-1934     25-29     0.00529  0.02612  2.43   75746    1978  373650  3256186  42.99
1930-1934     30-34     0.00552  0.02723  2.51   73767    2008  363834  2882536  39.08
1930-1934     35-39     0.00614  0.03021  2.40   71759    2168  353159  2518701  35.10
1930-1934     40-44     0.00678  0.03333  2.42   69591    2319  341967  2165542  31.12
1930-1934     45-49     0.00794  0.03890  2.40   67272    2617  329549  1823575  27.11
1930-1934     50-54     0.01057  0.05149  2.52   64655    3329  315004  1494026  23.11
1930-1934     55-59     0.01498  0.07217  2.46   61326    4426  295378  1179022  19.23
1930-1934     60-64     0.02521  0.11863  2.52   56900    6750  267756   883644  15.53
1930-1934     65-69     0.03817  0.17340  2.36   50150    8696  227835   615888  12.28
1930-1934     70-74     0.06956  0.29558  2.46   41454   12253  176141   388054   9.36
1930-1934     75-79     0.11303  0.43130  2.25   29201   12594  111423   211913   7.26
1930-1934     80-84     0.13726  0.49753  2.24   16606    8262   60192   100489   6.05
1930-1934     85-89     0.18852  0.61125  2.12    8344    5100   27055    40297   4.83
1930-1934     90-94     0.22475  0.66260  1.90    3244    2149    9563    13242   4.08
1930-1934     95-99     0.28337  0.76807  2.02    1094     841    2967     3679   3.36
1930-1934    100-104    0.34583  0.83371  1.89     254     212     612      712   2.81
1930-1934    105-109    0.41404  0.88478  1.76      42      37      90      101   2.38
1930-1934    110+       0.46953  1.00000  2.13       5       5      10       10   2.13
1935-1939        0      0.12047  0.11127  0.31  100000   11127   92368  5333822  53.34
1935-1939      1-4      0.01819  0.06934  1.28   88873    6163  338758  5241454  58.98
1935-1939      5-9      0.00368  0.01820  2.11   82710    1505  409196  4902696  59.28
1935-1939     10-14     0.00242  0.01201  2.61   81205     976  403698  4493501  55.34
1935-1939     15-19     0.00369  0.01827  2.66   80230    1466  397715  4089803  50.98
1935-1939     20-24     0.00475  0.02347  2.56   78764    1849  389314  3692088  46.88
1935-1939     25-29     0.00504  0.02488  2.47   76915    1913  379740  3302774  42.94
1935-1939     30-34     0.00527  0.02599  2.43   75002    1949  369994  2923034  38.97
1935-1939     35-39     0.00586  0.02886  2.48   73052    2109  359943  2553039  34.95
1935-1939     40-44     0.00701  0.03439  2.37   70944    2440  348296  2193096  30.91
1935-1939     45-49     0.00824  0.04035  2.47   68504    2764  335534  1844801  26.93
1935-1939     50-54     0.01137  0.05525  2.41   65740    3632  319297  1509267  22.96
1935-1939     55-59     0.01468  0.07085  2.53   62108    4400  299677  1189970  19.16
1935-1939     60-64     0.02589  0.12143  2.45   57708    7007  270649   890293  15.43
1935-1939     65-69     0.03820  0.17391  2.43   50701    8817  230806   619643  12.22
1935-1939     70-74     0.06992  0.29455  2.33   41883   12337  176449   388837   9.28
1935-1939     75-79     0.10612  0.41445  2.36   29547   12246  115396   212388   7.19
1935-1939     80-84     0.14946  0.52581  2.18   17301    9097   60867    96992   5.61
1935-1939     85-89     0.20609  0.64475  2.10    8204    5290   25666    36125   4.40
1935-1939     90-94     0.26224  0.71175  1.79    2914    2074    7910    10459   3.59
1935-1939     95-99     0.31680  0.80638  1.96     840     677    2138     2549   3.03
1935-1939    100-104    0.38714  0.86729  1.82     163     141     364      411   2.52
1935-1939    105-109    0.46251  0.91183  1.68      22      20      43       46   2.14
1935-1939    110+       0.52389  1.00000  1.91       2       2       4        4   1.91
1940-1944        0      0.12404  0.11431  0.31  100000   11431   92159  5530274  55.30
1940-1944      1-4      0.01473  0.05669  1.31   88569    5021  340748  5438115  61.40
1940-1944      5-9      0.00297  0.01471  2.13   83548    1229  414211  5097367  61.01
1940-1944     10-14     0.00207  0.01030  2.61   82319     848  409568  4683156  56.89
1940-1944     15-19     0.00318  0.01578  2.65   81471    1286  404337  4273589  52.46
1940-1944     20-24     0.00418  0.02070  2.57   80185    1660  396889  3869251  48.25
1940-1944     25-29     0.00444  0.02196  2.47   78525    1725  388256  3472362  44.22
1940-1944     30-34     0.00475  0.02345  2.52   76801    1801  379538  3084107  40.16
1940-1944     35-39     0.00521  0.02569  2.45   74999    1927  370088  2704569  36.06
1940-1944     40-44     0.00597  0.02938  2.48   73073    2147  359948  2334481  31.95
1940-1944     45-49     0.00744  0.03653  2.46   70926    2591  348044  1974533  27.84
1940-1944     50-54     0.00999  0.04873  2.54   68335    3330  333493  1626490  23.80
1940-1944     55-59     0.01397  0.06749  2.50   65004    4387  314048  1292997  19.89
1940-1944     60-64     0.02255  0.10679  2.53   60617    6473  287109   978949  16.15
1940-1944     65-69     0.03471  0.15924  2.41   54144    8622  248386   691839  12.78
1940-1944     70-74     0.06153  0.26633  2.48   45522   12124  197043   443453   9.74
1940-1944     75-79     0.10015  0.39430  2.30   33398   13169  131498   246409   7.38
1940-1944     80-84     0.14454  0.51724  2.25   20229   10463   72389   114912   5.68
1940-1944     85-89     0.20826  0.65183  2.13    9766    6366   30566    42522   4.35
1940-1944     90-94     0.26388  0.72401  1.88    3400    2462    9329    11957   3.52
1940-1944     95-99     0.34442  0.83464  1.91     938     783    2274     2627   2.80
1940-1944    100-104    0.43110  0.89678  1.74     155     139     323      353   2.28
1940-1944    105-109    0.52234  0.93747  1.58      16      15      29       30   1.90
1940-1944    110+       0.59633  1.00000  1.68       1       1       2        2   1.68
1945-1949        0      0.07813  0.07416  0.31  100000    7416   94914  6208484  62.08
1945-1949      1-4      0.00844  0.03302  1.40   92584    3057  362375  6113570  66.03
1945-1949      5-9      0.00218  0.01085  2.15   89527     971  444872  5751195  64.24
1945-1949     10-14     0.00156  0.00776  2.61   88556     687  441142  5306323  59.92
1945-1949     15-19     0.00257  0.01275  2.71   87869    1120  436780  4865181  55.37
1945-1949     20-24     0.00344  0.01708  2.60   86749    1481  430191  4428401  51.05
1945-1949     25-29     0.00372  0.01842  2.47   85267    1571  422357  3998210  46.89
1945-1949     30-34     0.00356  0.01764  2.46   83697    1476  414739  3575853  42.72
