Scotland, Life tables (period 5x5), Females	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1855-1859        0      0.11544  0.10697  0.31  100000   10697   92663  4502979  45.03
1855-1859      1-4      0.03628  0.13270  1.42   89303   11850  326664  4410316  49.39
1855-1859      5-9      0.00889  0.04331  1.98   77453    3354  377141  4083651  52.72
1855-1859     10-14     0.00464  0.02295  2.52   74099    1701  366277  3706511  50.02
1855-1859     15-19     0.00616  0.03036  2.61   72398    2198  356734  3340234  46.14
1855-1859     20-24     0.00781  0.03831  2.55   70200    2689  344409  2983500  42.50
1855-1859     25-29     0.00880  0.04307  2.53   67511    2907  330366  2639091  39.09
1855-1859     30-34     0.00986  0.04812  2.52   64603    3109  315308  2308725  35.74
1855-1859     35-39     0.01048  0.05106  2.50   61494    3140  299630  1993418  32.42
1855-1859     40-44     0.01158  0.05628  2.51   58355    3284  283593  1693787  29.03
1855-1859     45-49     0.01210  0.05872  2.53   55071    3234  267368  1410194  25.61
1855-1859     50-54     0.01649  0.07930  2.59   51837    4111  249258  1142826  22.05
1855-1859     55-59     0.01884  0.09005  2.55   47726    4298  228104   893567  18.72
1855-1859     60-64     0.03085  0.14375  2.63   43428    6243  202335   665464  15.32
1855-1859     65-69     0.04057  0.18455  2.55   37185    6863  169141   463129  12.45
1855-1859     70-74     0.06796  0.29156  2.56   30323    8841  130082   293988   9.70
1855-1859     75-79     0.09578  0.38455  2.44   21482    8261   86251   163906   7.63
1855-1859     80-84     0.14071  0.51551  2.41   13221    6816   48436    77655   5.87
1855-1859     85-89     0.19771  0.63596  2.20    6405    4074   20604    29219   4.56
1855-1859     90-94     0.24888  0.72450  2.12    2332    1689    6788     8615   3.69
1855-1859     95-99     0.33820  0.82930  1.93     642     533    1575     1827   2.84
1855-1859    100-104    0.42696  0.89469  1.75     110      98     230      252   2.30
1855-1859    105-109    0.52081  0.93714  1.58      12      11      21       22   1.90
1855-1859    110+       0.59704  1.00000  1.67       1       1       1        1   1.67
1860-1864        0      0.12216  0.11272  0.31  100000   11272   92269  4301873  43.02
1860-1864      1-4      0.04054  0.14682  1.42   88728   13027  321366  4209605  47.44
1860-1864      5-9      0.00954  0.04640  2.03   75701    3512  368068  3888238  51.36
1860-1864     10-14     0.00539  0.02660  2.53   72189    1920  356197  3520170  48.76
1860-1864     15-19     0.00727  0.03572  2.60   70268    2510  345310  3163973  45.03
1860-1864     20-24     0.00855  0.04187  2.53   67758    2837  331782  2818663  41.60
1860-1864     25-29     0.00962  0.04695  2.50   64921    3048  316998  2486881  38.31
1860-1864     30-34     0.00996  0.04858  2.52   61873    3006  301904  2169883  35.07
1860-1864     35-39     0.01167  0.05672  2.53   58867    3339  286081  1867979  31.73
1860-1864     40-44     0.01202  0.05832  2.48   55528    3238  269489  1581898  28.49
1860-1864     45-49     0.01374  0.06647  2.56   52290    3476  252970  1312409  25.10
1860-1864     50-54     0.01605  0.07717  2.50   48814    3767  234649  1059439  21.70
1860-1864     55-59     0.02062  0.09834  2.66   45047    4430  214874   824790  18.31
1860-1864     60-64     0.03061  0.14224  2.52   40617    5777  188759   609916  15.02
1860-1864     65-69     0.04240  0.19261  2.63   34840    6710  158276   421157  12.09
1860-1864     70-74     0.07076  0.30097  2.52   28129    8466  119647   262881   9.35
1860-1864     75-79     0.10465  0.41403  2.48   19663    8141   77797   143234   7.28
1860-1864     80-84     0.14855  0.53495  2.39   11522    6164   41493    65437   5.68
1860-1864     85-89     0.20337  0.64646  2.18    5358    3464   17033    23944   4.47
1860-1864     90-94     0.25356  0.73011  2.10    1894    1383    5455     6911   3.65
1860-1864     95-99     0.33824  0.82875  1.92     511     424    1253     1456   2.85
1860-1864    100-104    0.42200  0.89128  1.76      88      78     185      203   2.32
1860-1864    105-109    0.51059  0.93311  1.60      10       9      17       18   1.94
1860-1864    110+       0.58260  1.00000  1.72       1       1       1        1   1.72
1865-1869        0      0.12128  0.11196  0.31  100000   11196   92321  4380879  43.81
1865-1869      1-4      0.03501  0.12850  1.44   88804   11412  325951  4288558  48.29
1865-1869      5-9      0.00897  0.04368  2.01   77392    3381  376856  3962607  51.20
1865-1869     10-14     0.00513  0.02533  2.56   74012    1874  365479  3585751  48.45
1865-1869     15-19     0.00733  0.03601  2.61   72137    2598  354467  3220272  44.64
1865-1869     20-24     0.00869  0.04252  2.53   69539    2957  340388  2865805  41.21
1865-1869     25-29     0.00962  0.04700  2.51   66582    3129  325115  2525418  37.93
1865-1869     30-34     0.01013  0.04941  2.51   63453    3135  309464  2200303  34.68
1865-1869     35-39     0.01165  0.05663  2.54   60318    3416  293185  1890838  31.35
1865-1869     40-44     0.01326  0.06415  2.50   56902    3651  275389  1597653  28.08
1865-1869     45-49     0.01402  0.06776  2.54   53251    3608  257375  1322264  24.83
1865-1869     50-54     0.01851  0.08853  2.54   49643    4395  237421  1064889  21.45
1865-1869     55-59     0.02022  0.09634  2.56   45248    4359  215586   827468  18.29
1865-1869     60-64     0.03316  0.15361  2.61   40889    6281  189442   611882  14.96
