Israel, Total Population, Life tables (period 5x5), Females	Last modified: 31 Oct 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1983-1984        0      0.01298  0.01283  0.12  100000    1283   98874  7672624  76.73
1983-1984      1-4      0.00069  0.00274  1.46   98717     271  394181  7573750  76.72
1983-1984      5-9      0.00024  0.00121  2.40   98446     119  491921  7179569  72.93
1983-1984     10-14     0.00021  0.00103  2.83   98327     101  491415  6687648  68.01
1983-1984     15-19     0.00031  0.00154  2.81   98226     152  490796  6196233  63.08
1983-1984     20-24     0.00032  0.00159  2.54   98074     156  489986  5705437  58.17
1983-1984     25-29     0.00040  0.00201  2.59   97918     197  489116  5215451  53.26
1983-1984     30-34     0.00057  0.00283  2.80   97721     277  487996  4726335  48.37
1983-1984     35-39     0.00078  0.00390  2.58   97444     380  486303  4238340  43.49
1983-1984     40-44     0.00136  0.00679  2.73   97064     659  483827  3752036  38.66
1983-1984     45-49     0.00219  0.01089  2.80   96405    1049  479718  3268209  33.90
1983-1984     50-54     0.00390  0.01935  2.78   95356    1845  472687  2788492  29.24
1983-1984     55-59     0.00651  0.03205  2.68   93510    2997  460591  2315804  24.77
1983-1984     60-64     0.01129  0.05505  2.71   90514    4983  441177  1855214  20.50
1983-1984     65-69     0.01990  0.09495  2.59   85531    8121  408089  1414037  16.53
1983-1984     70-74     0.03303  0.15329  2.66   77410   11866  359285  1005948  13.00
1983-1984     75-79     0.06034  0.26295  2.56   65544   17235  285618   646663   9.87
1983-1984     80-84     0.09190  0.37570  2.57   48309   18150  197494   361045   7.47
1983-1984     85-89     0.15030  0.53989  2.39   30160   16283  108339   163552   5.42
1983-1984     90-94     0.22311  0.69238  2.26   13877    9608   43064    55213   3.98
1983-1984     95-99     0.33422  0.83009  1.97    4269    3543   10602    12150   2.85
1983-1984    100-104    0.45964  0.91532  1.71     725     664    1444     1548   2.13
1983-1984    105-109    0.59102  0.95933  1.48      61      59     100      103   1.68
1983-1984    110+       0.69458  1.00000  1.44       2       2       4        4   1.44
1985-1989        0      0.01027  0.01018  0.13  100000    1018   99112  7765073  77.65
1985-1989      1-4      0.00049  0.00198  1.41   98982     196  395422  7665961  77.45
1985-1989      5-9      0.00020  0.00101  2.37   98787     100  493669  7270539  73.60
1985-1989     10-14     0.00017  0.00083  2.39   98687      82  493218  6776869  68.67
1985-1989     15-19     0.00029  0.00146  2.65   98604     144  492684  6283651  63.73
1985-1989     20-24     0.00036  0.00178  2.51   98461     175  491866  5790967  58.82
1985-1989     25-29     0.00039  0.00194  2.66   98286     191  490981  5299101  53.92
1985-1989     30-34     0.00053  0.00264  2.69   98095     259  489873  4808119  49.02
1985-1989     35-39     0.00075  0.00376  2.73   97835     368  488341  4318246  44.14
1985-1989     40-44     0.00132  0.00659  2.76   97467     643  485897  3829905  39.29
1985-1989     45-49     0.00201  0.01001  2.70   96825     969  481896  3344009  34.54
1985-1989     50-54     0.00360  0.01786  2.71   95855    1712  475360  2862112  29.86
1985-1989     55-59     0.00646  0.03184  2.72   94144    2998  463881  2386753  25.35
1985-1989     60-64     0.01047  0.05110  2.67   91146    4658  444895  1922871  21.10
1985-1989     65-69     0.01865  0.08942  2.70   86488    7734  414658  1477977  17.09
1985-1989     70-74     0.03169  0.14744  2.65   78754   11612  366446  1063319  13.50
1985-1989     75-79     0.05716  0.25180  2.64   67143   16907  295782   696873  10.38
1985-1989     80-84     0.08134  0.33911  2.55   50236   17036  209439   401091   7.98
1985-1989     85-89     0.13743  0.50724  2.42   33200   16841  122544   191652   5.77
1985-1989     90-94     0.20312  0.64832  2.21   16360   10606   52217    69108   4.22
1985-1989     95-99     0.32199  0.81892  2.00    5753    4712   14632    16892   2.94
1985-1989    100-104    0.45144  0.91188  1.73    1042     950    2104     2259   2.17
1985-1989    105-109    0.58848  0.95904  1.49      92      88     150      155   1.69
1985-1989    110+       0.69663  1.00000  1.44       4       4       5        5   1.44
1990-1994        0      0.00831  0.00825  0.13  100000     825   99284  7898408  78.98
1990-1994      1-4      0.00044  0.00176  1.55   99175     175  396274  7799124  78.64
1990-1994      5-9      0.00019  0.00095  2.13   99001      94  494732  7402850  74.78
1990-1994     10-14     0.00014  0.00070  2.44   98906      69  494353  6908118  69.85
1990-1994     15-19     0.00023  0.00116  2.81   98837     114  493933  6413765  64.89
1990-1994     20-24     0.00031  0.00153  2.43   98722     151  493225  5919831  59.96
1990-1994     25-29     0.00034  0.00171  2.41   98572     168  492424  5426606  55.05
1990-1994     30-34     0.00049  0.00244  2.68   98404     240  491461  4934182  50.14
1990-1994     35-39     0.00068  0.00341  2.67   98163     335  490037  4442721  45.26
1990-1994     40-44     0.00120  0.00601  2.66   97828     588  487767  3952684  40.40
1990-1994     45-49     0.00197  0.00983  2.70   97241     956  484007  3464918  35.63
1990-1994     50-54     0.00311  0.01546  2.67   96285    1489  477949  2980911  30.96
1990-1994     55-59     0.00552  0.02726  2.72   94796    2584  468088  2502962  26.40
1990-1994     60-64     0.00978  0.04781  2.72   92212    4409  450990  2034874  22.07
1990-1994     65-69     0.01601  0.07720  2.69   87803    6779  423349  1583885  18.04
1990-1994     70-74     0.02843  0.13330  2.67   81025   10801  379934  1160535  14.32
1990-1994     75-79     0.04792  0.21506  2.62   70224   15102  315125   780601  11.12
1990-1994     80-84     0.07460  0.31583  2.57   55122   17409  233379   465476   8.44
1990-1994     85-89     0.12119  0.46279  2.45   37713   17453  144015   232097   6.15
1990-1994     90-94     0.19902  0.64576  2.28   20260   13083   65736    88082   4.35
1990-1994     95-99     0.30062  0.79629  2.05    7177    5715   19010    22346   3.11
1990-1994    100-104    0.42720  0.89914  1.78    1462    1315    3077     3336   2.28
1990-1994    105-109    0.56454  0.95319  1.53     147     141     249      259   1.76
1990-1994    110+       0.67479  1.00000  1.48       7       7      10       10   1.48
1995-1999        0      0.00590  0.00587  0.14  100000     587   99493  8018740  80.19
1995-1999      1-4      0.00033  0.00132  1.56   99413     131  397333  7919247  79.66
1995-1999      5-9      0.00013  0.00065  2.34   99282      64  496239  7521914  75.76
1995-1999     10-14     0.00011  0.00056  2.84   99218      56  495968  7025675  70.81
1995-1999     15-19     0.00023  0.00113  2.70   99162     112  495552  6529707  65.85
1995-1999     20-24     0.00026  0.00128  2.46   99050     127  494928  6034154  60.92
1995-1999     25-29     0.00029  0.00143  2.43   98923     142  494252  5539226  56.00
1995-1999     30-34     0.00048  0.00239  2.60   98781     236  493342  5044975  51.07
1995-1999     35-39     0.00065  0.00325  2.62   98546     321  491966  4551632  46.19
1995-1999     40-44     0.00105  0.00525  2.68   98225     515  489931  4059666  41.33
1995-1999     45-49     0.00171  0.00854  2.72   97710     834  486647  3569735  36.53
1995-1999     50-54     0.00280  0.01392  2.71   96876    1348  481285  3083088  31.83
1995-1999     55-59     0.00460  0.02275  2.66   95528    2173  472554  2601803  27.24
1995-1999     60-64     0.00819  0.04023  2.73   93354    3755  458243  2129249  22.81
1995-1999     65-69     0.01411  0.06832  2.70   89599    6122  433895  1671007  18.65
1995-1999     70-74     0.02386  0.11302  2.67   83477    9434  395428  1237112  14.82
1995-1999     75-79     0.04270  0.19402  2.65   74043   14366  336476   841684  11.37
1995-1999     80-84     0.07354  0.31196  2.57   59677   18617  253150   505208   8.47
1995-1999     85-89     0.12398  0.47180  2.47   41060   19372  156247   252059   6.14
1995-1999     90-94     0.19191  0.62851  2.26   21688   13631   71030    95811   4.42
1995-1999     95-99     0.30475  0.80117  2.04    8057    6455   21181    24781   3.08
1995-1999    100-104    0.43431  0.90330  1.77    1602    1447    3332     3600   2.25
1995-1999    105-109    0.57408  0.95575  1.51     155     148     258      268   1.73
