Japan, Life tables (period 5x5), Females	Last modified: 05 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1947-1949        0      0.06757  0.06456  0.31  100000    6456   95539  5729168  57.29
1947-1949      1-4      0.01254  0.04858  1.43   93544    4545  362477  5633630  60.22
1947-1949      5-9      0.00250  0.01240  2.06   89000    1103  441756  5271153  59.23
1947-1949     10-14     0.00163  0.00810  2.62   87896     712  437789  4829396  54.94
1947-1949     15-19     0.00376  0.01867  2.84   87184    1628  432401  4391607  50.37
1947-1949     20-24     0.00660  0.03250  2.57   85556    2781  421029  3959206  46.28
1947-1949     25-29     0.00667  0.03281  2.45   82776    2716  406947  3538177  42.74
1947-1949     30-34     0.00631  0.03105  2.48   80060    2486  394023  3131229  39.11
1947-1949     35-39     0.00647  0.03183  2.52   77574    2469  381754  2737206  35.29
1947-1949     40-44     0.00713  0.03505  2.52   75105    2632  369007  2355453  31.36
1947-1949     45-49     0.00839  0.04112  2.59   72472    2980  355166  1986446  27.41
1947-1949     50-54     0.01143  0.05560  2.59   69493    3864  338168  1631279  23.47
1947-1949     55-59     0.01577  0.07601  2.62   65629    4989  316294  1293111  19.70
1947-1949     60-64     0.02420  0.11445  2.63   60640    6940  286740   976817  16.11
1947-1949     65-69     0.03702  0.17002  2.61   53700    9130  246635   690077  12.85
1947-1949     70-74     0.05859  0.25634  2.56   44570   11425  195004   443442   9.95
1947-1949     75-79     0.09233  0.37573  2.52   33145   12454  134883   248437   7.50
1947-1949     80-84     0.14744  0.53169  2.38   20692   11002   74619   113554   5.49
1947-1949     85-89     0.22252  0.68801  2.23    9690    6667   29961    38935   4.02
1947-1949     90-94     0.31896  0.81395  1.99    3023    2461    7715     8974   2.97
1947-1949     95-99     0.43672  0.90307  1.75     562     508    1163     1259   2.24
1947-1949    100-104    0.56088  0.95143  1.53      55      52      92       96   1.77
1947-1949    105-109    0.67879  0.97485  1.34       3       3       4        4   1.47
1947-1949    110+       0.76632  1.00000  1.30       0       0       0        0   1.30
1950-1954        0      0.04850  0.04676  0.23  100000    4676   96422  6389448  63.89
1950-1954      1-4      0.00709  0.02789  1.60   95324    2659  374922  6293026  66.02
1950-1954      5-9      0.00160  0.00796  1.98   92665     738  461098  5918104  63.87
1950-1954     10-14     0.00089  0.00446  2.59   91927     410  458647  5457006  59.36
1950-1954     15-19     0.00168  0.00837  2.84   91517     766  455933  4998359  54.62
1950-1954     20-24     0.00298  0.01481  2.64   90751    1344  450581  4542426  50.05
1950-1954     25-29     0.00351  0.01741  2.52   89407    1556  443179  4091845  45.77
1950-1954     30-34     0.00369  0.01830  2.51   87850    1608  435256  3648666  41.53
1950-1954     35-39     0.00413  0.02044  2.56   86243    1763  426909  3213410  37.26
1950-1954     40-44     0.00489  0.02415  2.57   84480    2040  417432  2786502  32.98
1950-1954     45-49     0.00645  0.03179  2.63   82440    2620  405984  2369070  28.74
1950-1954     50-54     0.00911  0.04456  2.62   79820    3557  390630  1963086  24.59
1950-1954     55-59     0.01324  0.06417  2.64   76262    4894  369755  1572456  20.62
1950-1954     60-64     0.02024  0.09660  2.65   71368    6894  340670  1202701  16.85
1950-1954     65-69     0.03330  0.15437  2.64   64474    9953  298835   862031  13.37
1950-1954     70-74     0.05401  0.23887  2.58   54522   13024  241131   563196  10.33
1950-1954     75-79     0.08656  0.35594  2.51   41498   14771  170643   322065   7.76
1950-1954     80-84     0.13919  0.51130  2.41   26727   13666   98176   151422   5.67
1950-1954     85-89     0.21642  0.67623  2.23   13062    8833   40813    53246   4.08
1950-1954     90-94     0.32260  0.82007  2.00    4229    3468   10751    12432   2.94
1950-1954     95-99     0.44255  0.90685  1.75     761     690    1559     1682   2.21
1950-1954    100-104    0.57395  0.95525  1.51      71      68     118      123   1.73
1950-1954    105-109    0.69682  0.97746  1.32       3       3       4        5   1.43
1950-1954    110+       0.78610  1.00000  1.27       0       0       0        0   1.27
1955-1959        0      0.03505  0.03407  0.18  100000    3407   97215  6841152  68.41
1955-1959      1-4      0.00336  0.01335  1.68   96593    1290  383379  6743937  69.82
1955-1959      5-9      0.00101  0.00502  1.97   95303     479  475066  6360557  66.74
