Norway, Life tables (period 5x5), Females	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1846-1849        0      0.10700  0.09968  0.31  100000    9968   93163  4804900  48.05
1846-1849      1-4      0.02977  0.11078  1.48   90032    9973  334956  4711738  52.33
1846-1849      5-9      0.00799  0.03905  2.16   80058    3126  391421  4376782  54.67
1846-1849     10-14     0.00388  0.01921  2.52   76932    1478  380997  3985361  51.80
1846-1849     15-19     0.00474  0.02344  2.52   75455    1768  372887  3604364  47.77
1846-1849     20-24     0.00567  0.02793  2.52   73686    2058  363336  3231477  43.85
1846-1849     25-29     0.00627  0.03089  2.57   71628    2213  352762  2868142  40.04
1846-1849     30-34     0.00814  0.03993  2.60   69415    2772  340427  2515380  36.24
1846-1849     35-39     0.00956  0.04668  2.52   66643    3111  325507  2174952  32.64
1846-1849     40-44     0.01043  0.05083  2.53   63532    3230  309671  1849445  29.11
1846-1849     45-49     0.01127  0.05484  2.56   60303    3307  293428  1539774  25.53
1846-1849     50-54     0.01513  0.07296  2.58   56995    4158  274904  1246346  21.87
1846-1849     55-59     0.01984  0.09479  2.65   52837    5008  252433   971442  18.39
1846-1849     60-64     0.03104  0.14428  2.56   47829    6901  222306   719009  15.03
1846-1849     65-69     0.04280  0.19383  2.57   40928    7933  185342   496703  12.14
1846-1849     70-74     0.06399  0.27845  2.67   32995    9187  143564   311361   9.44
1846-1849     75-79     0.11694  0.44973  2.43   23808   10707   91560   167797   7.05
1846-1849     80-84     0.13939  0.51063  2.38   13101    6690   47992    76237   5.82
1846-1849     85-89     0.19532  0.63831  2.29    6411    4092   20951    28244   4.41
1846-1849     90-94     0.30164  0.78601  1.95    2319    1823    6042     7293   3.15
1846-1849     95-99     0.38452  0.86930  1.85     496     431    1122     1251   2.52
1846-1849    100-104    0.49553  0.92921  1.64      65      60     122      129   1.99
1846-1849    105-109    0.60752  0.96203  1.45       5       4       7        8   1.64
1846-1849    110+       0.69520  1.00000  1.44       0       0       0        0   1.44
1850-1854        0      0.09271  0.08717  0.31  100000    8717   94021  5107064  51.07
1850-1854      1-4      0.02077  0.07893  1.46   91283    7205  346843  5013043  54.92
1850-1854      5-9      0.00593  0.02917  2.13   84078    2452  413349  4666200  55.50
1850-1854     10-14     0.00409  0.02022  2.49   81626    1650  403984  4252851  52.10
1850-1854     15-19     0.00449  0.02223  2.57   79975    1777  395559  3848867  48.13
1850-1854     20-24     0.00619  0.03048  2.54   78198    2383  385133  3453308  44.16
1850-1854     25-29     0.00694  0.03412  2.54   75814    2587  372709  3068175  40.47
1850-1854     30-34     0.00823  0.04033  2.52   73228    2954  358800  2695466  36.81
1850-1854     35-39     0.01012  0.04940  2.57   70274    3472  342945  2336665  33.25
1850-1854     40-44     0.01090  0.05300  2.44   66803    3540  324946  1993720  29.84
1850-1854     45-49     0.01091  0.05311  2.55   63262    3360  308065  1668773  26.38
1850-1854     50-54     0.01420  0.06866  2.61   59903    4113  289673  1360708  22.72
1850-1854     55-59     0.01842  0.08815  2.56   55790    4918  266953  1071036  19.20
1850-1854     60-64     0.02715  0.12758  2.64   50872    6490  239061   804082  15.81
1850-1854     65-69     0.04119  0.18713  2.56   44382    8305  201618   565021  12.73
1850-1854     70-74     0.05884  0.25732  2.56   36076    9283  157757   363403  10.07
1850-1854     75-79     0.10492  0.41599  2.51   26793   11146  106226   205646   7.68
1850-1854     80-84     0.12020  0.46069  2.47   15647    7209   59973    99420   6.35
1850-1854     85-89     0.18158  0.60877  2.29    8439    5137   28293    39447   4.67
1850-1854     90-94     0.27381  0.76159  2.09    3302    2514    9183    11154   3.38
1850-1854     95-99     0.38637  0.87217  1.86     787     687    1777     1971   2.50
1850-1854    100-104    0.51163  0.93630  1.61     101      94     184      194   1.93
1850-1854    105-109    0.63631  0.96823  1.41       6       6      10       10   1.57
1850-1854    110+       0.73161  1.00000  1.37       0       0       0        0   1.37
1855-1859        0      0.08853  0.08346  0.31  100000    8346   94276  5201682  52.02
1855-1859      1-4      0.02124  0.08062  1.47   91654    7389  347931  5107406  55.72
1855-1859      5-9      0.00585  0.02876  2.19   84265    2424  414506  4759476  56.48
1855-1859     10-14     0.00391  0.01938  2.47   81841    1586  405194  4344970  53.09
1855-1859     15-19     0.00451  0.02232  2.58   80255    1791  396935  3939776  49.09
1855-1859     20-24     0.00556  0.02743  2.51   78464    2153  386952  3542841  45.15
1855-1859     25-29     0.00621  0.03057  2.55   76312    2333  375847  3155889  41.36
1855-1859     30-34     0.00795  0.03898  2.57   73979    2884  362895  2780042  37.58
1855-1859     35-39     0.00908  0.04441  2.50   71095    3157  347568  2417147  34.00
1855-1859     40-44     0.00990  0.04832  2.58   67937    3283  331739  2069580  30.46
1855-1859     45-49     0.01103  0.05367  2.51   64655    3470  314624  1737840  26.88
1855-1859     50-54     0.01239  0.06014  2.55   61185    3679  296893  1423216  23.26
1855-1859     55-59     0.01678  0.08068  2.63   57505    4640  276526  1126323  19.59
1855-1859     60-64     0.02565  0.12085  2.61   52866    6389  249047   849797  16.07
1855-1859     65-69     0.03834  0.17547  2.59   46477    8155  212725   600750  12.93
1855-1859     70-74     0.05967  0.26088  2.59   38322    9997  167541   388025  10.13
1855-1859     75-79     0.09906  0.39662  2.49   28324   11234  113405   220484   7.78
1855-1859     80-84     0.11859  0.45580  2.46   17090    7790   65685   107079   6.27
1855-1859     85-89     0.19396  0.63620  2.30    9301    5917   30506    41394   4.45
1855-1859     90-94     0.28954  0.78242  2.06    3384    2647    9143    10888   3.22
1855-1859     95-99     0.41002  0.88872  1.81     736     654    1596     1745   2.37
1855-1859    100-104    0.54436  0.94743  1.56      82      78     143      149   1.82
1855-1859    105-109    0.67370  0.97447  1.35       4       4       6        6   1.48
1855-1859    110+       0.76924  1.00000  1.30       0       0       0        0   1.30
1860-1864        0      0.10194  0.09528  0.31  100000    9528   93465  4842091  48.42
1860-1864      1-4      0.03199  0.11846  1.49   90472   10717  335006  4748626  52.49
1860-1864      5-9      0.00969  0.04717  2.19   79755    3762  388198  4413620  55.34
1860-1864     10-14     0.00460  0.02273  2.55   75993    1727  375728  4025422  52.97
1860-1864     15-19     0.00550  0.02715  2.52   74266    2016  366322  3649694  49.14
1860-1864     20-24     0.00619  0.03047  2.53   72249    2202  355802  3283372  45.44
1860-1864     25-29     0.00682  0.03353  2.54   70048    2349  344473  2927570  41.79
1860-1864     30-34     0.00777  0.03813  2.52   67699    2582  332095  2583097  38.16
1860-1864     35-39     0.00842  0.04125  2.55   65118    2686  319012  2251002  34.57
1860-1864     40-44     0.00922  0.04506  2.45   62431    2813  304988  1931990  30.95
1860-1864     45-49     0.01058  0.05156  2.59   59618    3074  290695  1627003  27.29
1860-1864     50-54     0.01290  0.06251  2.53   56544    3535  273981  1336308  23.63
1860-1864     55-59     0.01556  0.07502  2.60   53009    3977  255516  1062327  20.04
1860-1864     60-64     0.02389  0.11306  2.63   49032    5543  232006   806811  16.45
