New Zealand -- Maori, Life tables (period 5x5), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1948-1949        0      0.07887  0.07483  0.31  100000    7483   94868  5163898  51.64
1948-1949      1-4      0.01060  0.04127  1.45   92517    3818  360318  5069030  54.79
1948-1949      5-9      0.00305  0.01510  2.19   88699    1340  439736  4708712  53.09
1948-1949     10-14     0.00341  0.01694  2.76   87359    1480  433485  4268975  48.87
1948-1949     15-19     0.00647  0.03188  2.79   85879    2738  423353  3835490  44.66
1948-1949     20-24     0.00811  0.03979  2.68   83142    3308  408018  3412137  41.04
1948-1949     25-29     0.00780  0.03824  2.48   79833    3053  391464  3004120  37.63
1948-1949     30-34     0.00622  0.03063  2.62   76780    2352  378303  2612656  34.03
1948-1949     35-39     0.01000  0.04879  2.51   74428    3631  363089  2234353  30.02
1948-1949     40-44     0.01203  0.05828  2.31   70797    4126  342884  1871264  26.43
1948-1949     45-49     0.01631  0.07842  2.56   66671    5228  320585  1528379  22.92
1948-1949     50-54     0.01611  0.07758  2.62   61442    4767  295849  1207794  19.66
1948-1949     55-59     0.03918  0.17546  2.03   56676    9944  253812   911945  16.09
1948-1949     60-64     0.03802  0.17449  2.65   46731    8154  214465   658133  14.08
1948-1949     65-69     0.05226  0.22881  2.28   38577    8827  168907   443668  11.50
1948-1949     70-74     0.06637  0.27978  2.20   29750    8324  125420   274762   9.24
1948-1949     75-79     0.14908  0.53657  2.39   21427   11497   77117   149342   6.97
1948-1949     80-84     0.12364  0.46348  2.30    9930    4602   37223    72225   7.27
1948-1949     85-89     0.13907  0.50393  2.27    5327    2685   19304    35002   6.57
1948-1949     90-94     0.15607  0.54507  2.23    2643    1440    9230    15697   5.94
1948-1949     95-99     0.17472  0.58636  2.20    1202     705    4035     6468   5.38
1948-1949    100-104    0.19507  0.62726  2.16     497     312    1599     2433   4.89
1948-1949    105-109    0.21716  0.66720  2.11     185     124     570      834   4.50
1948-1949    110+       0.23339  1.00000  4.28      62      62     264      264   4.28
1950-1954        0      0.06828  0.06521  0.31  100000    6521   95511  5703981  57.04
1950-1954      1-4      0.00620  0.02437  1.27   93479    2278  367690  5608470  60.00
1950-1954      5-9      0.00208  0.01033  2.31   91201     942  453468  5240780  57.46
1950-1954     10-14     0.00209  0.01040  2.35   90259     939  448807  4787312  53.04
1950-1954     15-19     0.00237  0.01177  2.78   89320    1051  444264  4338504  48.57
1950-1954     20-24     0.00395  0.01955  2.47   88269    1726  436971  3894240  44.12
1950-1954     25-29     0.00423  0.02094  2.67   86543    1812  428489  3457269  39.95
