New Zealand -- Non-Maori, Life tables (period 5x5), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1901-1904        0      0.07312  0.06962  0.31  100000    6962   95225  6031961  60.32
1901-1904      1-4      0.00630  0.02478  1.46   93038    2306  366288  5936737  63.81
1901-1904      5-9      0.00203  0.01007  2.17   90732     914  451075  5570449  61.39
1901-1904     10-14     0.00164  0.00815  2.67   89818     732  447380  5119374  57.00
1901-1904     15-19     0.00275  0.01366  2.69   89086    1216  442616  4671994  52.44
1901-1904     20-24     0.00378  0.01875  2.58   87869    1648  435356  4229378  48.13
1901-1904     25-29     0.00468  0.02311  2.54   86222    1993  426214  3794022  44.00
1901-1904     30-34     0.00483  0.02384  2.53   84229    2008  416189  3367808  39.98
1901-1904     35-39     0.00624  0.03076  2.59   82220    2529  405011  2951619  35.90
1901-1904     40-44     0.00713  0.03502  2.50   79691    2791  391487  2546609  31.96
1901-1904     45-49     0.00806  0.03955  2.62   76901    3041  377261  2155121  28.02
1901-1904     50-54     0.01208  0.05872  2.60   73859    4337  358881  1777861  24.07
1901-1904     55-59     0.01542  0.07433  2.58   69522    5167  335107  1418980  20.41
1901-1904     60-64     0.02277  0.10803  2.64   64355    6952  305374  1083873  16.84
1901-1904     65-69     0.03551  0.16362  2.60   57403    9392  264479   778499  13.56
1901-1904     70-74     0.05512  0.24350  2.61   48011   11690  212100   514020  10.71
1901-1904     75-79     0.08492  0.35343  2.63   36320   12837  151161   301920   8.31
1901-1904     80-84     0.11622  0.44757  2.43   23483   10510   90437   150759   6.42
1901-1904     85-89     0.18228  0.61169  2.31   12973    7936   43536    60322   4.65
1901-1904     90-94     0.27763  0.76850  2.10    5038    3871   13944    16786   3.33
1901-1904     95-99     0.39758  0.88073  1.84    1166    1027    2583     2842   2.44
1901-1904    100-104    0.53138  0.94348  1.58     139     131     247      259   1.86
1901-1904    105-109    0.66193  0.97273  1.37       8       8      12       12   1.51
1901-1904    110+       0.75930  1.00000  1.32       0       0       0        0   1.32
1905-1909        0      0.06557  0.06270  0.30  100000    6270   95618  6195226  61.95
1905-1909      1-4      0.00543  0.02141  1.37   93730    2006  369653  6099608  65.08
1905-1909      5-9      0.00176  0.00875  2.48   91723     803  456597  5729955  62.47
1905-1909     10-14     0.00164  0.00817  2.53   90921     743  452766  5273358  58.00
1905-1909     15-19     0.00232  0.01153  2.68   90178    1039  448480  4820592  53.46
1905-1909     20-24     0.00345  0.01711  2.63   89139    1525  442085  4372112  49.05
1905-1909     25-29     0.00445  0.02202  2.53   87614    1929  433311  3930027  44.86
1905-1909     30-34     0.00454  0.02246  2.53   85685    1924  423677  3496716  40.81
1905-1909     35-39     0.00561  0.02765  2.56   83761    2316  413154  3073039  36.69
1905-1909     40-44     0.00618  0.03042  2.54   81445    2478  401127  2659885  32.66
1905-1909     45-49     0.00782  0.03836  2.58   78967    3029  387494  2258758  28.60
1905-1909     50-54     0.01006  0.04913  2.62   75937    3731  370804  1871264  24.64
1905-1909     55-59     0.01456  0.07034  2.61   72207    5079  348884  1500460  20.78
1905-1909     60-64     0.02053  0.09789  2.62   67128    6571  319996  1151575  17.16
1905-1909     65-69     0.03356  0.15544  2.63   60557    9413  280493   831580  13.73
1905-1909     70-74     0.05283  0.23445  2.60   51144   11990  226980   551087  10.78
1905-1909     75-79     0.08523  0.35256  2.55   39153   13804  161969   324107   8.28
1905-1909     80-84     0.11894  0.45536  2.43   25349   11543   97046   162138   6.40
1905-1909     85-89     0.18130  0.60810  2.29   13806    8396   46308    65092   4.71
1905-1909     90-94     0.26582  0.75150  2.11    5411    4066   15297    18785   3.47
1905-1909     95-99     0.37187  0.86100  1.88    1345    1158    3113     3488   2.59
1905-1909    100-104    0.49178  0.92850  1.65     187     174     353      375   2.00
1905-1909    105-109    0.61333  0.96368  1.44      13      13      21       22   1.62
1905-1909    110+       0.70789  1.00000  1.41       0       0       1        1   1.41
1910-1914        0      0.05233  0.05036  0.25  100000    5036   96222  6354709  63.55
1910-1914      1-4      0.00434  0.01718  1.42   94964    1632  375651  6258486  65.90
1910-1914      5-9      0.00165  0.00820  2.24   93333     766  464550  5882835  63.03
1910-1914     10-14     0.00116  0.00578  2.61   92567     535  461559  5418286  58.53
1910-1914     15-19     0.00220  0.01095  2.69   92032    1007  457832  4956727  53.86
1910-1914     20-24     0.00303  0.01505  2.60   91024    1370  451831  4498895  49.43
1910-1914     25-29     0.00372  0.01842  2.56   89654    1652  444244  4047064  45.14
1910-1914     30-34     0.00427  0.02111  2.56   88003    1858  435483  3602820  40.94
1910-1914     35-39     0.00518  0.02560  2.54   86145    2205  425310  3167337  36.77
1910-1914     40-44     0.00552  0.02723  2.54   83940    2285  414079  2742027  32.67
1910-1914     45-49     0.00711  0.03494  2.61   81654    2853  401439  2327948  28.51
1910-1914     50-54     0.00992  0.04848  2.63   78801    3820  384946  1926509  24.45
1910-1914     55-59     0.01442  0.06967  2.61   74981    5224  362397  1541563  20.56
1910-1914     60-64     0.02014  0.09614  2.64   69757    6707  332939  1179166  16.90
1910-1914     65-69     0.03362  0.15566  2.63   63051    9815  291968   846227  13.42
1910-1914     70-74     0.05511  0.24342  2.60   53236   12959  235124   554259  10.41
1910-1914     75-79     0.09274  0.37745  2.54   40277   15203  163935   319136   7.92
1910-1914     80-84     0.12969  0.48524  2.41   25074   12167   93817   155201   6.19
1910-1914     85-89     0.18405  0.61137  2.25   12907    7891   42875    61384   4.76
1910-1914     90-94     0.25045  0.72716  2.12    5016    3648   14564    18509   3.69
1910-1914     95-99     0.33262  0.82473  1.94    1369    1129    3393     3945   2.88
1910-1914    100-104    0.42621  0.89480  1.76     240     215     504      551   2.30
1910-1914    105-109    0.52554  0.93914  1.58      25      24      45       48   1.89
1910-1914    110+       0.60625  1.00000  1.65       2       2       3        3   1.65
1915-1919        0      0.04313  0.04172  0.21  100000    4172   96721  6279003  62.79
1915-1919      1-4      0.00496  0.01963  1.63   95828    1881  378852  6182282  64.51
1915-1919      5-9      0.00205  0.01020  2.32   93947     958  467171  5803430  61.77
1915-1919     10-14     0.00146  0.00725  2.54   92989     674  463285  5336259  57.39
1915-1919     15-19     0.00241  0.01197  2.76   92315    1105  459094  4872973  52.79
1915-1919     20-24     0.00370  0.01833  2.68   91210    1672  452165  4413879  48.39
1915-1919     25-29     0.00532  0.02624  2.53   89538    2350  441874  3961714  44.25
1915-1919     30-34     0.00539  0.02658  2.50   87188    2317  430145  3519841  40.37
1915-1919     35-39     0.00584  0.02879  2.58   84871    2443  418433  3089695  36.40
1915-1919     40-44     0.00607  0.02992  2.56   82427    2466  406116  2671262  32.41
1915-1919     45-49     0.00763  0.03745  2.60   79961    2994  392610  2265146  28.33
1915-1919     50-54     0.01083  0.05278  2.60   76967    4063  375100  1872536  24.33
1915-1919     55-59     0.01445  0.06989  2.67   72905    5095  352641  1497436  20.54
1915-1919     60-64     0.02191  0.10417  2.64   67810    7064  322386  1144795  16.88
1915-1919     65-69     0.03250  0.15101  2.66   60746    9173  282276   822409  13.54
1915-1919     70-74     0.05405  0.23902  2.58   51573   12327  228068   540133  10.47
1915-1919     75-79     0.09000  0.36698  2.49   39245   14402  160017   312065   7.95
1915-1919     80-84     0.12332  0.47175  2.51   24843   11720   95034   152049   6.12
1915-1919     85-89     0.20217  0.64960  2.25   13124    8525   42167    57015   4.34
1915-1919     90-94     0.28881  0.78165  2.07    4598    3594   12446    14848   3.23
1915-1919     95-99     0.40606  0.88571  1.82    1004     889    2190     2402   2.39
1915-1919    100-104    0.53529  0.94437  1.57     115     108     202      212   1.85
1915-1919    105-109    0.66096  0.97242  1.37       6       6       9       10   1.51
1915-1919    110+       0.75509  1.00000  1.32       0       0       0        0   1.32
1920-1924        0      0.04128  0.03997  0.21  100000    3997   96830  6498410  64.98
1920-1924      1-4      0.00421  0.01667  1.62   96003    1600  380200  6401580  66.68
1920-1924      5-9      0.00162  0.00808  2.27   94403     762  469934  6021379  63.78
1920-1924     10-14     0.00112  0.00561  2.64   93641     525  466963  5551445  59.28
1920-1924     15-19     0.00192  0.00957  2.73   93115     891  463554  5084482  54.60
1920-1924     20-24     0.00292  0.01449  2.66   92225    1336  457997  4620928  50.11
1920-1924     25-29     0.00358  0.01773  2.53   90888    1611  450467  4162931  45.80
1920-1924     30-34     0.00383  0.01895  2.57   89277    1692  442281  3712464  41.58
1920-1924     35-39     0.00452  0.02237  2.59   87585    1960  433205  3270183  37.34
1920-1924     40-44     0.00522  0.02577  2.59   85626    2207  422816  2836978  33.13
1920-1924     45-49     0.00659  0.03243  2.59   83419    2705  410574  2414162  28.94
1920-1924     50-54     0.00947  0.04634  2.66   80714    3740  394811  2003588  24.82
1920-1924     55-59     0.01316  0.06381  2.65   76973    4911  373319  1608777  20.90
1920-1924     60-64     0.01983  0.09467  2.62   72062    6822  344044  1235457  17.14
1920-1924     65-69     0.03165  0.14715  2.61   65240    9600  303277   891413  13.66
1920-1924     70-74     0.05261  0.23374  2.62   55640   13005  247211   588136  10.57
1920-1924     75-79     0.08895  0.36423  2.52   42635   15529  174585   340925   8.00
1920-1924     80-84     0.12386  0.47022  2.44   27106   12746  102907   166340   6.14
1920-1924     85-89     0.19925  0.64937  2.32   14360    9325   46800    63433   4.42
1920-1924     90-94     0.28212  0.77144  2.06    5035    3884   13769    16633   3.30
1920-1924     95-99     0.38924  0.87383  1.85    1151    1006    2584     2864   2.49
1920-1924    100-104    0.51136  0.93596  1.61     145     136     266      280   1.93
1920-1924    105-109    0.63291  0.96748  1.41       9       9      14       15   1.57
1920-1924    110+       0.72620  1.00000  1.38       0       0       0        0   1.38
1925-1929        0      0.03323  0.03234  0.18  100000    3234   97334  6658594  66.59
1925-1929      1-4      0.00361  0.01430  1.56   96766    1383  383687  6561260  67.81
1925-1929      5-9      0.00142  0.00706  2.15   95383     674  474991  6177573  64.77
1925-1929     10-14     0.00112  0.00557  2.46   94709     527  472207  5702582  60.21
1925-1929     15-19     0.00155  0.00772  2.81   94182     727  469317  5230375  55.53
1925-1929     20-24     0.00256  0.01271  2.67   93455    1188  464510  4761057  50.94
1925-1929     25-29     0.00289  0.01434  2.56   92267    1323  458106  4296547  46.57
1925-1929     30-34     0.00320  0.01589  2.56   90944    1446  451191  3838441  42.21
1925-1929     35-39     0.00391  0.01936  2.56   89498    1733  443269  3387250  37.85
1925-1929     40-44     0.00444  0.02194  2.54   87765    1926  434090  2943980  33.54
1925-1929     45-49     0.00666  0.03278  2.62   85840    2814  422509  2509890  29.24
1925-1929     50-54     0.00900  0.04405  2.60   83026    3657  406336  2087381  25.14
1925-1929     55-59     0.01247  0.06062  2.70   79369    4811  385779  1681045  21.18
1925-1929     60-64     0.01898  0.09079  2.62   74558    6769  356676  1295266  17.37
1925-1929     65-69     0.03019  0.14094  2.64   67789    9554  316442   938589  13.85
1925-1929     70-74     0.05058  0.22598  2.64   58234   13160  260169   622147  10.68
1925-1929     75-79     0.08711  0.35772  2.50   45075   16124  185103   361978   8.03
1925-1929     80-84     0.12269  0.46795  2.47   28950   13547  110421   176875   6.11
1925-1929     85-89     0.20448  0.65671  2.28   15403   10115   49469    66454   4.31
1925-1929     90-94     0.29003  0.78502  2.08    5288    4151   14312    16985   3.21
1925-1929     95-99     0.41364  0.89069  1.80    1137    1012    2448     2673   2.35
1925-1929    100-104    0.54567  0.94766  1.56     124     118     216      225   1.81
1925-1929    105-109    0.67267  0.97424  1.35       7       6       9       10   1.48
1925-1929    110+       0.76674  1.00000  1.30       0       0       0        0   1.30
1930-1934        0      0.02818  0.02753  0.16  100000    2753   97677  6819626  68.20
1930-1934      1-4      0.00252  0.01001  1.56   97247     973  386615  6721950  69.12
1930-1934      5-9      0.00113  0.00565  2.39   96274     544  479947  6335335  65.81
1930-1934     10-14     0.00073  0.00366  2.53   95730     350  477783  5855388  61.17
1930-1934     15-19     0.00141  0.00705  2.75   95380     672  475386  5377605  56.38
1930-1934     20-24     0.00207  0.01029  2.66   94708     975  471254  4902218  51.76
1930-1934     25-29     0.00260  0.01293  2.57   93733    1212  465723  4430965  47.27
1930-1934     30-34     0.00297  0.01476  2.56   92521    1366  459266  3965241  42.86
1930-1934     35-39     0.00343  0.01703  2.66   91155    1552  452151  3505975  38.46
1930-1934     40-44     0.00401  0.01987  2.57   89603    1780  443698  3053823  34.08
1930-1934     45-49     0.00595  0.02934  2.63   87823    2577  433005  2610125  29.72
1930-1934     50-54     0.00809  0.03970  2.68   85246    3384  418394  2177120  25.54
1930-1934     55-59     0.01181  0.05743  2.65   81862    4702  398276  1758726  21.48
1930-1934     60-64     0.01835  0.08799  2.67   77160    6790  369978  1360449  17.63
1930-1934     65-69     0.02967  0.13854  2.62   70371    9749  328633   990471  14.08
1930-1934     70-74     0.04807  0.21599  2.65   60621   13094  272401   661838  10.92
