Sweden, Life tables (period 5x5), Females	Last modified: 23 May 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1751-1754        0      0.22641  0.19598  0.31  100000   19598   86558  3923692  39.24
1751-1754      1-4      0.03842  0.14065  1.59   80402   11309  294369  3837134  47.72
1751-1754      5-9      0.01264  0.06076  1.85   69093    4198  332224  3542765  51.28
1751-1754     10-14     0.00625  0.03079  2.53   64895    1998  319547  3210541  49.47
1751-1754     15-19     0.00601  0.02958  2.43   62897    1860  309704  2890994  45.96
1751-1754     20-24     0.00656  0.03231  2.59   61037    1972  300425  2581290  42.29
1751-1754     25-29     0.00803  0.03936  2.56   59064    2325  289660  2280866  38.62
1751-1754     30-34     0.01059  0.05162  2.57   56740    2929  276572  1991205  35.09
1751-1754     35-39     0.00997  0.04861  2.44   53811    2616  262365  1714633  31.86
1751-1754     40-44     0.01344  0.06514  2.63   51195    3335  248061  1452268  28.37
1751-1754     45-49     0.01265  0.06120  2.38   47860    2929  231614  1204207  25.16
1751-1754     50-54     0.01663  0.08005  2.69   44931    3597  216334   972593  21.65
1751-1754     55-59     0.02061  0.09802  2.51   41335    4051  196603   756259  18.30
1751-1754     60-64     0.03157  0.14683  2.62   37283    5474  173399   559656  15.01
1751-1754     65-69     0.04242  0.19203  2.54   31809    6108  144006   386258  12.14
1751-1754     70-74     0.07444  0.31631  2.63   25700    8129  109204   242251   9.43
1751-1754     75-79     0.10306  0.40286  2.29   17571    7079   68688   133047   7.57
1751-1754     80-84     0.13663  0.50571  2.43   10492    5306   38834    64359   6.13
1751-1754     85-89     0.17456  0.58510  2.18    5186    3035   17384    25525   4.92
1751-1754     90-94     0.24468  0.71737  2.12    2152    1544    6309     8141   3.78
1751-1754     95-99     0.31756  0.80880  1.97     608     492    1549     1832   3.01
1751-1754    100-104    0.40119  0.87844  1.80     116     102     255      283   2.43
1751-1754    105-109    0.49104  0.92567  1.63      14      13      27       29   2.02
1751-1754    110+       0.56451  1.00000  1.77       1       1       2        2   1.77
1755-1759        0      0.23517  0.20251  0.31  100000   20251   86110  3685827  36.86
1755-1759      1-4      0.04076  0.14805  1.52   79749   11807  289690  3599717  45.14
1755-1759      5-9      0.01256  0.06043  1.88   67942    4106  326921  3310027  48.72
1755-1759     10-14     0.00658  0.03239  2.53   63837    2068  314075  2983106  46.73
1755-1759     15-19     0.00622  0.03063  2.44   61769    1892  303993  2669031  43.21
1755-1759     20-24     0.00720  0.03537  2.62   59877    2118  294341  2365038  39.50
1755-1759     25-29     0.00929  0.04544  2.57   57759    2624  282427  2070697  35.85
1755-1759     30-34     0.01230  0.05971  2.53   55135    3292  267557  1788270  32.43
1755-1759     35-39     0.01108  0.05389  2.49   51843    2794  252213  1520713  29.33
1755-1759     40-44     0.01622  0.07806  2.59   49049    3829  236000  1268500  25.86
1755-1759     45-49     0.01556  0.07482  2.43   45220    3383  217411  1032500  22.83
1755-1759     50-54     0.02080  0.09915  2.65   41837    4148  199421   815090  19.48
1755-1759     55-59     0.02671  0.12521  2.51   37689    4719  176671   615669  16.34
1755-1759     60-64     0.04003  0.18269  2.61   32970    6023  150477   438998  13.32
1755-1759     65-69     0.05263  0.23273  2.52   26947    6271  119158   288521  10.71
1755-1759     70-74     0.09024  0.36930  2.54   20675    7635   84609   169363   8.19
1755-1759     75-79     0.12915  0.48078  2.34   13040    6269   48544    84754   6.50
1755-1759     80-84     0.16053  0.56324  2.35    6771    3813   23755    36210   5.35
1755-1759     85-89     0.21099  0.65894  2.15    2957    1949    9236    12455   4.21
1755-1759     90-94     0.29641  0.78774  2.03    1009     794    2680     3220   3.19
1755-1759     95-99     0.38583  0.86883  1.84     214     186     482      539   2.52
1755-1759    100-104    0.48401  0.92348  1.65      28      26      54       57   2.04
1755-1759    105-109    0.58378  0.95597  1.48       2       2       4        4   1.70
1755-1759    110+       0.66301  1.00000  1.51       0       0       0        0   1.51
1760-1764        0      0.24814  0.21205  0.31  100000   21205   85456  3656497  36.56
1760-1764      1-4      0.03959  0.14450  1.58   78795   11386  287625  3571041  45.32
1760-1764      5-9      0.01397  0.06689  1.82   67409    4509  322702  3283416  48.71
1760-1764     10-14     0.00624  0.03074  2.53   62900    1934  309726  2960714  47.07
1760-1764     15-19     0.00619  0.03049  2.46   60966    1859  300105  2650988  43.48
1760-1764     20-24     0.00711  0.03493  2.59   59107    2065  290558  2350883  39.77
1760-1764     25-29     0.00871  0.04265  2.59   57043    2433  279341  2060325  36.12
1760-1764     30-34     0.01223  0.05936  2.57   54610    3242  265161  1780984  32.61
1760-1764     35-39     0.01142  0.05548  2.47   51368    2850  249638  1515823  29.51
1760-1764     40-44     0.01676  0.08059  2.61   48518    3910  233266  1266186  26.10
1760-1764     45-49     0.01614  0.07747  2.41   44608    3456  214100  1032919  23.16
1760-1764     50-54     0.02044  0.09739  2.59   41152    4008  196121   818819  19.90
1760-1764     55-59     0.02384  0.11261  2.54   37145    4183  175432   622698  16.76
1760-1764     60-64     0.03942  0.18035  2.64   32962    5945  150794   447266  13.57
1760-1764     65-69     0.05112  0.22645  2.48   27017    6118  119679   296472  10.97
