Belarus, Life tables (period 1x1), Males	Last modified: 02 Apr 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.05414  0.05191  0.20  100000    5191   95873  6524022  65.24
  1959           1      0.00627  0.00625  0.50   94809     592   94513  6428149  67.80
  1959           2      0.00199  0.00199  0.50   94217     187   94123  6333636  67.22
  1959           3      0.00154  0.00154  0.50   94030     145   93958  6239513  66.36
  1959           4      0.00117  0.00117  0.50   93885     110   93830  6145555  65.46
  1959           5      0.00097  0.00097  0.50   93775      91   93730  6051725  64.53
  1959           6      0.00102  0.00102  0.50   93684      96   93636  5957995  63.60
  1959           7      0.00110  0.00110  0.50   93588     103   93537  5864359  62.66
  1959           8      0.00092  0.00092  0.50   93485      86   93442  5770822  61.73
  1959           9      0.00096  0.00096  0.50   93399      90   93354  5677379  60.79
  1959          10      0.00120  0.00120  0.50   93309     112   93253  5584025  59.84
  1959          11      0.00086  0.00086  0.50   93198      80   93157  5490771  58.92
  1959          12      0.00106  0.00106  0.50   93117      99   93068  5397614  57.97
  1959          13      0.00085  0.00085  0.50   93018      79   92979  5304546  57.03
  1959          14      0.00120  0.00119  0.50   92939     111   92884  5211568  56.08
  1959          15      0.00098  0.00098  0.50   92828      91   92783  5118684  55.14
  1959          16      0.00101  0.00101  0.50   92737      93   92691  5025901  54.20
  1959          17      0.00114  0.00114  0.50   92644     105   92591  4933211  53.25
  1959          18      0.00153  0.00153  0.50   92539     142   92468  4840619  52.31
  1959          19      0.00159  0.00159  0.50   92397     147   92323  4748151  51.39
  1959          20      0.00186  0.00186  0.50   92250     172   92164  4655828  50.47
  1959          21      0.00167  0.00167  0.50   92078     154   92001  4563664  49.56
  1959          22      0.00240  0.00239  0.50   91924     220   91814  4471663  48.65
  1959          23      0.00254  0.00254  0.50   91704     233   91588  4379849  47.76
  1959          24      0.00213  0.00213  0.50   91471     195   91374  4288261  46.88
  1959          25      0.00236  0.00236  0.50   91277     215   91169  4196887  45.98
  1959          26      0.00254  0.00254  0.50   91062     231   90946  4105718  45.09
  1959          27      0.00216  0.00216  0.50   90830     196   90732  4014772  44.20
  1959          28      0.00234  0.00234  0.50   90634     212   90528  3924040  43.30
  1959          29      0.00252  0.00252  0.50   90422     228   90308  3833511  42.40
  1959          30      0.00339  0.00339  0.50   90194     305   90042  3743203  41.50
  1959          31      0.00246  0.00246  0.50   89889     221   89778  3653161  40.64
  1959          32      0.00370  0.00369  0.50   89668     331   89503  3563383  39.74
  1959          33      0.00351  0.00351  0.50   89337     313   89181  3473880  38.89
  1959          34      0.00359  0.00358  0.50   89024     319   88864  3384700  38.02
  1959          35      0.00414  0.00413  0.50   88705     367   88522  3295835  37.16
  1959          36      0.00370  0.00369  0.50   88338     326   88175  3207314  36.31
  1959          37      0.00374  0.00373  0.50   88012     329   87848  3119138  35.44
  1959          38      0.00460  0.00459  0.50   87683     402   87482  3031291  34.57
  1959          39      0.00460  0.00459  0.50   87281     401   87081  2943808  33.73
  1959          40      0.00575  0.00574  0.50   86880     498   86631  2856727  32.88
  1959          41      0.00363  0.00363  0.50   86382     313   86225  2770096  32.07
  1959          42      0.00482  0.00481  0.50   86069     414   85862  2683871  31.18
  1959          43      0.00449  0.00448  0.50   85655     384   85463  2598009  30.33
  1959          44      0.00536  0.00535  0.50   85271     456   85042  2512546  29.47
  1959          45      0.00653  0.00651  0.50   84814     552   84538  2427504  28.62
  1959          46      0.00549  0.00548  0.50   84262     462   84031  2342966  27.81
  1959          47      0.00665  0.00663  0.50   83800     555   83523  2258935  26.96
  1959          48      0.00740  0.00738  0.50   83245     614   82938  2175412  26.13
  1959          49      0.00820  0.00817  0.50   82631     675   82294  2092474  25.32
  1959          50      0.01002  0.00997  0.50   81956     817   81548  2010180  24.53
  1959          51      0.00740  0.00737  0.50   81139     598   80840  1928633  23.77
  1959          52      0.01175  0.01168  0.50   80541     941   80070  1847793  22.94
  1959          53      0.01061  0.01056  0.50   79600     840   79180  1767722  22.21
  1959          54      0.01250  0.01242  0.50   78759     979   78270  1688543  21.44
  1959          55      0.01289  0.01281  0.50   77781     996   77283  1610273  20.70
  1959          56      0.01352  0.01343  0.50   76784    1031   76269  1532990  19.96
  1959          57      0.01532  0.01520  0.50   75753    1152   75178  1456721  19.23
  1959          58      0.01701  0.01686  0.50   74602    1258   73973  1381543  18.52
  1959          59      0.01703  0.01688  0.50   73344    1238   72724  1307571  17.83
  1959          60      0.02504  0.02473  0.50   72105    1783   71214  1234846  17.13
  1959          61      0.01622  0.01609  0.50   70322    1132   69756  1163633  16.55
  1959          62      0.02738  0.02701  0.50   69191    1869   68256  1093876  15.81
  1959          63      0.02585  0.02552  0.50   67321    1718   66462  1025620  15.23
  1959          64      0.02784  0.02746  0.50   65603    1801   64703   959158  14.62
  1959          65      0.02874  0.02834  0.50   63802    1808   62898   894455  14.02
  1959          66      0.02731  0.02694  0.50   61994    1670   61159   831557  13.41
  1959          67      0.03607  0.03543  0.50   60324    2137   59256   770397  12.77
  1959          68      0.03673  0.03607  0.50   58187    2099   57138   711142  12.22
  1959          69      0.03553  0.03491  0.50   56088    1958   55109   654004  11.66
  1959          70      0.04687  0.04580  0.50   54130    2479   52891   598895  11.06
  1959          71      0.03957  0.03881  0.50   51651    2004   50649   546004  10.57
  1959          72      0.05806  0.05642  0.50   49647    2801   48246   495355   9.98
  1959          73      0.05586  0.05435  0.50   46845    2546   45572   447109   9.54
  1959          74      0.05961  0.05789  0.50   44300    2564   43017   401537   9.06
  1959          75      0.07174  0.06925  0.50   41735    2890   40290   358519   8.59
  1959          76      0.06059  0.05881  0.50   38845    2284   37703   318229   8.19
  1959          77      0.07378  0.07116  0.50   36561    2602   35260   280527   7.67
  1959          78      0.09367  0.08948  0.50   33959    3039   32440   245267   7.22
  1959          79      0.07994  0.07687  0.50   30920    2377   29732   212827   6.88
  1959          80      0.13466  0.12617  0.50   28543    3601   26743   183096   6.41
  1959          81      0.09076  0.08682  0.50   24942    2165   23859   156353   6.27
  1959          82      0.13661  0.12787  0.50   22777    2913   21320   132494   5.82
