Croatia, Life tables (period 1x1), Males	Last modified: 24 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2001           0      0.00786  0.00780  0.13  100000     780   99324  7093998  70.94
  2001           1      0.00063  0.00063  0.50   99220      62   99188  6994674  70.50
  2001           2      0.00043  0.00043  0.50   99157      43   99136  6895486  69.54
  2001           3      0.00037  0.00037  0.50   99115      37   99096  6796350  68.57
  2001           4      0.00027  0.00027  0.50   99078      27   99064  6697253  67.60
  2001           5      0.00008  0.00008  0.50   99051       8   99047  6598189  66.61
  2001           6      0.00017  0.00017  0.50   99043      16   99035  6499142  65.62
  2001           7      0.00017  0.00017  0.50   99026      17   99018  6400108  64.63
  2001           8      0.00028  0.00028  0.50   99010      28   98996  6301090  63.64
  2001           9      0.00033  0.00033  0.50   98982      33   98965  6202094  62.66
  2001          10      0.00015  0.00015  0.50   98949      15   98941  6103129  61.68
  2001          11      0.00008  0.00008  0.50   98933       8   98929  6004188  60.69
  2001          12      0.00012  0.00012  0.50   98925      11   98920  5905259  59.69
  2001          13      0.00023  0.00023  0.50   98914      22   98903  5806339  58.70
  2001          14      0.00057  0.00057  0.50   98892      56   98864  5707436  57.71
  2001          15      0.00044  0.00044  0.50   98835      44   98813  5608572  56.75
  2001          16      0.00067  0.00067  0.50   98791      66   98759  5509759  55.77
  2001          17      0.00083  0.00083  0.50   98726      82   98685  5411000  54.81
  2001          18      0.00105  0.00105  0.50   98644     103   98592  5312316  53.85
  2001          19      0.00111  0.00111  0.50   98540     109   98486  5213724  52.91
  2001          20      0.00088  0.00088  0.50   98431      87   98388  5115238  51.97
  2001          21      0.00147  0.00147  0.50   98345     144   98272  5016850  51.01
  2001          22      0.00105  0.00105  0.50   98200     103   98149  4918577  50.09
  2001          23      0.00164  0.00164  0.50   98097     161   98017  4820429  49.14
  2001          24      0.00147  0.00147  0.50   97937     144   97865  4722412  48.22
  2001          25      0.00141  0.00141  0.50   97793     138   97724  4624547  47.29
  2001          26      0.00106  0.00106  0.50   97655     104   97604  4526823  46.36
  2001          27      0.00122  0.00122  0.50   97552     119   97492  4429219  45.40
  2001          28      0.00111  0.00111  0.50   97433     108   97379  4331727  44.46
  2001          29      0.00099  0.00099  0.50   97325      96   97277  4234348  43.51
  2001          30      0.00099  0.00099  0.50   97229      96   97181  4137071  42.55
  2001          31      0.00123  0.00123  0.50   97132     119   97073  4039890  41.59
  2001          32      0.00139  0.00139  0.50   97013     135   96946  3942818  40.64
  2001          33      0.00142  0.00142  0.50   96878     137   96810  3845872  39.70
  2001          34      0.00120  0.00120  0.50   96741     116   96683  3749062  38.75
  2001          35      0.00223  0.00223  0.50   96626     215   96518  3652379  37.80
  2001          36      0.00190  0.00190  0.50   96410     183   96318  3555861  36.88
  2001          37      0.00189  0.00189  0.50   96227     182   96136  3459543  35.95
  2001          38      0.00209  0.00209  0.50   96045     200   95944  3363407  35.02
  2001          39      0.00245  0.00245  0.50   95844     235   95727  3267463  34.09
  2001          40      0.00274  0.00274  0.50   95610     262   95479  3171736  33.17
  2001          41      0.00319  0.00319  0.50   95348     304   95196  3076257  32.26
  2001          42      0.00364  0.00363  0.50   95044     345   94872  2981061  31.36
  2001          43      0.00403  0.00402  0.50   94699     381   94509  2886190  30.48
  2001          44      0.00439  0.00438  0.50   94318     413   94112  2791681  29.60
  2001          45      0.00500  0.00499  0.50   93905     469   93671  2697569  28.73
  2001          46      0.00545  0.00544  0.50   93437     508   93183  2603898  27.87
  2001          47      0.00616  0.00614  0.50   92928     571   92643  2510716  27.02
  2001          48      0.00599  0.00598  0.50   92358     552   92082  2418073  26.18
  2001          49      0.00747  0.00744  0.50   91806     683   91464  2325991  25.34
  2001          50      0.00748  0.00745  0.50   91123     679   90783  2234527  24.52
  2001          51      0.00830  0.00827  0.50   90444     748   90070  2143743  23.70
  2001          52      0.01012  0.01007  0.50   89696     903   89245  2053673  22.90
  2001          53      0.01078  0.01072  0.50   88793     952   88317  1964428  22.12
  2001          54      0.01225  0.01217  0.50   87841    1069   87307  1876111  21.36
  2001          55      0.01133  0.01127  0.50   86772     978   86283  1788804  20.61
  2001          56      0.01362  0.01353  0.50   85795    1160   85214  1702520  19.84
  2001          57      0.01475  0.01464  0.50   84634    1239   84015  1617306  19.11
  2001          58      0.01646  0.01632  0.50   83395    1361   82714  1533291  18.39
  2001          59      0.01482  0.01471  0.50   82034    1206   81431  1450577  17.68
  2001          60      0.01937  0.01918  0.50   80827    1550   80052  1369146  16.94
  2001          61      0.01996  0.01976  0.50   79277    1566   78494  1289094  16.26
  2001          62      0.02176  0.02152  0.50   77711    1673   76874  1210600  15.58
  2001          63      0.02370  0.02343  0.50   76038    1781   75147  1133726  14.91
  2001          64      0.02719  0.02682  0.50   74257    1992   73261  1058579  14.26
  2001          65      0.02821  0.02782  0.50   72265    2010   71260   985318  13.63
  2001          66      0.03082  0.03035  0.50   70255    2132   69188   914058  13.01
  2001          67      0.03470  0.03411  0.50   68122    2324   66961   844870  12.40
  2001          68      0.03854  0.03781  0.50   65799    2488   64555   777909  11.82
  2001          69      0.04219  0.04132  0.50   63311    2616   62003   713354  11.27
  2001          70      0.04591  0.04488  0.50   60695    2724   59333   651352  10.73
  2001          71      0.05098  0.04971  0.50   57971    2882   56530   592018  10.21
  2001          72      0.05324  0.05186  0.50   55089    2857   53661   535488   9.72
  2001          73      0.05738  0.05578  0.50   52232    2914   50776   481827   9.22
  2001          74      0.06445  0.06244  0.50   49319    3080   47779   431052   8.74
  2001          75      0.06663  0.06448  0.50   46239    2982   44748   383273   8.29
