Denmark, Life tables (period 1x10), Males	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1835-1839        0      0.22203  0.19213  0.30  100000   19213   86535  3960164  39.60
1835-1839        1      0.04828  0.04714  0.50   80787    3808   78883  3873630  47.95
1835-1839        2      0.03519  0.03458  0.50   76979    2662   75648  3794747  49.30
1835-1839        3      0.02064  0.02043  0.50   74317    1518   73558  3719099  50.04
1835-1839        4      0.01182  0.01176  0.50   72799     856   72371  3645541  50.08
1835-1839        5      0.01011  0.01006  0.50   71943     724   71581  3573170  49.67
1835-1839        6      0.00974  0.00970  0.50   71219     691   70874  3501589  49.17
1835-1839        7      0.00914  0.00910  0.50   70529     642   70208  3430715  48.64
1835-1839        8      0.00833  0.00830  0.50   69887     580   69597  3360507  48.08
1835-1839        9      0.00742  0.00739  0.50   69307     512   69051  3290910  47.48
1835-1839       10      0.00649  0.00647  0.50   68795     445   68573  3221858  46.83
1835-1839       11      0.00572  0.00570  0.50   68350     390   68155  3153286  46.13
1835-1839       12      0.00516  0.00514  0.50   67960     349   67786  3085131  45.40
1835-1839       13      0.00480  0.00479  0.50   67611     324   67449  3017345  44.63
1835-1839       14      0.00464  0.00463  0.50   67287     312   67131  2949896  43.84
1835-1839       15      0.00467  0.00466  0.50   66975     312   66819  2882765  43.04
1835-1839       16      0.00485  0.00484  0.50   66663     322   66502  2815945  42.24
1835-1839       17      0.00516  0.00515  0.50   66341     341   66170  2749443  41.44
1835-1839       18      0.00562  0.00561  0.50   65999     370   65814  2683273  40.66
1835-1839       19      0.00627  0.00625  0.50   65629     410   65424  2617459  39.88
1835-1839       20      0.00709  0.00707  0.50   65219     461   64988  2552035  39.13
1835-1839       21      0.00783  0.00780  0.50   64758     505   64505  2487047  38.41
1835-1839       22      0.00839  0.00836  0.50   64253     537   63984  2422541  37.70
1835-1839       23      0.00870  0.00866  0.50   63716     552   63440  2358557  37.02
1835-1839       24      0.00867  0.00863  0.50   63164     545   62891  2295117  36.34
1835-1839       25      0.00833  0.00830  0.50   62619     520   62359  2232226  35.65
1835-1839       26      0.00805  0.00801  0.50   62099     498   61850  2169867  34.94
