Spain, Life tables (period 1x10), Males	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1908-1909        0      0.19238  0.16953  0.30  100000   16953   88119  4026174  40.26
1908-1909        1      0.08419  0.08079  0.50   83047    6709   79693  3938055  47.42
1908-1909        2      0.04436  0.04340  0.50   76338    3313   74682  3858362  50.54
1908-1909        3      0.02531  0.02500  0.50   73025    1825   72112  3783681  51.81
1908-1909        4      0.01653  0.01640  0.50   71200    1167   70616  3711568  52.13
1908-1909        5      0.01086  0.01080  0.50   70032     756   69654  3640952  51.99
1908-1909        6      0.00863  0.00859  0.50   69276     595   68978  3571298  51.55
1908-1909        7      0.00597  0.00595  0.50   68681     409   68477  3502320  50.99
1908-1909        8      0.00453  0.00452  0.50   68272     309   68118  3433843  50.30
1908-1909        9      0.00378  0.00377  0.50   67964     256   67836  3365725  49.52
1908-1909       10      0.00335  0.00335  0.50   67707     227   67594  3297889  48.71
1908-1909       11      0.00310  0.00309  0.50   67481     209   67376  3230295  47.87
1908-1909       12      0.00334  0.00334  0.50   67272     225   67160  3162919  47.02
1908-1909       13      0.00342  0.00341  0.50   67047     229   66933  3095759  46.17
1908-1909       14      0.00393  0.00393  0.50   66819     262   66687  3028826  45.33
1908-1909       15      0.00386  0.00385  0.50   66556     256   66428  2962139  44.51
1908-1909       16      0.00436  0.00435  0.50   66300     288   66156  2895711  43.68
1908-1909       17      0.00610  0.00608  0.50   66012     402   65811  2829555  42.86
1908-1909       18      0.00770  0.00767  0.50   65610     503   65359  2763744  42.12
1908-1909       19      0.00724  0.00722  0.50   65107     470   64872  2698385  41.45
1908-1909       20      0.00723  0.00720  0.50   64637     465   64405  2633513  40.74
1908-1909       21      0.00660  0.00658  0.50   64172     422   63961  2569108  40.03
1908-1909       22      0.00836  0.00832  0.50   63750     531   63485  2505147  39.30
1908-1909       23      0.00817  0.00813  0.50   63219     514   62962  2441663  38.62
1908-1909       24      0.00826  0.00823  0.50   62705     516   62447  2378701  37.93
1908-1909       25      0.00804  0.00801  0.50   62189     498   61940  2316254  37.25
1908-1909       26      0.00770  0.00767  0.50   61691     473   61455  2254313  36.54
1908-1909       27      0.00691  0.00689  0.50   61218     422   61007  2192859  35.82
1908-1909       28      0.00767  0.00764  0.50   60796     465   60564  2131852  35.07
1908-1909       29      0.00656  0.00654  0.50   60331     394   60134  2071288  34.33
1908-1909       30      0.01033  0.01027  0.50   59937     616   59629  2011154  33.55
1908-1909       31      0.00595  0.00593  0.50   59321     352   59145  1951524  32.90
1908-1909       32      0.00871  0.00867  0.50   58970     511   58714  1892379  32.09
1908-1909       33      0.00849  0.00845  0.50   58458     494   58211  1833665  31.37
1908-1909       34      0.00837  0.00833  0.50   57964     483   57723  1775454  30.63
1908-1909       35      0.01011  0.01006  0.50   57481     578   57192  1717731  29.88
1908-1909       36      0.00976  0.00971  0.50   56903     553   56626  1660539  29.18
1908-1909       37      0.00720  0.00717  0.50   56350     404   56148  1603913  28.46
1908-1909       38      0.00847  0.00843  0.50   55946     472   55710  1547765  27.67
1908-1909       39      0.00752  0.00749  0.50   55474     416   55266  1492055  26.90
1908-1909       40      0.01821  0.01804  0.50   55059     993   54562  1436788  26.10
1908-1909       41      0.00793  0.00790  0.50   54065     427   53851  1382227  25.57
1908-1909       42      0.01311  0.01302  0.50   53638     699   53289  1328375  24.77
1908-1909       43      0.00941  0.00936  0.50   52939     496   52691  1275087  24.09
1908-1909       44      0.01217  0.01210  0.50   52444     635   52126  1222395  23.31
1908-1909       45      0.01699  0.01684  0.50   51809     873   51373  1170269  22.59
1908-1909       46      0.01442  0.01432  0.50   50936     729   50572  1118896  21.97
1908-1909       47      0.01119  0.01113  0.50   50207     559   49928  1068324  21.28
1908-1909       48      0.01370  0.01360  0.50   49648     675   49311  1018397  20.51
1908-1909       49      0.01188  0.01181  0.50   48973     578   48684   969086  19.79
1908-1909       50      0.03023  0.02978  0.50   48395    1441   47674   920402  19.02
1908-1909       51      0.01345  0.01336  0.50   46953     627   46640   872728  18.59
1908-1909       52      0.02086  0.02064  0.50   46326     956   45848   826088  17.83
1908-1909       53      0.01584  0.01572  0.50   45370     713   45013   780241  17.20
1908-1909       54      0.02221  0.02197  0.50   44657     981   44166   735228  16.46
1908-1909       55      0.02629  0.02595  0.50   43676    1133   43109   691061  15.82
1908-1909       56      0.02839  0.02800  0.50   42542    1191   41947   647953  15.23
1908-1909       57      0.01866  0.01848  0.50   41351     764   40969   606006  14.66
1908-1909       58      0.02172  0.02149  0.50   40587     872   40151   565037  13.92
1908-1909       59      0.02161  0.02138  0.50   39715     849   39290   524886  13.22
1908-1909       60      0.06440  0.06239  0.50   38866    2425   37653   485596  12.49
1908-1909       61      0.02653  0.02618  0.50   36441     954   35964   447943  12.29
1908-1909       62      0.04275  0.04186  0.50   35487    1485   34744   411979  11.61
1908-1909       63      0.03619  0.03555  0.50   34001    1209   33397   377235  11.09
1908-1909       64      0.05014  0.04892  0.50   32793    1604   31990   343839  10.49
1908-1909       65      0.06115  0.05934  0.50   31188    1851   30263   311848  10.00
1908-1909       66      0.06249  0.06060  0.50   29338    1778   28449   281585   9.60
1908-1909       67      0.04786  0.04674  0.50   27560    1288   26916   253136   9.18
1908-1909       68      0.05512  0.05364  0.50   26272    1409   25567   226220   8.61
1908-1909       69      0.04372  0.04278  0.50   24862    1064   24331   200653   8.07
1908-1909       70      0.16324  0.15092  0.50   23799    3592   22003   176323   7.41
1908-1909       71      0.05949  0.05778  0.50   20207    1167   19623   154320   7.64
1908-1909       72      0.10130  0.09642  0.50   19040    1836   18122   134696   7.07
1908-1909       73      0.08321  0.07989  0.50   17204    1374   16517   116575   6.78
1908-1909       74      0.11253  0.10653  0.50   15829    1686   14986   100058   6.32
1908-1909       75      0.14812  0.13790  0.50   14143    1950   13168    85072   6.02
1908-1909       76      0.13920  0.13015  0.50   12193    1587   11399    71904   5.90
1908-1909       77      0.12361  0.11641  0.50   10606    1235    9989    60504   5.70
1908-1909       78      0.15368  0.14272  0.50    9371    1337    8702    50516   5.39
1908-1909       79      0.11342  0.10733  0.50    8034     862    7603    41813   5.20
1908-1909       80      0.26664  0.23528  0.50    7171    1687    6328    34211   4.77
1908-1909       81      0.09620  0.09178  0.50    5484     503    5233    27883   5.08
1908-1909       82      0.17951  0.16473  0.50    4981     820    4571    22650   4.55
1908-1909       83      0.15122  0.14059  0.50    4160     585    3868    18080   4.35
1908-1909       84      0.23931  0.21373  0.50    3575     764    3193    14212   3.97
1908-1909       85      0.23562  0.21079  0.50    2811     593    2515    11019   3.92
1908-1909       86      0.24398  0.21745  0.50    2219     482    1977     8504   3.83
1908-1909       87      0.22581  0.20290  0.50    1736     352    1560     6526   3.76
1908-1909       88      0.29501  0.25709  0.50    1384     356    1206     4966   3.59
1908-1909       89      0.23075  0.20688  0.50    1028     213     922     3760   3.66
1908-1909       90      0.41770  0.34553  0.50     815     282     675     2838   3.48
1908-1909       91      0.16391  0.15149  0.50     534      81     493     2164   4.05
1908-1909       92      0.22525  0.20245  0.50     453      92     407     1670   3.69
1908-1909       93      0.23156  0.20753  0.50     361      75     324     1263   3.50
1908-1909       94      0.23731  0.21214  0.50     286      61     256      940   3.28
1908-1909       95      0.30644  0.26572  0.50     225      60     196      684   3.03
1908-1909       96      0.31619  0.27303  0.50     166      45     143      488   2.95
1908-1909       97      0.32611  0.28039  0.50     120      34     103      345   2.87
1908-1909       98      0.33619  0.28781  0.50      87      25      74      242   2.79
1908-1909       99      0.34642  0.29528  0.50      62      18      53      168   2.72
1908-1909      100      0.35679  0.30278  0.50      43      13      37      115   2.65
1908-1909      101      0.36730  0.31031  0.50      30       9      26       78   2.58
1908-1909      102      0.37794  0.31787  0.50      21       7      18       53   2.51
1908-1909      103      0.38870  0.32545  0.50      14       5      12       35   2.45
1908-1909      104      0.39956  0.33303  0.50      10       3       8       23   2.39
1908-1909      105      0.41053  0.34061  0.50       6       2       5       15   2.34
1908-1909      106      0.42158  0.34819  0.50       4       1       3       10   2.28
1908-1909      107      0.43272  0.35575  0.50       3       1       2        6   2.24
1908-1909      108      0.44392  0.36328  0.50       2       1       1        4   2.20
1908-1909      109      0.45518  0.37079  0.50       1       0       1        2   2.16
1908-1909      110+     0.46649  1.00000  2.14       1       1       2        2   2.14
1910-1919        0      0.18732  0.16558  0.30  100000   16558   88395  3998128  39.98
1910-1919        1      0.08117  0.07801  0.50   83442    6509   80187  3909733  46.86
1910-1919        2      0.04279  0.04190  0.50   76933    3223   75321  3829545  49.78
1910-1919        3      0.02456  0.02427  0.50   73710    1789   72815  3754224  50.93
1910-1919        4      0.01640  0.01626  0.50   71921    1170   71336  3681409  51.19
1910-1919        5      0.01146  0.01140  0.50   70751     807   70348  3610073  51.02
