Scotland, Life tables (period 1x10), Males	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1855-1859        0      0.13882  0.12651  0.30  100000   12651   91133  4194869  41.95
1855-1859        1      0.06569  0.06360  0.50   87349    5555   84571  4103736  46.98
1855-1859        2      0.03440  0.03382  0.50   81794    2766   80411  4019164  49.14
1855-1859        3      0.02397  0.02368  0.50   79027    1871   78092  3938754  49.84
1855-1859        4      0.01801  0.01785  0.50   77156    1377   76467  3860662  50.04
1855-1859        5      0.01390  0.01381  0.50   75779    1046   75256  3784195  49.94
1855-1859        6      0.01103  0.01097  0.50   74733     820   74323  3708939  49.63
1855-1859        7      0.00864  0.00860  0.50   73913     636   73595  3634616  49.17
1855-1859        8      0.00681  0.00679  0.50   73277     497   73029  3561021  48.60
1855-1859        9      0.00563  0.00561  0.50   72780     408   72576  3487992  47.92
1855-1859       10      0.00506  0.00504  0.50   72372     365   72189  3415416  47.19
1855-1859       11      0.00479  0.00478  0.50   72007     344   71835  3343226  46.43
1855-1859       12      0.00476  0.00475  0.50   71663     340   71493  3271392  45.65
1855-1859       13      0.00498  0.00497  0.50   71322     354   71145  3199899  44.87
1855-1859       14      0.00549  0.00548  0.50   70968     389   70774  3128754  44.09
1855-1859       15      0.00626  0.00624  0.50   70579     441   70359  3057980  43.33
1855-1859       16      0.00705  0.00703  0.50   70139     493   69892  2987621  42.60
1855-1859       17      0.00781  0.00778  0.50   69646     542   69375  2917728  41.89
1855-1859       18      0.00856  0.00852  0.50   69104     589   68810  2848353  41.22
1855-1859       19      0.00930  0.00926  0.50   68515     634   68198  2779544  40.57
1855-1859       20      0.01002  0.00997  0.50   67881     677   67542  2711346  39.94
1855-1859       21      0.01063  0.01057  0.50   67204     710   66849  2643804  39.34
1855-1859       22      0.01107  0.01101  0.50   66494     732   66128  2576954  38.75
1855-1859       23      0.01126  0.01120  0.50   65762     736   65394  2510827  38.18
1855-1859       24      0.01113  0.01107  0.50   65026     720   64666  2445433  37.61
1855-1859       25      0.01074  0.01068  0.50   64306     687   63962  2380767  37.02
