Israel, Total Population, Life tables (period 1x5), Males	Last modified: 31 Oct 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1983-1984        0      0.01385  0.01369  0.12  100000    1369   98798  7321136  73.21
1983-1984        1      0.00097  0.00097  0.50   98631      96   98584  7222338  73.23
1983-1984        2      0.00072  0.00072  0.50   98536      71   98500  7123754  72.30
1983-1984        3      0.00055  0.00055  0.50   98465      55   98437  7025254  71.35
1983-1984        4      0.00048  0.00048  0.50   98410      48   98386  6926817  70.39
1983-1984        5      0.00031  0.00031  0.50   98363      30   98347  6828430  69.42
1983-1984        6      0.00031  0.00031  0.50   98332      31   98317  6730083  68.44
1983-1984        7      0.00035  0.00035  0.50   98301      35   98284  6631766  67.46
1983-1984        8      0.00023  0.00023  0.50   98267      23   98255  6533482  66.49
1983-1984        9      0.00018  0.00018  0.50   98244      18   98235  6435227  65.50
1983-1984       10      0.00022  0.00022  0.50   98226      22   98215  6336992  64.51
1983-1984       11      0.00031  0.00031  0.50   98204      30   98189  6238777  63.53
1983-1984       12      0.00022  0.00022  0.50   98174      22   98163  6140588  62.55
1983-1984       13      0.00036  0.00036  0.50   98152      35   98134  6042425  61.56
1983-1984       14      0.00041  0.00041  0.50   98117      40   98097  5944291  60.58
1983-1984       15      0.00047  0.00047  0.50   98077      46   98053  5846194  59.61
1983-1984       16      0.00043  0.00043  0.50   98030      42   98009  5748141  58.64
1983-1984       17      0.00063  0.00063  0.50   97988      62   97957  5650132  57.66
1983-1984       18      0.00099  0.00099  0.50   97927      97   97878  5552174  56.70
1983-1984       19      0.00119  0.00119  0.50   97830     116   97771  5454296  55.75
1983-1984       20      0.00121  0.00121  0.50   97713     118   97654  5356525  54.82
1983-1984       21      0.00105  0.00105  0.50   97595     103   97543  5258870  53.88
1983-1984       22      0.00104  0.00104  0.50   97492     101   97441  5161327  52.94
1983-1984       23      0.00104  0.00104  0.50   97391     101   97340  5063886  52.00
1983-1984       24      0.00103  0.00103  0.50   97290     100   97239  4966545  51.05
1983-1984       25      0.00094  0.00094  0.50   97189      91   97144  4869306  50.10
1983-1984       26      0.00088  0.00088  0.50   97098      86   97055  4772162  49.15
1983-1984       27      0.00078  0.00078  0.50   97012      75   96975  4675107  48.19
1983-1984       28      0.00101  0.00101  0.50   96937      98   96888  4578132  47.23
1983-1984       29      0.00089  0.00089  0.50   96839      86   96796  4481244  46.28
1983-1984       30      0.00099  0.00099  0.50   96753      96   96705  4384448  45.32
1983-1984       31      0.00115  0.00115  0.50   96657     111   96602  4287743  44.36
1983-1984       32      0.00092  0.00092  0.50   96546      89   96502  4191141  43.41
1983-1984       33      0.00099  0.00099  0.50   96457      95   96410  4094639  42.45
1983-1984       34      0.00106  0.00106  0.50   96362     103   96311  3998229  41.49
1983-1984       35      0.00130  0.00130  0.50   96260     125   96198  3901918  40.54
1983-1984       36      0.00121  0.00121  0.50   96135     117   96077  3805720  39.59
1983-1984       37      0.00120  0.00120  0.50   96019     115   95961  3709643  38.63
1983-1984       38      0.00151  0.00151  0.50   95904     145   95831  3613682  37.68
1983-1984       39      0.00153  0.00153  0.50   95759     146   95686  3517851  36.74
1983-1984       40      0.00165  0.00165  0.50   95612     158   95534  3422166  35.79
1983-1984       41      0.00178  0.00178  0.50   95455     170   95370  3326632  34.85
