New Zealand -- Maori, Life tables (period 1x5), Males	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1948-1949        0      0.09439  0.08853  0.30  100000    8853   93795  5205790  52.06
1948-1949        1      0.01886  0.01869  0.50   91147    1703   90295  5111995  56.09
1948-1949        2      0.00883  0.00879  0.50   89443     786   89050  5021700  56.14
1948-1949        3      0.00657  0.00655  0.50   88657     581   88367  4932650  55.64
1948-1949        4      0.00367  0.00366  0.50   88076     323   87915  4844283  55.00
1948-1949        5      0.00510  0.00509  0.50   87754     446   87531  4756368  54.20
1948-1949        6      0.00283  0.00282  0.50   87307     246   87184  4668838  53.48
1948-1949        7      0.00215  0.00215  0.50   87061     187   86967  4581654  52.63
1948-1949        8      0.00306  0.00305  0.50   86874     265   86741  4494686  51.74
1948-1949        9      0.00125  0.00125  0.50   86608     108   86554  4407946  50.90
1948-1949       10      0.00388  0.00387  0.50   86500     335   86333  4321391  49.96
1948-1949       11      0.00505  0.00503  0.50   86165     434   85948  4235058  49.15
1948-1949       12      0.00349  0.00348  0.50   85732     298   85582  4149110  48.40
1948-1949       13      0.00499  0.00498  0.50   85433     425   85221  4063528  47.56
1948-1949       14      0.00401  0.00400  0.50   85008     340   84838  3978307  46.80
1948-1949       15      0.00300  0.00299  0.50   84668     253   84541  3893469  45.99
1948-1949       16      0.00467  0.00466  0.50   84414     393   84217  3808929  45.12
1948-1949       17      0.00408  0.00407  0.50   84021     342   83850  3724711  44.33
1948-1949       18      0.00727  0.00725  0.50   83679     607   83375  3640861  43.51
1948-1949       19      0.00496  0.00495  0.50   83072     411   82866  3557486  42.82
1948-1949       20      0.00242  0.00241  0.50   82661     199   82561  3474620  42.03
1948-1949       21      0.00572  0.00570  0.50   82461     470   82226  3392058  41.14
1948-1949       22      0.01179  0.01172  0.50   81991     961   81511  3309832  40.37
1948-1949       23      0.00537  0.00536  0.50   81030     434   80813  3228321  39.84
1948-1949       24      0.00602  0.00600  0.50   80596     484   80354  3147508  39.05
1948-1949       25      0.00779  0.00776  0.50   80112     622   79802  3067154  38.29
1948-1949       26      0.00794  0.00791  0.50   79491     629   79177  2987352  37.58
1948-1949       27      0.00377  0.00376  0.50   78862     297   78714  2908176  36.88
1948-1949       28      0.00394  0.00393  0.50   78566     309   78411  2829462  36.01
1948-1949       29      0.00417  0.00416  0.50   78257     326   78094  2751051  35.15
1948-1949       30      0.00591  0.00589  0.50   77931     459   77701  2672957  34.30
1948-1949       31      0.00535  0.00534  0.50   77472     414   77265  2595256  33.50
1948-1949       32      0.00695  0.00692  0.50   77058     534   76791  2517991  32.68
1948-1949       33      0.00394  0.00394  0.50   76525     301   76374  2441199  31.90
1948-1949       34      0.00245  0.00244  0.50   76223     186   76130  2364826  31.02
1948-1949       35      0.00840  0.00837  0.50   76037     636   75719  2288695  30.10
1948-1949       36      0.00940  0.00935  0.50   75401     705   75048  2212976  29.35
1948-1949       37      0.00427  0.00426  0.50   74696     318   74537  2137928  28.62
1948-1949       38      0.00687  0.00685  0.50   74377     509   74123  2063392  27.74
1948-1949       39      0.00709  0.00707  0.50   73868     522   73607  1989269  26.93
1948-1949       40      0.00826  0.00822  0.50   73346     603   73045  1915662  26.12
1948-1949       41      0.00755  0.00752  0.50   72743     547   72470  1842617  25.33
1948-1949       42      0.01873  0.01856  0.50   72196    1340   71526  1770147  24.52
1948-1949       43      0.01078  0.01073  0.50   70856     760   70476  1698621  23.97
1948-1949       44      0.00483  0.00482  0.50   70096     338   69927  1628145  23.23
1948-1949       45      0.02227  0.02202  0.50   69758    1536   68990  1558218  22.34
1948-1949       46      0.00266  0.00265  0.50   68222     181   68132  1489227  21.83
1948-1949       47      0.00904  0.00900  0.50   68041     613   67735  1421096  20.89
1948-1949       48      0.02455  0.02426  0.50   67429    1636   66611  1353361  20.07
1948-1949       49      0.02232  0.02207  0.50   65793    1452   65067  1286750  19.56
1948-1949       50      0.02723  0.02687  0.50   64341    1729   63477  1221683  18.99
1948-1949       51      0.00749  0.00747  0.50   62612     467   62378  1158207  18.50
1948-1949       52      0.01774  0.01758  0.50   62145    1093   61599  1095828  17.63
1948-1949       53      0.01470  0.01459  0.50   61052     891   60607  1034230  16.94
1948-1949       54      0.03543  0.03481  0.50   60162    2094   59114   973623  16.18
1948-1949       55      0.02703  0.02667  0.50   58067    1549   57293   914508  15.75
