Portugal, Life tables (period 1x5), Males	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1940-1944        0      0.15660  0.14111  0.30  100000   14111   90110  4825174  48.25
1940-1944        1      0.05644  0.05490  0.50   85889    4715   83531  4735064  55.13
1940-1944        2      0.02296  0.02270  0.50   81174    1843   80252  4651533  57.30
1940-1944        3      0.01180  0.01173  0.50   79331     931   78865  4571281  57.62
1940-1944        4      0.00757  0.00754  0.50   78400     591   78105  4492415  57.30
1940-1944        5      0.00525  0.00524  0.50   77809     408   77605  4414311  56.73
1940-1944        6      0.00407  0.00406  0.50   77401     314   77244  4336705  56.03
1940-1944        7      0.00345  0.00345  0.50   77087     266   76954  4259461  55.26
1940-1944        8      0.00289  0.00289  0.50   76821     222   76710  4182507  54.44
1940-1944        9      0.00264  0.00264  0.50   76599     202   76498  4105796  53.60
1940-1944       10      0.00243  0.00243  0.50   76398     185   76305  4029298  52.74
1940-1944       11      0.00240  0.00239  0.50   76212     182   76121  3952993  51.87
1940-1944       12      0.00208  0.00207  0.50   76030     158   75951  3876872  50.99
1940-1944       13      0.00233  0.00233  0.50   75872     177   75784  3800921  50.10
1940-1944       14      0.00242  0.00242  0.50   75695     183   75604  3725137  49.21
1940-1944       15      0.00265  0.00265  0.50   75512     200   75412  3649534  48.33
1940-1944       16      0.00321  0.00320  0.50   75312     241   75191  3574122  47.46
1940-1944       17      0.00367  0.00367  0.50   75071     275   74933  3498930  46.61
1940-1944       18      0.00437  0.00436  0.50   74795     326   74632  3423997  45.78
1940-1944       19      0.00462  0.00461  0.50   74469     343   74297  3349365  44.98
1940-1944       20      0.00499  0.00498  0.50   74126     369   73941  3275068  44.18
1940-1944       21      0.00511  0.00510  0.50   73757     376   73569  3201126  43.40
1940-1944       22      0.00518  0.00517  0.50   73381     379   73191  3127558  42.62
1940-1944       23      0.00518  0.00516  0.50   73001     377   72813  3054367  41.84
1940-1944       24      0.00521  0.00520  0.50   72624     378   72436  2981554  41.05
1940-1944       25      0.00506  0.00505  0.50   72247     365   72064  2909118  40.27
1940-1944       26      0.00502  0.00500  0.50   71882     360   71702  2837054  39.47
1940-1944       27      0.00538  0.00536  0.50   71522     384   71330  2765352  38.66
1940-1944       28      0.00562  0.00560  0.50   71139     398   70939  2694022  37.87
1940-1944       29      0.00529  0.00527  0.50   70740     373   70554  2623083  37.08
1940-1944       30      0.00581  0.00579  0.50   70367     407   70163  2552529  36.27
1940-1944       31      0.00547  0.00545  0.50   69960     381   69769  2482365  35.48
1940-1944       32      0.00617  0.00615  0.50   69578     428   69364  2412596  34.67
1940-1944       33      0.00655  0.00653  0.50   69150     451   68925  2343232  33.89
