England and Wales, Civilian National Population, Life tables (period 5x1), Males	Last modified: 23 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1841           0      0.16919  0.15125  0.30  100000   15125   89399  4061101  40.61
  1841         1-4      0.03699  0.13529  1.47   84875   11482  310396  3971702  46.79
  1841         5-9      0.00959  0.04665  2.05   73392    3424  356876  3661306  49.89
  1841        10-14     0.00511  0.02521  2.48   69969    1764  345406  3304430  47.23
  1841        15-19     0.00718  0.03530  2.64   68205    2408  335348  2959024  43.38
  1841        20-24     0.00924  0.04516  2.54   65797    2971  321661  2623676  39.88
  1841        25-29     0.00984  0.04802  2.48   62826    3017  306511  2302015  36.64
  1841        30-34     0.00975  0.04759  2.52   59809    2846  291972  1995505  33.36
  1841        35-39     0.01207  0.05860  2.53   56963    3338  276562  1703533  29.91
  1841        40-44     0.01242  0.06027  2.53   53625    3232  260154  1426971  26.61
  1841        45-49     0.01699  0.08156  2.55   50392    4110  241883  1166818  23.15
  1841        50-54     0.01862  0.08904  2.55   46282    4121  221326   924935  19.98
  1841        55-59     0.03034  0.14124  2.55   42161    5955  196245   703608  16.69
  1841        60-64     0.03221  0.14926  2.55   36206    5404  167794   507363  14.01
  1841        65-69     0.05712  0.25050  2.55   30802    7716  135076   339570  11.02
  1841        70-74     0.07187  0.30462  2.50   23086    7033   97850   204493   8.86
  1841        75-79     0.11992  0.45777  2.42   16054    7349   61279   106643   6.64
  1841        80-84     0.16248  0.56851  2.36    8705    4949   30458    45364   5.21
  1841        85-89     0.22752  0.69299  2.18    3756    2603   11441    14906   3.97
  1841        90-94     0.31580  0.80963  1.99    1153     934    2956     3466   3.01
  1841        95-99     0.42092  0.89277  1.78     220     196     466      510   2.32
  1841       100-104    0.53082  0.94162  1.57      24      22      42       44   1.87
  1841       105-109    0.63840  0.96793  1.40       1       1       2        2   1.56
  1841       110+       0.72124  1.00000  1.39       0       0       0        0   1.39
  1842           0      0.18401  0.16299  0.30  100000   16299   88577  4041652  40.42
  1842         1-4      0.03698  0.13502  1.42   83701   11301  305624  3953075  47.23
  1842         5-9      0.00920  0.04480  2.05   72400    3244  352431  3647451  50.38
  1842        10-14     0.00501  0.02476  2.48   69156    1712  341466  3295020  47.65
  1842        15-19     0.00689  0.03390  2.65   67444    2287  331852  2953554  43.79
  1842        20-24     0.00893  0.04367  2.52   65157    2845  318741  2621702  40.24
  1842        25-29     0.00928  0.04534  2.49   62312    2825  304457  2302960  36.96
  1842        30-34     0.00925  0.04521  2.50   59487    2689  290716  1998504  33.60
  1842        35-39     0.01165  0.05667  2.58   56798    3219  276210  1707788  30.07
  1842        40-44     0.01246  0.06040  2.49   53579    3236  259756  1431579  26.72
  1842        45-49     0.01634  0.07863  2.60   50343    3958  242216  1171822  23.28
  1842        50-54     0.01821  0.08708  2.49   46384    4039  221791   929606  20.04
  1842        55-59     0.02841  0.13321  2.66   42345    5641  198526   707815  16.72
  1842        60-64     0.03284  0.15160  2.47   36704    5564  169453   509289  13.88
  1842        65-69     0.05637  0.24879  2.64   31140    7747  137428   339836  10.91
  1842        70-74     0.07601  0.31813  2.44   23393    7442   97905   202408   8.65
  1842        75-79     0.12305  0.46959  2.48   15951    7490   60872   104503   6.55
  1842        80-84     0.16607  0.57658  2.35    8460    4878   29373    43631   5.16
  1842        85-89     0.22864  0.69392  2.17    3582    2486   10872    14258   3.98
  1842        90-94     0.30690  0.79797  1.99    1096     875    2851     3385   3.09
  1842        95-99     0.40425  0.88162  1.80     222     195     483      534   2.41
  1842       100-104    0.50550  0.93220  1.61      26      24      48       51   1.96
  1842       105-109    0.60671  0.96135  1.45       2       2       3        3   1.64
  1842       110+       0.68623  1.00000  1.46       0       0       0        0   1.46
  1843           0      0.18375  0.16278  0.30  100000   16278   88591  4084216  40.84
  1843         1-4      0.03554  0.13013  1.40   83722   10895  306524  3995624  47.73
  1843         5-9      0.00876  0.04267  2.03   72827    3108  354891  3689100  50.66
  1843        10-14     0.00480  0.02371  2.50   69719    1653  344458  3334209  47.82
  1843        15-19     0.00666  0.03281  2.67   68066    2233  335126  2989751  43.92
  1843        20-24     0.00897  0.04385  2.52   65833    2887  322019  2654624  40.32
  1843        25-29     0.00914  0.04466  2.49   62946    2811  307676  2332605  37.06
  1843        30-34     0.00931  0.04551  2.50   60135    2737  293830  2024929  33.67
  1843        35-39     0.01157  0.05629  2.61   57398    3231  279272  1731099  30.16
  1843        40-44     0.01305  0.06316  2.46   54167    3421  262138  1451827  26.80
  1843        45-49     0.01585  0.07638  2.63   50746    3876  244530  1189689  23.44
  1843        50-54     0.01857  0.08870  2.47   46870    4157  223812   945159  20.17
  1843        55-59     0.02648  0.12485  2.71   42713    5333  201374   721347  16.89
  1843        60-64     0.03470  0.15928  2.43   37380    5954  171601   519974  13.91
  1843        65-69     0.05379  0.23926  2.69   31426    7519  139783   348373  11.09
  1843        70-74     0.07871  0.32669  2.40   23907    7810   99224   208590   8.72
  1843        75-79     0.11637  0.45106  2.51   16097    7261   62392   109366   6.79
  1843        80-84     0.15944  0.56135  2.36    8836    4960   31110    46973   5.32
  1843        85-89     0.22043  0.68040  2.19    3876    2637   11964    15864   4.09
  1843        90-94     0.30004  0.79123  2.01    1239     980    3267     3899   3.15
  1843        95-99     0.39804  0.87774  1.82     259     227     570      633   2.45
  1843       100-104    0.50101  0.93065  1.62      32      29      59       62   1.97
  1843       105-109    0.60433  0.96092  1.45       2       2       3        4   1.65
  1843       110+       0.68554  1.00000  1.46       0       0       0        0   1.46
  1844           0      0.18227  0.16162  0.30  100000   16162   88673  4052946  40.53
  1844         1-4      0.03663  0.13397  1.44   83838   11232  306633  3964273  47.28
  1844         5-9      0.00935  0.04545  1.98   72606    3300  353072  3657640  50.38
  1844        10-14     0.00476  0.02352  2.49   69306    1630  342440  3304568  47.68
  1844        15-19     0.00641  0.03158  2.68   67676    2137  333415  2962128  43.77
  1844        20-24     0.00906  0.04430  2.54   65539    2903  320543  2628713  40.11
  1844        25-29     0.00922  0.04505  2.49   62636    2822  306098  2308170  36.85
  1844        30-34     0.00955  0.04666  2.50   59814    2791  292082  2002072  33.47
  1844        35-39     0.01135  0.05524  2.61   57023    3150  277579  1709990  29.99
  1844        40-44     0.01347  0.06511  2.47   53873    3507  260476  1432411  26.59
  1844        45-49     0.01559  0.07515  2.63   50366    3785  242857  1171935  23.27
  1844        50-54     0.01956  0.09316  2.47   46581    4340  221904   929078  19.95
  1844        55-59     0.02538  0.11993  2.71   42241    5066  199606   707174  16.74
  1844        60-64     0.03718  0.16976  2.44   37176    6311  169720   507568  13.65
  1844        65-69     0.05243  0.23383  2.69   30865    7217  137658   337849  10.95
  1844        70-74     0.08381  0.34406  2.40   23647    8136   97077   200190   8.47
  1844        75-79     0.11744  0.45392  2.50   15511    7041   59955   103114   6.65
  1844        80-84     0.16589  0.57682  2.36    8470    4886   29453    43159   5.10
  1844        85-89     0.23686  0.70864  2.17    3585    2540   10724    13706   3.82
  1844        90-94     0.33403  0.82902  1.96    1044     866    2592     2982   2.85
  1844        95-99     0.44932  0.90903  1.73     179     162     361      390   2.18
  1844       100-104    0.56717  0.95274  1.52      16      15      27       28   1.75
  1844       105-109    0.67867  0.97464  1.34       1       1       1        1   1.47
  1844       110+       0.76191  1.00000  1.31       0       0       0        0   1.31
  1845           0      0.17252  0.15391  0.30  100000   15391   89213  4148827  41.49
  1845         1-4      0.03493  0.12813  1.41   84609   10841  310390  4059613  47.98
  1845         5-9      0.00850  0.04145  2.00   73768    3058  359663  3749224  50.82
  1845        10-14     0.00470  0.02322  2.54   70710    1642  349504  3389561  47.94
  1845        15-19     0.00653  0.03215  2.67   69068    2220  340175  3040057  44.02
  1845        20-24     0.00930  0.04545  2.53   66848    3038  326745  2699881  40.39
  1845        25-29     0.00911  0.04450  2.47   63810    2840  311861  2373137  37.19
  1845        30-34     0.00941  0.04598  2.50   60970    2803  297851  2061276  33.81
  1845        35-39     0.01089  0.05305  2.59   58167    3086  283389  1763425  30.32
  1845        40-44     0.01353  0.06543  2.49   55081    3604  266357  1480036  26.87
  1845        45-49     0.01483  0.07159  2.59   51477    3685  248518  1213680  23.58
  1845        50-54     0.01974  0.09405  2.49   47791    4495  227685   965162  20.20
  1845        55-59     0.02357  0.11167  2.65   43297    4835  205122   737477  17.03
  1845        60-64     0.03778  0.17255  2.49   38462    6636  175645   532355  13.84
  1845        65-69     0.04839  0.21709  2.63   31825    6909  142786   356710  11.21
  1845        70-74     0.08321  0.34299  2.44   24916    8546  102703   213924   8.59
  1845        75-79     0.11271  0.43879  2.48   16370    7183   63732   111221   6.79
  1845        80-84     0.16367  0.57204  2.37    9187    5255   32109    47489   5.17
  1845        85-89     0.23158  0.69964  2.17    3932    2751   11878    15380   3.91
  1845        90-94     0.32020  0.81388  1.98    1181     961    3002     3502   2.97
  1845        95-99     0.43004  0.89826  1.76     220     197     459      500   2.27
  1845       100-104    0.54251  0.94544  1.55      22      21      39       41   1.83
  1845       105-109    0.65146  0.97028  1.38       1       1       2        2   1.53
  1845       110+       0.73459  1.00000  1.36       0       0       0        0   1.36
  1846           0      0.20310  0.17779  0.30  100000   17779   87539  3891081  38.91
  1846         1-4      0.03940  0.14258  1.33   82221   11723  297554  3803541  46.26
  1846         5-9      0.00846  0.04129  2.06   70498    2911  343932  3505988  49.73
  1846        10-14     0.00514  0.02536  2.54   67586    1714  333721  3162056  46.79
  1846        15-19     0.00721  0.03543  2.66   65872    2334  323900  2828335  42.94
  1846        20-24     0.01017  0.04961  2.54   63538    3152  309924  2504435  39.42
  1846        25-29     0.01006  0.04905  2.46   60386    2962  294413  2194512  36.34
  1846        30-34     0.01045  0.05094  2.51   57424    2925  279825  1900099  33.09
  1846        35-39     0.01150  0.05594  2.55   54499    3049  265012  1620274  29.73
  1846        40-44     0.01430  0.06906  2.52   51450    3553  248441  1355261  26.34
  1846        45-49     0.01531  0.07377  2.55   47897    3534  230810  1106820  23.11
  1846        50-54     0.02106  0.10012  2.54   44363    4442  210887   876010  19.75
  1846        55-59     0.02422  0.11439  2.57   39922    4567  188521   665123  16.66
  1846        60-64     0.04025  0.18328  2.56   35355    6480  160980   476602  13.48
  1846        65-69     0.04989  0.22229  2.55   28875    6419  128643   315623  10.93
  1846        70-74     0.08675  0.35626  2.49   22457    8001   92227   186980   8.33
  1846        75-79     0.11767  0.45146  2.42   14456    6526   55462    94753   6.55
  1846        80-84     0.17149  0.58995  2.36    7930    4678   27279    39292   4.95
  1846        85-89     0.24668  0.72397  2.15    3252    2354    9543    12013   3.69
  1846        90-94     0.34780  0.84162  1.93     898     755    2172     2470   2.75
  1846        95-99     0.46821  0.91833  1.69     142     131     279      298   2.10
  1846       100-104    0.58883  0.95827  1.48      12      11      19       20   1.69
  1846       105-109    0.70053  0.97764  1.31       0       0       1        1   1.42
  1846       110+       0.78236  1.00000  1.28       0       0       0        0   1.28
  1847           0      0.19601  0.17234  0.30  100000   17234   87922  3732533  37.33
  1847         1-4      0.04123  0.14908  1.42   82766   12339  299266  3644611  44.03
  1847         5-9      0.00996  0.04837  2.03   70427    3407  342017  3345345  47.50
  1847        10-14     0.00562  0.02772  2.51   67020    1858  330483  3003328  44.81
  1847        15-19     0.00784  0.03851  2.66   65163    2509  319933  2672844  41.02
  1847        20-24     0.01102  0.05364  2.54   62654    3360  304992  2352911  37.55
  1847        25-29     0.01080  0.05256  2.45   59293    3117  288524  2047919  34.54
  1847        30-34     0.01134  0.05514  2.53   56176    3098  273228  1759395  31.32
  1847        35-39     0.01296  0.06281  2.54   53079    3334  257180  1486167  28.00
  1847        40-44     0.01627  0.07823  2.55   49745    3892  239187  1228986  24.71
  1847        45-49     0.01772  0.08484  2.50   45853    3890  219552   989800  21.59
  1847        50-54     0.02424  0.11449  2.59   41963    4804  198235   770248  18.36
  1847        55-59     0.02887  0.13470  2.51   37158    5005  173351   572012  15.39
  1847        60-64     0.04606  0.20748  2.61   32153    6671  144852   398661  12.40
  1847        65-69     0.05932  0.25782  2.47   25482    6570  110759   253809   9.96
  1847        70-74     0.09677  0.39054  2.53   18912    7386   76326   143050   7.56
  1847        75-79     0.14018  0.51115  2.35   11526    5892   42029    66725   5.79
  1847        80-84     0.20079  0.65037  2.29    5635    3665   18251    24695   4.38
  1847        85-89     0.28537  0.77636  2.06    1970    1529    5359     6445   3.27
  1847        90-94     0.39337  0.87641  1.84     441     386     982     1085   2.46
  1847        95-99     0.51836  0.93824  1.60      54      51      99      104   1.91
  1847       100-104    0.63734  0.96819  1.40       3       3       5        5   1.56
  1847       105-109    0.74246  0.98233  1.26       0       0       0        0   1.34
  1847       110+       0.81697  1.00000  1.22       0       0       0        0   1.22
  1848           0      0.19174  0.16903  0.30  100000   16903   88154  3845927  38.46
  1848         1-4      0.04099  0.14860  1.48   83097   12348  301284  3757774  45.22
  1848         5-9      0.01062  0.05142  1.94   70749    3638  342613  3456490  48.86
  1848        10-14     0.00541  0.02668  2.50   67112    1790  331088  3113878  46.40
  1848        15-19     0.00719  0.03535  2.65   65321    2309  321175  2782789  42.60
  1848        20-24     0.01016  0.04956  2.55   63012    3123  307421  2461614  39.07
  1848        25-29     0.01010  0.04924  2.45   59890    2949  291939  2154193  35.97
  1848        30-34     0.01046  0.05099  2.53   56941    2903  277543  1862254  32.71
  1848        35-39     0.01189  0.05776  2.52   54038    3121  262458  1584711  29.33
  1848        40-44     0.01446  0.06986  2.57   50916    3557  245931  1322253  25.97
  1848        45-49     0.01626  0.07811  2.49   47359    3699  227512  1076322  22.73
  1848        50-54     0.02139  0.10177  2.63   43660    4443  207765   848810  19.44
  1848        55-59     0.02667  0.12501  2.49   39217    4902  183786   641045  16.35
  1848        60-64     0.03961  0.18129  2.66   34315    6221  157036   457258  13.33
  1848        65-69     0.05504  0.24134  2.45   28094    6780  123177   300223  10.69
  1848        70-74     0.08265  0.34435  2.58   21314    7339   88805   177046   8.31
  1848        75-79     0.12599  0.47325  2.37   13974    6613   52491    88241   6.31
  1848        80-84     0.17658  0.60060  2.34    7361    4421   25037    35750   4.86
  1848        85-89     0.25126  0.73055  2.14    2940    2148    8548    10712   3.64
  1848        90-94     0.35107  0.84383  1.92     792     668    1904     2164   2.73
  1848        95-99     0.46786  0.91790  1.69     124     114     243      260   2.10
  1848       100-104    0.58543  0.95731  1.49      10      10      17       17   1.70
  1848       105-109    0.69484  0.97683  1.32       0       0       1        1   1.44
  1848       110+       0.77558  1.00000  1.29       0       0       0        0   1.29
  1849           0      0.19676  0.17291  0.30  100000   17291   87881  3653638  36.54
  1849         1-4      0.04044  0.14666  1.45   82709   12130  299909  3565757  43.11
  1849         5-9      0.01138  0.05507  2.04   70579    3886  341381  3265847  46.27
  1849        10-14     0.00657  0.03233  2.48   66692    2156  328023  2924467  43.85
  1849        15-19     0.00801  0.03929  2.62   64536    2536  316652  2596443  40.23
  1849        20-24     0.01122  0.05459  2.57   62000    3385  301785  2279791  36.77
  1849        25-29     0.01206  0.05851  2.48   58616    3429  284439  1978006  33.75
  1849        30-34     0.01292  0.06262  2.53   55186    3456  267403  1693568  30.69
  1849        35-39     0.01465  0.07067  2.51   51730    3656  249540  1426165  27.57
  1849        40-44     0.01731  0.08305  2.57   48075    3992  230663  1176625  24.48
  1849        45-49     0.02035  0.09681  2.48   44082    4268  209677   945963  21.46
  1849        50-54     0.02511  0.11847  2.61   39815    4717  187815   736286  18.49
  1849        55-59     0.03157  0.14610  2.46   35098    5128  162454   548471  15.63
  1849        60-64     0.04204  0.19130  2.65   29970    5733  136375   386017  12.88
  1849        65-69     0.06172  0.26650  2.44   24237    6459  104648   249642  10.30
  1849        70-74     0.08512  0.35217  2.55   17777    6261   73550   144994   8.16
