Norway, Life tables (period 5x1), Males	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1846           0      0.13021  0.11932  0.30  100000   11932   91637  4644201  46.44
  1846         1-4      0.02862  0.10657  1.41   88068    9386  327990  4552564  51.69
  1846         5-9      0.00724  0.03545  2.14   78682    2789  385430  4224574  53.69
  1846        10-14     0.00366  0.01812  2.47   75893    1375  375982  3839144  50.59
  1846        15-19     0.00514  0.02541  2.79   74517    1893  368404  3463161  46.47
  1846        20-24     0.00759  0.03725  2.47   72624    2705  356271  3094757  42.61
  1846        25-29     0.00719  0.03528  2.45   69919    2467  343317  2738487  39.17
  1846        30-34     0.00817  0.04004  2.52   67452    2701  330552  2395170  35.51
  1846        35-39     0.00953  0.04654  2.45   64751    3013  316087  2064618  31.89
  1846        40-44     0.01133  0.05519  2.63   61738    3407  300621  1748532  28.32
  1846        45-49     0.01430  0.06920  2.66   58331    4036  282191  1447911  24.82
  1846        50-54     0.01686  0.08091  2.51   54294    4393  260549  1165720  21.47
  1846        55-59     0.02376  0.11236  2.59   49902    5607  236012   905170  18.14
  1846        60-64     0.03200  0.14852  2.59   44294    6579  205598   669158  15.11
  1846        65-69     0.04309  0.19506  2.57   37716    7357  170726   463561  12.29
  1846        70-74     0.06359  0.27631  2.63   30359    8389  131908   292834   9.65
  1846        75-79     0.10622  0.41951  2.50   21970    9217   86771   160926   7.32
  1846        80-84     0.13478  0.49793  2.38   12754    6350   47118    74155   5.81
  1846        85-89     0.20706  0.66000  2.25    6403    4226   20410    27037   4.22
  1846        90-94     0.30910  0.80512  2.02    2177    1753    5671     6627   3.04
  1846        95-99     0.43321  0.90209  1.77     424     383     883      956   2.25
  1846       100-104    0.56677  0.95355  1.52      42      40      70       73   1.75
  1846       105-109    0.69246  0.97697  1.33       2       2       3        3   1.44
  1846       110+       0.78394  1.00000  1.28       0       0       0        0   1.28
  1847           0      0.13491  0.12326  0.30  100000   12326   91361  4346609  43.47
  1847         1-4      0.03416  0.12556  1.41   87674   11009  322225  4255248  48.53
  1847         5-9      0.00937  0.04565  2.19   76666    3500  373505  3933023  51.30
  1847        10-14     0.00494  0.02439  2.43   73166    1784  361245  3559518  48.65
  1847        15-19     0.00674  0.03318  2.74   71382    2369  351557  3198273  44.81
  1847        20-24     0.00841  0.04117  2.47   69013    2841  337889  2846716  41.25
  1847        25-29     0.00784  0.03844  2.47   66172    2544  324428  2508827  37.91
  1847        30-34     0.00832  0.04076  2.60   63628    2594  311918  2184399  34.33
  1847        35-39     0.01019  0.04970  2.54   61034    3033  297719  1872481  30.68
  1847        40-44     0.01168  0.05685  2.65   58001    3297  282258  1574762  27.15
  1847        45-49     0.01519  0.07332  2.63   54704    4011  264025  1292505  23.63
  1847        50-54     0.01887  0.09008  2.50   50693    4566  242050  1028480  20.29
  1847        55-59     0.02564  0.12076  2.60   46126    5570  217277   786430  17.05
  1847        60-64     0.03600  0.16575  2.61   40556    6722  186739   569153  14.03
  1847        65-69     0.04836  0.21628  2.56   33834    7318  151327   382413  11.30
  1847        70-74     0.07668  0.32450  2.63   26516    8605  112210   231086   8.71
  1847        75-79     0.12794  0.48119  2.43   17912    8619   67367   118876   6.64
  1847        80-84     0.14982  0.53451  2.32    9293    4967   33153    51509   5.54
  1847        85-89     0.21039  0.66306  2.21    4326    2868   13633    18356   4.24
  1847        90-94     0.29042  0.78069  2.04    1458    1138    3918     4723   3.24
  1847        95-99     0.38558  0.86937  1.84     320     278     721      805   2.52
  1847       100-104    0.49037  0.92665  1.64      42      39      79       84   2.01
  1847       105-109    0.59644  0.95929  1.46       3       3       5        5   1.67
  1847       110+       0.68010  1.00000  1.47       0       0       0        0   1.47
  1848           0      0.13480  0.12317  0.30  100000   12317   91368  4336110  43.36
  1848         1-4      0.03358  0.12375  1.46   87683   10851  323158  4244742  48.41
  1848         5-9      0.00847  0.04136  2.19   76832    3178  375229  3921584  51.04
  1848        10-14     0.00410  0.02029  2.39   73655    1494  364376  3546354  48.15
  1848        15-19     0.00572  0.02823  2.77   72160    2037  356258  3181978  44.10
  1848        20-24     0.00865  0.04233  2.46   70124    2969  343078  2825719  40.30
  1848        25-29     0.00800  0.03920  2.48   67155    2633  329140  2482641  36.97
  1848        30-34     0.00899  0.04399  2.61   64522    2838  315830  2153501  33.38
  1848        35-39     0.01135  0.05523  2.58   61684    3407  300171  1837671  29.79
  1848        40-44     0.01168  0.05683  2.62   58277    3312  283508  1537500  26.38
  1848        45-49     0.01589  0.07657  2.63   54965    4209  264831  1253993  22.81
  1848        50-54     0.02077  0.09874  2.51   50756    5012  241308   989161  19.49
  1848        55-59     0.02727  0.12800  2.61   45745    5855  214735   747854  16.35
  1848        60-64     0.04042  0.18431  2.61   39889    7352  181896   533119  13.36
  1848        65-69     0.05552  0.24368  2.49   32537    7929  142805   351223  10.79
  1848        70-74     0.07586  0.32116  2.61   24609    7903  104177   208418   8.47
  1848        75-79     0.13577  0.50075  2.38   16705    8365   61614   104241   6.24
  1848        80-84     0.16348  0.57076  2.36    8340    4760   29118    42626   5.11
  1848        85-89     0.24072  0.71499  2.16    3580    2560   10634    13509   3.77
  1848        90-94     0.33913  0.83322  1.95    1020     850    2507     2875   2.82
  1848        95-99     0.45342  0.91125  1.72     170     155     342      368   2.16
  1848       100-104    0.57328  0.95444  1.51      15      14      25       26   1.73
  1848       105-109    0.68596  0.97571  1.33       1       1       1        1   1.45
  1848       110+       0.76948  1.00000  1.30       0       0       0        0   1.30
  1849           0      0.11328  0.10494  0.30  100000   10494   92645  4631306  46.31
  1849         1-4      0.02627  0.09845  1.44   89506    8812  335500  4538661  50.71
  1849         5-9      0.00677  0.03323  2.18   80694    2681  395917  4203160  52.09
  1849        10-14     0.00419  0.02074  2.37   78012    1618  385811  3807243  48.80
  1849        15-19     0.00579  0.02857  2.78   76394    2182  377136  3421432  44.79
  1849        20-24     0.00879  0.04296  2.45   74212    3188  362915  3044296  41.02
  1849        25-29     0.00802  0.03929  2.46   71023    2790  348021  2681382  37.75
  1849        30-34     0.00862  0.04218  2.53   68233    2878  334055  2333361  34.20
  1849        35-39     0.01148  0.05582  2.52   65355    3648  317709  1999306  30.59
  1849        40-44     0.01142  0.05552  2.53   61707    3426  300072  1681596  27.25
  1849        45-49     0.01546  0.07458  2.64   58281    4347  281131  1381525  23.70
  1849        50-54     0.02080  0.09890  2.53   53934    5334  256492  1100393  20.40
  1849        55-59     0.02596  0.12204  2.55   48600    5931  228496   843901  17.36
  1849        60-64     0.03301  0.15308  2.63   42669    6532  197854   615405  14.42
  1849        65-69     0.04729  0.21146  2.50   36137    7642  161607   417551  11.55
  1849        70-74     0.06714  0.28851  2.56   28496    8221  122453   255944   8.98
  1849        75-79     0.12707  0.47623  2.37   20274    9655   75983   133491   6.58
  1849        80-84     0.15260  0.54222  2.33   10619    5758   37731    57508   5.42
  1849        85-89     0.22024  0.68118  2.20    4861    3311   15035    19777   4.07
  1849        90-94     0.30927  0.80294  2.01    1550    1244    4024     4742   3.06
  1849        95-99     0.41469  0.88947  1.79     305     272     655      718   2.35
  1849       100-104    0.52871  0.94123  1.58      34      32      60       63   1.87
  1849       105-109    0.64048  0.96847  1.40       2       2       3        3   1.56
  1849       110+       0.72623  1.00000  1.38       0       0       0        0   1.38
  1850           0      0.10832  0.10068  0.30  100000   10068   92944  4777533  47.78
  1850         1-4      0.02291  0.08651  1.42   89932    7780  339667  4684589  52.09
  1850         5-9      0.00652  0.03199  2.13   82152    2628  403221  4344922  52.89
  1850        10-14     0.00396  0.01958  2.40   79524    1557  393565  3941701  49.57
  1850        15-19     0.00544  0.02687  2.84   77967    2095  385313  3548136  45.51
  1850        20-24     0.00897  0.04382  2.44   75872    3325  370852  3162823  41.69
  1850        25-29     0.00805  0.03942  2.41   72547    2859  355331  2791972  38.49
  1850        30-34     0.00783  0.03840  2.46   69687    2676  341639  2436640  34.97
  1850        35-39     0.01062  0.05172  2.48   67011    3466  326310  2095001  31.26
  1850        40-44     0.01102  0.05360  2.46   63545    3406  309084  1768691  27.83
  1850        45-49     0.01455  0.07037  2.65   60139    4232  290746  1459607  24.27
  1850        50-54     0.01851  0.08852  2.55   55907    4949  267410  1168862  20.91
  1850        55-59     0.02319  0.10974  2.56   50958    5592  241136   901451  17.69
  1850        60-64     0.03250  0.15084  2.62   45366    6843  210563   660315  14.56
  1850        65-69     0.04770  0.21317  2.51   38523    8212  172158   449751  11.67
  1850        70-74     0.06757  0.29054  2.59   30311    8807  130336   277594   9.16
  1850        75-79     0.12513  0.47301  2.42   21504   10172   81292   147258   6.85
  1850        80-84     0.13638  0.50250  2.38   11332    5695   41754    65966   5.82
