Sweden, Life tables (period 5x1), Males	Last modified: 23 May 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1751           0      0.24110  0.20625  0.30  100000   20625   85545  3686513  36.87
  1751         1-4      0.03567  0.13162  1.64   79375   10448  292873  3600969  45.37
  1751         5-9      0.01183  0.05703  1.84   68927    3931  332234  3308095  47.99
  1751        10-14     0.00669  0.03291  2.56   64996    2139  319774  2975861  45.78
  1751        15-19     0.00661  0.03254  2.51   62858    2045  309194  2656088  42.26
  1751        20-24     0.00851  0.04171  2.56   60812    2536  297872  2346894  38.59
  1751        25-29     0.00934  0.04566  2.53   58276    2661  284805  2049022  35.16
  1751        30-34     0.01178  0.05728  2.56   55615    3186  270308  1764217  31.72
  1751        35-39     0.01100  0.05349  2.45   52430    2805  254985  1493909  28.49
  1751        40-44     0.01610  0.07760  2.67   49625    3851  239159  1238924  24.97
  1751        45-49     0.01825  0.08712  2.42   45774    3988  218566   999766  21.84
  1751        50-54     0.02519  0.11901  2.69   41786    4973  197421   781200  18.70
  1751        55-59     0.02976  0.13831  2.46   36813    5092  171110   583779  15.86
  1751        60-64     0.04456  0.20116  2.58   31722    6381  143194   412669  13.01
  1751        65-69     0.05522  0.24226  2.47   25340    6139  111180   269475  10.63
  1751        70-74     0.08987  0.36853  2.56   19201    7076   78741   158295   8.24
  1751        75-79     0.11898  0.44915  2.27   12125    5446   45770    79554   6.56
  1751        80-84     0.16770  0.58297  2.39    6679    3894   23219    33783   5.06
  1751        85-89     0.24015  0.71338  2.16    2785    1987    8274    10565   3.79
  1751        90-94     0.33289  0.82666  1.96     798     660    1983     2290   2.87
  1751        95-99     0.44036  0.90400  1.74     138     125     284      308   2.22
  1751       100-104    0.55403  0.94890  1.54      13      13      23       24   1.79
  1751       105-109    0.66302  0.97217  1.37       1       1       1        1   1.50
  1751       110+       0.74551  1.00000  1.34       0       0       0        0   1.34
  1752           0      0.27443  0.23016  0.30  100000   23016   83869  3394565  33.95
  1752         1-4      0.05160  0.18360  1.59   76984   14134  273896  3310695  43.00
  1752         5-9      0.01850  0.08737  1.82   62850    5491  296809  3036799  48.32
  1752        10-14     0.00724  0.03554  2.46   57359    2038  281608  2739990  47.77
  1752        15-19     0.00703  0.03457  2.51   55320    1912  271831  2458382  44.44
  1752        20-24     0.00873  0.04272  2.54   53408    2282  261428  2186551  40.94
  1752        25-29     0.00842  0.04120  2.47   51126    2106  250293  1925122  37.65
  1752        30-34     0.00962  0.04703  2.59   49020    2305  239536  1674829  34.17
  1752        35-39     0.01053  0.05130  2.47   46715    2396  227509  1435293  30.72
  1752        40-44     0.01362  0.06599  2.63   44319    2924  214673  1207785  27.25
  1752        45-49     0.01515  0.07293  2.44   41394    3019  199240   993112  23.99
  1752        50-54     0.02058  0.09825  2.71   38375    3770  183238   793871  20.69
  1752        55-59     0.02696  0.12604  2.43   34605    4362  161810   610633  17.65
  1752        60-64     0.03407  0.15741  2.59   30243    4761  139727   448823  14.84
  1752        65-69     0.04532  0.20384  2.54   25483    5194  114624   309096  12.13
  1752        70-74     0.07500  0.31718  2.57   20288    6435   85804   194472   9.59
  1752        75-79     0.09846  0.38930  2.31   13853    5393   54774   108668   7.84
  1752        80-84     0.12437  0.47078  2.42    8460    3983   32025    53894   6.37
  1752        85-89     0.17773  0.59865  2.27    4477    2680   15080    21869   4.88
  1752        90-94     0.24368  0.71703  2.13    1797    1288    5288     6788   3.78
  1752        95-99     0.32399  0.81625  1.96     508     415    1281     1501   2.95
  1752       100-104    0.41597  0.88865  1.78      93      83     200      220   2.35
  1752       105-109    0.51431  0.93519  1.60      10      10      19       20   1.93
  1752       110+       0.59449  1.00000  1.68       1       1       1        1   1.68
  1753           0      0.24082  0.20604  0.30  100000   20604   85559  3810497  38.10
  1753         1-4      0.03779  0.13846  1.57   79396   10993  290923  3724937  46.92
  1753         5-9      0.01309  0.06287  1.88   68403    4300  328602  3434014  50.20
  1753        10-14     0.00578  0.02850  2.45   64102    1827  315850  3105412  48.44
  1753        15-19     0.00529  0.02613  2.53   62276    1627  307366  2789562  44.79
  1753        20-24     0.00798  0.03914  2.62   60648    2374  297603  2482196  40.93
  1753        25-29     0.00838  0.04103  2.46   58275    2391  285310  2184593  37.49
  1753        30-34     0.00948  0.04633  2.57   55884    2589  273129  1899283  33.99
  1753        35-39     0.01031  0.05025  2.48   53295    2678  259728  1626154  30.51
  1753        40-44     0.01368  0.06628  2.66   50617    3355  245238  1366426  27.00
  1753        45-49     0.01736  0.08320  2.52   47262    3932  226566  1121189  23.72
  1753        50-54     0.02336  0.11056  2.59   43330    4791  205087   894623  20.65
  1753        55-59     0.02272  0.10736  2.45   38539    4137  182138   689536  17.89
  1753        60-64     0.03579  0.16475  2.60   34402    5668  158384   507398  14.75
  1753        65-69     0.04155  0.18836  2.52   28734    5412  130271   349014  12.15
  1753        70-74     0.07423  0.31504  2.60   23322    7347   98985   218743   9.38
  1753        75-79     0.10574  0.41309  2.35   15975    6599   62410   119758   7.50
  1753        80-84     0.12909  0.48306  2.40    9376    4529   35083    57349   6.12
  1753        85-89     0.18870  0.62289  2.27    4847    3019   15998    22266   4.59
  1753        90-94     0.27065  0.75711  2.09    1828    1384    5113     6268   3.43
  1753        95-99     0.37123  0.85973  1.88     444     382    1028     1155   2.60
  1753       100-104    0.48427  0.92488  1.66      62      58     119      127   2.03
  1753       105-109    0.59948  0.96043  1.46       5       4       7        8   1.66
  1753       110+       0.69002  1.00000  1.45       0       0       0        0   1.45
  1754           0      0.26612  0.22429  0.30  100000   22429   84281  3586766  35.87
  1754         1-4      0.03881  0.14168  1.53   77571   10991  283172  3502485  45.15
  1754         5-9      0.01237  0.05955  1.89   66581    3965  320590  3219313  48.35
  1754        10-14     0.00619  0.03047  2.54   62616    1908  308378  2898723  46.29
  1754        15-19     0.00676  0.03324  2.51   60708    2018  298526  2590345  42.67
  1754        20-24     0.00856  0.04195  2.61   58690    2462  287555  2291819  39.05
  1754        25-29     0.00961  0.04693  2.48   56228    2639  274495  2004264  35.65
  1754        30-34     0.01080  0.05261  2.53   53589    2820  260978  1729769  32.28
  1754        35-39     0.01121  0.05453  2.54   50770    2768  247032  1468791  28.93
  1754        40-44     0.01701  0.08177  2.65   48001    3925  230769  1221760  25.45
  1754        45-49     0.01897  0.09048  2.46   44076    3988  210238   990991  22.48
  1754        50-54     0.02385  0.11275  2.59   40088    4520  189550   780752  19.48
  1754        55-59     0.02847  0.13287  2.50   35569    4726  166020   591202  16.62
  1754        60-64     0.04034  0.18362  2.56   30843    5663  140376   425182  13.79
  1754        65-69     0.04746  0.21243  2.53   25179    5349  112710   284807  11.31
  1754        70-74     0.08418  0.34916  2.56   19830    6924   82256   172096   8.68
  1754        75-79     0.11918  0.45347  2.36   12906    5853   49107    89841   6.96
  1754        80-84     0.14810  0.53101  2.34    7054    3746   25292    40734   5.77
  1754        85-89     0.19131  0.62489  2.23    3308    2067   10806    15442   4.67
  1754        90-94     0.24934  0.72376  2.10    1241     898    3602     4636   3.74
  1754        95-99     0.31780  0.80825  1.96     343     277     872     1034   3.02
  1754       100-104    0.39499  0.87355  1.81      66      57     145      163   2.47
  1754       105-109    0.47781  0.91950  1.66       8       8      16       17   2.07
  1754       110+       0.54545  1.00000  1.83       1       1       1        1   1.83
  1755           0      0.28543  0.23785  0.30  100000   23785   83330  3541568  35.42
  1755         1-4      0.04036  0.14677  1.52   76215   11186  277165  3458237  45.37
  1755         5-9      0.01140  0.05502  1.83   65029    3578  313803  3181072  48.92
  1755        10-14     0.00566  0.02791  2.57   61451    1715  303086  2867269  46.66
  1755        15-19     0.00612  0.03012  2.53   59736    1799  294243  2564183  42.93
  1755        20-24     0.00847  0.04151  2.62   57937    2405  283968  2269940  39.18
  1755        25-29     0.00929  0.04536  2.45   55532    2519  271242  1985972  35.76
  1755        30-34     0.01050  0.05118  2.58   53013    2713  258487  1714729  32.35
  1755        35-39     0.01259  0.06106  2.54   50300    3071  243953  1456243  28.95
  1755        40-44     0.01636  0.07866  2.58   47228    3715  227148  1212290  25.67
  1755        45-49     0.01783  0.08532  2.49   43513    3713  208237   985142  22.64
  1755        50-54     0.02388  0.11289  2.59   39801    4493  188154   776905  19.52
  1755        55-59     0.02848  0.13287  2.48   35307    4691  164703   588751  16.67
  1755        60-64     0.03698  0.16980  2.59   30616    5199  140570   424048  13.85
  1755        65-69     0.05219  0.23126  2.54   25417    5878  112621   283477  11.15
  1755        70-74     0.08152  0.33885  2.51   19539    6621   81215   170856   8.74
  1755        75-79     0.11490  0.44284  2.41   12918    5721   49789    89641   6.94
  1755        80-84     0.15282  0.54605  2.39    7198    3930   25719    39852   5.54
  1755        85-89     0.20788  0.65715  2.20    3267    2147   10329    14133   4.33
  1755        90-94     0.27681  0.76241  2.05    1120     854    3085     3804   3.40
  1755        95-99     0.35795  0.84658  1.89     266     225     629      719   2.70
  1755       100-104    0.44802  0.90613  1.71      41      37      83       90   2.19
  1755       105-109    0.54182  0.94401  1.55       4       4       7        7   1.83
  1755       110+       0.61749  1.00000  1.62       0       0       0        0   1.62
  1756           0      0.27494  0.23052  0.30  100000   23052   83844  3457376  34.57
  1756         1-4      0.04164  0.15128  1.57   76948   11640  279515  3373531  43.84
  1756         5-9      0.01285  0.06172  1.82   65308    4031  313714  3094016  47.38
  1756        10-14     0.00648  0.03192  2.58   61277    1956  301646  2780302  45.37
  1756        15-19     0.00685  0.03369  2.51   59321    1999  291635  2478656  41.78
  1756        20-24     0.00926  0.04528  2.62   57322    2595  280428  2187021  38.15
  1756        25-29     0.01029  0.05012  2.46   54727    2743  266676  1906593  34.84
  1756        30-34     0.01161  0.05646  2.54   51984    2935  252701  1639917  31.55
  1756        35-39     0.01235  0.05993  2.56   49049    2940  238074  1387216  28.28
  1756        40-44     0.01823  0.08731  2.59   46110    4026  220827  1149143  24.92
  1756        45-49     0.01889  0.09008  2.44   42084    3791  200719   928316  22.06
  1756        50-54     0.02451  0.11573  2.60   38293    4432  180808   727597  19.00
  1756        55-59     0.03124  0.14497  2.52   33861    4909  157112   546789  16.15
  1756        60-64     0.04066  0.18471  2.52   28953    5348  131517   389677  13.46
  1756        65-69     0.04971  0.22135  2.53   23605    5225  105113   258160  10.94
  1756        70-74     0.08591  0.35466  2.54   18380    6519   75874   153048   8.33
  1756        75-79     0.12528  0.47166  2.38   11861    5595   44657    77173   6.51
  1756        80-84     0.15747  0.55747  2.38    6267    3494   22185    32517   5.19
  1756        85-89     0.24216  0.71918  2.18    2773    1994    8236    10332   3.73
  1756        90-94     0.35579  0.84972  1.93     779     662    1860     2096   2.69
  1756        95-99     0.48808  0.92812  1.66     117     109     223      236   2.02
  1756       100-104    0.62299  0.96617  1.43       8       8      13       13   1.60
  1756       105-109    0.74246  0.98262  1.26       0       0       0        0   1.34
  1756       110+       0.82534  1.00000  1.21       0       0       0        0   1.21
  1757           0      0.26111  0.22072  0.30  100000   22072   84531  3252280  32.52
  1757         1-4      0.05230  0.18577  1.59   77928   14477  276797  3167749  40.65
  1757         5-9      0.01635  0.07760  1.74   63451    4924  301189  2890952  45.56
  1757        10-14     0.00769  0.03773  2.56   58527    2208  287251  2589763  44.25
  1757        15-19     0.00694  0.03412  2.49   56319    1922  276771  2302512  40.88
  1757        20-24     0.01026  0.05010  2.63   54398    2725  265525  2025741  37.24
  1757        25-29     0.01101  0.05354  2.45   51672    2767  251310  1760216  34.06
  1757        30-34     0.01250  0.06064  2.54   48906    2966  237229  1508906  30.85
  1757        35-39     0.01232  0.05976  2.52   45940    2745  222904  1271677  27.68
  1757        40-44     0.01810  0.08671  2.60   43194    3745  206974  1048773  24.28
  1757        45-49     0.01994  0.09494  2.47   39449    3745  187783   841799  21.34
  1757        50-54     0.02661  0.12501  2.59   35704    4463  167744   654016  18.32
  1757        55-59     0.03114  0.14453  2.52   31240    4515  144997   486272  15.57
  1757        60-64     0.04730  0.21201  2.56   26725    5666  119781   341274  12.77
  1757        65-69     0.05707  0.24930  2.47   21059    5250   91987   221493  10.52
  1757        70-74     0.09037  0.36960  2.54   15809    5843   64660   129506   8.19
  1757        75-79     0.13359  0.49360  2.36    9966    4919   36823    64846   6.51
  1757        80-84     0.15257  0.54183  2.33    5047    2734   17923    28024   5.55
