Australia, Life tables (period 5x10), Males	Last modified: 10 Oct 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1921-1929        0      0.06482  0.06177  0.24  100000    6177   95303  6073467  60.73
1921-1929      1-4      0.00551  0.02172  1.36   93823    2037  369917  5978164  63.72
1921-1929      5-9      0.00174  0.00865  2.29   91785     794  456774  5608247  61.10
1921-1929     10-14     0.00144  0.00715  2.58   90991     651  453378  5151473  56.62
1921-1929     15-19     0.00221  0.01099  2.69   90340     993  449404  4698094  52.00
1921-1929     20-24     0.00292  0.01449  2.58   89347    1294  443603  4248691  47.55
1921-1929     25-29     0.00333  0.01651  2.56   88053    1454  436712  3805088  43.21
1921-1929     30-34     0.00384  0.01905  2.57   86599    1649  428992  3368376  38.90
1921-1929     35-39     0.00500  0.02471  2.60   84949    2099  419700  2939384  34.60
1921-1929     40-44     0.00661  0.03251  2.58   82850    2694  407721  2519684  30.41
1921-1929     45-49     0.00939  0.04591  2.57   80156    3680  391837  2111963  26.35
1921-1929     50-54     0.01297  0.06289  2.58   76476    4809  370752  1720126  22.49
1921-1929     55-59     0.01818  0.08713  2.61   71667    6244  343424  1349374  18.83
1921-1929     60-64     0.02773  0.12999  2.60   65423    8504  306733  1005950  15.38
1921-1929     65-69     0.04170  0.18898  2.52   56918   10756  257950   699217  12.28
1921-1929     70-74     0.06386  0.27640  2.57   46162   12759  199805   441267   9.56
1921-1929     75-79     0.10263  0.40633  2.44   33403   13572  132248   241463   7.23
1921-1929     80-84     0.14728  0.53174  2.39   19830   10545   71597   109215   5.51
1921-1929     85-89     0.22501  0.68563  2.15    9286    6367   28295    37618   4.05
1921-1929     90-94     0.29393  0.78044  2.00    2919    2278    7751     9323   3.19
1921-1929     95-99     0.39654  0.87725  1.82     641     562    1418     1572   2.45
1921-1929    100-104    0.50434  0.93229  1.62      79      73     145      154   1.96
1921-1929    105-109    0.61224  0.96284  1.44       5       5       8        9   1.63
1921-1929    110+       0.69660  1.00000  1.44       0       0       0        0   1.44
1930-1939        0      0.04716  0.04541  0.18  100000    4541   96286  6348324  63.48
1930-1939      1-4      0.00401  0.01588  1.48   95459    1516  378009  6252038  65.49
1930-1939      5-9      0.00154  0.00767  2.28   93943     720  467755  5874029  62.53
1930-1939     10-14     0.00124  0.00618  2.62   93223     576  464743  5406275  57.99
1930-1939     15-19     0.00184  0.00914  2.70   92646     847  461281  4941532  53.34
1930-1939     20-24     0.00240  0.01192  2.52   91799    1094  456280  4480251  48.80
1930-1939     25-29     0.00257  0.01277  2.53   90705    1158  450667  4023972  44.36
1930-1939     30-34     0.00292  0.01448  2.60   89547    1296  444622  3573305  39.90
1930-1939     35-39     0.00395  0.01955  2.61   88250    1725  437136  3128683  35.45
1930-1939     40-44     0.00531  0.02620  2.62   86525    2267  427225  2691547  31.11
1930-1939     45-49     0.00785  0.03853  2.64   84259    3247  413627  2264322  26.87
1930-1939     50-54     0.01175  0.05717  2.65   81012    4631  394183  1850694  22.84
1930-1939     55-59     0.01769  0.08489  2.63   76381    6484  366564  1456511  19.07
1930-1939     60-64     0.02657  0.12499  2.64   69897    8736  328855  1089947  15.59
1930-1939     65-69     0.04060  0.18470  2.56   61161   11297  278242   761093  12.44
1930-1939     70-74     0.06236  0.27098  2.58   49864   13512  216675   482851   9.68
1930-1939     75-79     0.10003  0.39878  2.46   36352   14496  144918   266175   7.32
1930-1939     80-84     0.14648  0.53247  2.44   21856   11638   79446   121258   5.55
1930-1939     85-89     0.22293  0.68504  2.19   10218    7000   31399    41811   4.09
1930-1939     90-94     0.28638  0.77259  2.02    3218    2486    8682    10413   3.24
1930-1939     95-99     0.41217  0.88813  1.80     732     650    1577     1730   2.36
1930-1939    100-104    0.52811  0.94117  1.58      82      77     146      153   1.87
1930-1939    105-109    0.64181  0.96878  1.40       5       5       7        7   1.55
1930-1939    110+       0.72887  1.00000  1.37       0       0       0        0   1.37
1940-1949        0      0.03727  0.03612  0.15  100000    3612   96929  6549357  65.49
1940-1949      1-4      0.00257  0.01020  1.54   96388     984  383130  6452428  66.94
1940-1949      5-9      0.00113  0.00566  2.28   95404     540  475554  6069298  63.62
1940-1949     10-14     0.00097  0.00485  2.56   94865     460  473201  5593744  58.97
1940-1949     15-19     0.00146  0.00729  2.61   94405     689  470381  5120543  54.24
1940-1949     20-24     0.00160  0.00795  2.55   93716     745  466753  4650162  49.62
1940-1949     25-29     0.00166  0.00828  2.57   92971     769  462985  4183409  45.00
1940-1949     30-34     0.00202  0.01003  2.61   92201     925  458798  3720424  40.35
1940-1949     35-39     0.00284  0.01409  2.67   91277    1286  453389  3261626  35.73
1940-1949     40-44     0.00429  0.02122  2.68   89991    1909  445520  2808237  31.21
1940-1949     45-49     0.00708  0.03485  2.68   88081    3070  433287  2362717  26.82
1940-1949     50-54     0.01127  0.05493  2.68   85012    4669  414248  1929429  22.70
1940-1949     55-59     0.01762  0.08463  2.67   80342    6799  385868  1515181  18.86
1940-1949     60-64     0.02781  0.13049  2.65   73543    9597  345151  1129313  15.36
1940-1949     65-69     0.04269  0.19337  2.57   63946   12365  289665   784162  12.26
1940-1949     70-74     0.06416  0.27749  2.57   51581   14313  223083   494497   9.59
1940-1949     75-79     0.10023  0.39992  2.47   37268   14904  148694   271414   7.28
1940-1949     80-84     0.14630  0.53087  2.42   22364   11872   81149   122720   5.49
1940-1949     85-89     0.22882  0.69340  2.16   10491    7275   31792    41571   3.96
1940-1949     90-94     0.30775  0.80027  2.00    3217    2574    8365     9779   3.04
1940-1949     95-99     0.44477  0.90759  1.74     642     583    1311     1414   2.20
1940-1949    100-104    0.57197  0.95452  1.51      59      57      99      103   1.73
1940-1949    105-109    0.69134  0.97664  1.33       3       3       4        4   1.44
1940-1949    110+       0.77885  1.00000  1.28       0       0       0        0   1.28
1950-1959        0      0.02577  0.02520  0.11  100000    2520   97763  6709659  67.10
1950-1959      1-4      0.00159  0.00635  1.55   97480     619  388407  6611896  67.83
1950-1959      5-9      0.00066  0.00328  2.36   96861     318  483469  6223489  64.25
1950-1959     10-14     0.00060  0.00301  2.65   96544     291  482035  5740020  59.46
1950-1959     15-19     0.00147  0.00731  2.86   96253     703  479757  5257985  54.63
1950-1959     20-24     0.00190  0.00947  2.44   95549     905  475430  4778227  50.01
1950-1959     25-29     0.00166  0.00827  2.48   94644     783  471248  4302797  45.46
1950-1959     30-34     0.00185  0.00920  2.58   93861     863  467213  3831549  40.82
1950-1959     35-39     0.00244  0.01212  2.65   92998    1127  462346  3364335  36.18
1950-1959     40-44     0.00368  0.01823  2.65   91871    1675  455417  2901989  31.59
1950-1959     45-49     0.00617  0.03041  2.71   90196    2743  444695  2446572  27.13
1950-1959     50-54     0.01049  0.05120  2.71   87453    4477  426993  2001877  22.89
1950-1959     55-59     0.01726  0.08301  2.70   82976    6888  399002  1574884  18.98
1950-1959     60-64     0.02713  0.12758  2.67   76088    9707  357794  1175881  15.45
1950-1959     65-69     0.04227  0.19173  2.58   66380   12727  301068   818088  12.32
1950-1959     70-74     0.06473  0.28006  2.60   53653   15026  232150   517020   9.64
1950-1959     75-79     0.09939  0.39688  2.46   38627   15330  154237   284870   7.37
1950-1959     80-84     0.14198  0.51986  2.43   23297   12111   85302   130633   5.61
