Greece, Life tables (period 5x10), Males	Last modified: 08 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1981-1989        0      0.01429  0.01411  0.12  100000    1411   98759  7373742  73.74
1981-1989      1-4      0.00044  0.00178  1.76   98589     175  393963  7274983  73.79
1981-1989      5-9      0.00025  0.00124  2.51   98414     122  491765  6881020  69.92
1981-1989     10-14     0.00027  0.00136  2.75   98292     134  491158  6389254  65.00
1981-1989     15-19     0.00081  0.00404  2.86   98158     397  489939  5898097  60.09
1981-1989     20-24     0.00123  0.00613  2.52   97761     599  487321  5408158  55.32
1981-1989     25-29     0.00108  0.00540  2.47   97162     525  484478  4920837  50.65
1981-1989     30-34     0.00112  0.00559  2.53   96637     541  481849  4436359  45.91
1981-1989     35-39     0.00142  0.00707  2.63   96096     680  478869  3954510  41.15
1981-1989     40-44     0.00209  0.01038  2.66   95416     991  474766  3475641  36.43
1981-1989     45-49     0.00331  0.01641  2.66   94426    1549  468509  3000874  31.78
1981-1989     50-54     0.00547  0.02701  2.68   92877    2509  458560  2532365  27.27
1981-1989     55-59     0.00946  0.04627  2.69   90368    4181  442189  2073805  22.95
1981-1989     60-64     0.01567  0.07559  2.66   86187    6515  415677  1631616  18.93
1981-1989     65-69     0.02542  0.11991  2.65   79672    9554  375904  1215939  15.26
1981-1989     70-74     0.04144  0.18848  2.60   70119   13216  318939   840035  11.98
1981-1989     75-79     0.06705  0.28818  2.56   56903   16398  244572   521096   9.16
1981-1989     80-84     0.10762  0.42255  2.46   40504   17115  159038   276523   6.83
1981-1989     85-89     0.16714  0.57840  2.34   23389   13528   80938   117485   5.02
1981-1989     90-94     0.24633  0.71850  2.10    9861    7085   28762    36548   3.71
1981-1989     95-99     0.34097  0.83483  1.94    2776    2317    6796     7785   2.80
1981-1989    100-104    0.45488  0.91192  1.72     458     418     919      989   2.16
1981-1989    105-109    0.57415  0.95463  1.50      40      39      67       70   1.73
1981-1989    110+       0.66923  1.00000  1.49       2       2       3        3   1.49
1990-1999        0      0.00824  0.00818  0.13  100000     818   99291  7500503  75.01
1990-1999      1-4      0.00028  0.00114  1.83   99182     113  396483  7401213  74.62
1990-1999      5-9      0.00018  0.00089  2.29   99069      88  495107  7004730  70.71
1990-1999     10-14     0.00021  0.00104  2.81   98981     103  494680  6509623  65.77
1990-1999     15-19     0.00075  0.00372  2.93   98878     368  493631  6014943  60.83
1990-1999     20-24     0.00119  0.00591  2.53   98510     582  491110  5521312  56.05
1990-1999     25-29     0.00119  0.00592  2.48   97928     579  488180  5030202  51.37
1990-1999     30-34     0.00126  0.00627  2.53   97349     611  485234  4542022  46.66
1990-1999     35-39     0.00153  0.00762  2.59   96738     737  481916  4056788  41.94
1990-1999     40-44     0.00220  0.01096  2.66   96001    1052  477542  3574872  37.24
1990-1999     45-49     0.00345  0.01711  2.67   94948    1625  470950  3097329  32.62
1990-1999     50-54     0.00540  0.02666  2.65   93323    2488  460764  2626380  28.14
1990-1999     55-59     0.00847  0.04151  2.67   90835    3771  445384  2165616  23.84
1990-1999     60-64     0.01363  0.06607  2.67   87064    5753  421903  1720232  19.76
1990-1999     65-69     0.02224  0.10570  2.66   81312    8595  386449  1298329  15.97
1990-1999     70-74     0.03669  0.16867  2.61   72717   12265  334265   911881  12.54
1990-1999     75-79     0.06059  0.26427  2.58   60451   15975  263659   577616   9.56
1990-1999     80-84     0.10073  0.40167  2.48   44476   17865  177353   313956   7.06
1990-1999     85-89     0.16023  0.56330  2.36   26611   14990   93555   136603   5.13
1990-1999     90-94     0.24477  0.72164  2.16   11621    8386   34262    43048   3.70
1990-1999     95-99     0.35261  0.84631  1.93    3235    2738    7764     8786   2.72
1990-1999    100-104    0.47837  0.92358  1.68     497     459     960     1022   2.06
1990-1999    105-109    0.60767  0.96286  1.45      38      37      60       62   1.64
1990-1999    110+       0.70842  1.00000  1.41       1       1       2        2   1.41
2000-2009        0      0.00443  0.00441  0.14  100000     441   99621  7658408  76.58
2000-2009      1-4      0.00020  0.00079  1.63   99559      79  398048  7558787  75.92
2000-2009      5-9      0.00014  0.00069  2.39   99480      69  497219  7160740  71.98
2000-2009     10-14     0.00015  0.00077  2.92   99411      77  496895  6663521  67.03
2000-2009     15-19     0.00061  0.00303  2.99   99334     301  496068  6166625  62.08
2000-2009     20-24     0.00107  0.00533  2.58   99033     528  493891  5670557  57.26
2000-2009     25-29     0.00109  0.00545  2.48   98506     537  491173  5176667  52.55
2000-2009     30-34     0.00110  0.00548  2.57   97969     537  488541  4685494  47.83
2000-2009     35-39     0.00137  0.00684  2.63   97432     667  485580  4196953  43.08
2000-2009     40-44     0.00211  0.01048  2.71   96765    1014  481507  3711373  38.35
2000-2009     45-49     0.00337  0.01674  2.67   95751    1603  475031  3229867  33.73
2000-2009     50-54     0.00532  0.02628  2.68   94149    2474  465012  2754836  29.26
