Slovakia , Life tables (period 5x10), Males	Last modified: 29 Oct 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1950-1959        0      0.06956  0.06613  0.26  100000    6613   95074  6403057  64.03
1950-1959      1-4      0.00280  0.01113  1.36   93387    1039  370799  6307983  67.55
1950-1959      5-9      0.00084  0.00418  2.36   92348     386  460720  5937184  64.29
1950-1959     10-14     0.00079  0.00394  2.58   91961     362  458928  5476464  59.55
1950-1959     15-19     0.00150  0.00749  2.83   91599     686  456507  5017535  54.78
1950-1959     20-24     0.00217  0.01081  2.56   90913     982  452164  4561028  50.17
1950-1959     25-29     0.00225  0.01120  2.51   89931    1007  447143  4108865  45.69
1950-1959     30-34     0.00245  0.01218  2.52   88923    1083  441932  3661722  41.18
1950-1959     35-39     0.00291  0.01444  2.59   87840    1268  436149  3219790  36.66
1950-1959     40-44     0.00400  0.01984  2.63   86571    1717  428792  2783642  32.15
1950-1959     45-49     0.00617  0.03040  2.68   84854    2580  418286  2354850  27.75
1950-1959     50-54     0.00987  0.04823  2.66   82275    3968  402098  1936563  23.54
1950-1959     55-59     0.01568  0.07562  2.64   78307    5921  377561  1534465  19.60
1950-1959     60-64     0.02460  0.11621  2.62   72385    8412  341911  1156903  15.98
1950-1959     65-69     0.03697  0.16975  2.59   63974   10860  293735   814992  12.74
1950-1959     70-74     0.05808  0.25464  2.58   53114   13525  232859   521257   9.81
1950-1959     75-79     0.09368  0.37997  2.52   39589   15042  160577   288398   7.28
1950-1959     80-84     0.15525  0.55287  2.40   24547   13571   87414   127821   5.21
1950-1959     85-89     0.24584  0.72484  2.17   10975    7955   32360    40407   3.68
1950-1959     90-94     0.35920  0.85368  1.93    3020    2578    7178     8048   2.66
1950-1959     95-99     0.50028  0.93318  1.64     442     412     824      870   1.97
1950-1959    100-104    0.63847  0.96914  1.41      30      29      45       46   1.56
1950-1959    105-109    0.75835  0.98417  1.24       1       1       1        1   1.32
1950-1959    110+       0.83974  1.00000  1.19       0       0       0        0   1.19
1960-1969        0      0.02979  0.02903  0.13  100000    2903   97461  6789285  67.89
1960-1969      1-4      0.00154  0.00614  1.51   97097     596  386907  6691824  68.92
1960-1969      5-9      0.00062  0.00307  2.25   96501     296  481691  6304917  65.34
1960-1969     10-14     0.00050  0.00250  2.60   96205     241  480447  5823226  60.53
1960-1969     15-19     0.00120  0.00600  2.91   95964     576  478617  5342779  55.67
1960-1969     20-24     0.00190  0.00945  2.56   95388     901  474746  4864162  50.99
1960-1969     25-29     0.00177  0.00879  2.55   94487     830  470402  4389417  46.46
1960-1969     30-34     0.00214  0.01067  2.64   93657     999  465923  3919014  41.84
1960-1969     35-39     0.00275  0.01365  2.58   92658    1265  460224  3453092  37.27
1960-1969     40-44     0.00377  0.01869  2.67   91393    1708  452980  2992868  32.75
1960-1969     45-49     0.00545  0.02688  2.63   89685    2411  442709  2539888  28.32
1960-1969     50-54     0.00817  0.04007  2.67   87274    3497  428225  2097178  24.03
1960-1969     55-59     0.01394  0.06750  2.69   83776    5655  405803  1668954  19.92
1960-1969     60-64     0.02339  0.11087  2.66   78121    8661  370322  1263151  16.17
1960-1969     65-69     0.03707  0.17032  2.62   69460   11831  319169   892829  12.85
1960-1969     70-74     0.05791  0.25375  2.56   57630   14624  252510   573660   9.95
1960-1969     75-79     0.09130  0.37154  2.50   43006   15979  175011   321150   7.47
1960-1969     80-84     0.14619  0.52841  2.38   27027   14282   97693   146139   5.41
1960-1969     85-89     0.23601  0.70898  2.18   12746    9037   38288    48446   3.80
1960-1969     90-94     0.34832  0.84466  1.95    3709    3133    8995    10158   2.74
1960-1969     95-99     0.48731  0.92822  1.67     576     535    1098     1163   2.02
1960-1969    100-104    0.62709  0.96715  1.42      41      40      64       66   1.59
1960-1969    105-109    0.74983  0.98342  1.25       1       1       2        2   1.33
1960-1969    110+       0.83376  1.00000  1.20       0       0       0        0   1.20
1970-1979        0      0.02746  0.02681  0.12  100000    2681   97635  6683710  66.84
1970-1979      1-4      0.00107  0.00427  1.62   97319     415  388288  6586075  67.67
1970-1979      5-9      0.00054  0.00270  2.35   96904     262  483824  6197787  63.96
1970-1979     10-14     0.00048  0.00239  2.58   96642     231  482650  5713963  59.13
1970-1979     15-19     0.00107  0.00536  2.90   96411     516  480971  5231313  54.26
1970-1979     20-24     0.00159  0.00793  2.57   95894     760  477625  4750342  49.54
1970-1979     25-29     0.00166  0.00829  2.57   95134     789  473755  4272717  44.91
1970-1979     30-34     0.00232  0.01153  2.62   94345    1088  469139  3798962  40.27
1970-1979     35-39     0.00330  0.01637  2.67   93258    1526  462728  3329823  35.71
1970-1979     40-44     0.00497  0.02457  2.63   91731    2254  453312  2867095  31.26
1970-1979     45-49     0.00769  0.03775  2.64   89477    3378  439416  2413782  26.98
1970-1979     50-54     0.01156  0.05629  2.64   86100    4846  419059  1974366  22.93
1970-1979     55-59     0.01686  0.08104  2.60   81254    6585  390445  1555307  19.14
1970-1979     60-64     0.02509  0.11845  2.65   74669    8845  352528  1164862  15.60
1970-1979     65-69     0.04026  0.18364  2.61   65824   12088  300278   812334  12.34
1970-1979     70-74     0.06432  0.27796  2.56   53736   14937  232236   512056   9.53
1970-1979     75-79     0.09933  0.39703  2.47   38800   15405  155083   279819   7.21
1970-1979     80-84     0.15345  0.54621  2.36   23395   12779   83277   124737   5.33
1970-1979     85-89     0.22882  0.69830  2.21   10616    7413   32398    41460   3.91
1970-1979     90-94     0.33782  0.83510  1.97    3203    2675    7918     9063   2.83
1970-1979     95-99     0.45222  0.91121  1.72     528     481    1064     1145   2.17
1970-1979    100-104    0.57796  0.95593  1.50      47      45      78       81   1.72
1970-1979    105-109    0.69534  0.97712  1.32       2       2       3        3   1.43
1970-1979    110+       0.78123  1.00000  1.28       0       0       0        0   1.28
1980-1989        0      0.01907  0.01875  0.11  100000    1875   98334  6684983  66.85
1980-1989      1-4      0.00068  0.00273  1.61   98125     268  391860  6586649  67.12
1980-1989      5-9      0.00038  0.00189  2.43   97857     185  488809  6194789  63.30
1980-1989     10-14     0.00034  0.00170  2.65   97672     166  487968  5705979  58.42
1980-1989     15-19     0.00086  0.00429  2.87   97506     418  486637  5218011  53.51
1980-1989     20-24     0.00125  0.00624  2.61   97088     606  483992  4731374  48.73
1980-1989     25-29     0.00145  0.00725  2.61   96482     699  480735  4247382  44.02
