Estonia, Life tables (period 5x5), Males	Last modified: 21 Jan 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1960-1964        0      0.03108  0.03026  0.13  100000    3026   97366  6538418  65.38
1960-1964      1-4      0.00154  0.00612  1.62   96974     593  386484  6441052  66.42
1960-1964      5-9      0.00075  0.00375  2.58   96380     362  481024  6054568  62.82
1960-1964     10-14     0.00062  0.00309  2.68   96018     297  479402  5573544  58.05
1960-1964     15-19     0.00156  0.00777  2.87   95721     744  477020  5094142  53.22
1960-1964     20-24     0.00255  0.01267  2.64   94977    1204  472043  4617122  48.61
1960-1964     25-29     0.00299  0.01484  2.60   93774    1392  465527  4145079  44.20
1960-1964     30-34     0.00352  0.01744  2.52   92382    1611  457918  3679552  39.83
1960-1964     35-39     0.00423  0.02095  2.52   90771    1901  449141  3221634  35.49
1960-1964     40-44     0.00538  0.02658  2.63   88869    2362  438744  2772493  31.20
1960-1964     45-49     0.00717  0.03525  2.59   86508    3050  425182  2333749  26.98
1960-1964     50-54     0.01080  0.05266  2.64   83458    4395  406928  1908567  22.87
1960-1964     55-59     0.01661  0.07999  2.68   79063    6324  380652  1501639  18.99
1960-1964     60-64     0.02705  0.12721  2.66   72739    9253  342086  1120987  15.41
1960-1964     65-69     0.04243  0.19246  2.59   63485   12219  287955   778902  12.27
1960-1964     70-74     0.06423  0.27769  2.56   51267   14236  221646   490947   9.58
1960-1964     75-79     0.09899  0.39525  2.45   37031   14636  147856   269301   7.27
1960-1964     80-84     0.14834  0.53587  2.41   22394   12000   80896   121445   5.42
1960-1964     85-89     0.22864  0.69973  2.23   10394    7273   31809    40549   3.90
1960-1964     90-94     0.34010  0.83602  1.96    3121    2609    7672     8741   2.80
1960-1964     95-99     0.47011  0.92046  1.70     512     471    1002     1069   2.09
1960-1964    100-104    0.60499  0.96256  1.46      41      39      65       67   1.64
1960-1964    105-109    0.72683  0.98102  1.28       2       1       2        2   1.37
1960-1964    110+       0.81267  1.00000  1.23       0       0       0        0   1.23
1965-1969        0      0.02169  0.02128  0.11  100000    2128   98098  6600815  66.01
1965-1969      1-4      0.00132  0.00528  1.57   97872     517  390236  6502717  66.44
1965-1969      5-9      0.00073  0.00364  2.38   97356     354  485849  6112481  62.79
1965-1969     10-14     0.00061  0.00302  2.77   97002     293  484354  5626633  58.01
1965-1969     15-19     0.00129  0.00644  3.00   96708     623  482297  5142279  53.17
1965-1969     20-24     0.00224  0.01114  2.74   96085    1071  478005  4659981  48.50
1965-1969     25-29     0.00277  0.01374  2.60   95015    1305  471938  4181976  44.01
1965-1969     30-34     0.00369  0.01827  2.56   93709    1712  464378  3710038  39.59
1965-1969     35-39     0.00446  0.02207  2.54   91997    2031  454990  3245660  35.28
1965-1969     40-44     0.00577  0.02847  2.67   89966    2561  443872  2790671  31.02
1965-1969     45-49     0.00766  0.03761  2.64   87405    3288  429276  2346799  26.85
1965-1969     50-54     0.01066  0.05197  2.61   84118    4372  410120  1917523  22.80
1965-1969     55-59     0.01717  0.08252  2.64   79746    6580  383175  1507403  18.90
1965-1969     60-64     0.02711  0.12737  2.63   73166    9319  343755  1124228  15.37
1965-1969     65-69     0.04405  0.19925  2.61   63847   12722  288791   780473  12.22
1965-1969     70-74     0.06457  0.27847  2.53   51125   14237  220480   491682   9.62
1965-1969     75-79     0.09811  0.39301  2.47   36889   14498  147771   271202   7.35
1965-1969     80-84     0.14691  0.52971  2.37   22391   11861   80735   123431   5.51
1965-1969     85-89     0.22022  0.68397  2.23   10530    7202   32705    42696   4.05
1965-1969     90-94     0.31521  0.81459  2.03    3328    2711    8600     9991   3.00
1965-1969     95-99     0.43374  0.90139  1.76     617     556    1282     1390   2.25
