Luxembourg, Life tables (period 5x5), Males	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1960-1964        0      0.03571  0.03465  0.14  100000    3465   97036  6594372  65.94
1960-1964      1-4      0.00152  0.00606  1.73   96535     585  384814  6497336  67.31
1960-1964      5-9      0.00080  0.00398  2.01   95950     382  478607  6112522  63.71
1960-1964     10-14     0.00045  0.00224  2.74   95568     214  477354  5633915  58.95
1960-1964     15-19     0.00134  0.00670  3.02   95354     639  475504  5156561  54.08
1960-1964     20-24     0.00223  0.01111  2.48   94715    1052  470925  4681057  49.42
1960-1964     25-29     0.00177  0.00879  2.48   93663     823  466238  4210132  44.95
1960-1964     30-34     0.00186  0.00928  2.83   92840     862  462325  3743894  40.33
1960-1964     35-39     0.00221  0.01098  2.71   91978    1010  457572  3281570  35.68
1960-1964     40-44     0.00367  0.01823  2.79   90968    1658  451180  2823998  31.04
1960-1964     45-49     0.00697  0.03434  2.79   89310    3067  439777  2372818  26.57
1960-1964     50-54     0.01170  0.05687  2.58   86242    4905  419325  1933041  22.41
1960-1964     55-59     0.01808  0.08668  2.63   81337    7050  389965  1513715  18.61
1960-1964     60-64     0.02960  0.13798  2.55   74287   10250  346337  1123750  15.13
1960-1964     65-69     0.04239  0.19208  2.56   64037   12300  290182   777413  12.14
1960-1964     70-74     0.06581  0.28377  2.57   51737   14681  223078   487231   9.42
1960-1964     75-79     0.09805  0.39219  2.45   37055   14533  148213   264153   7.13
1960-1964     80-84     0.16213  0.56487  2.32   22523   12722   78472   115940   5.15
1960-1964     85-89     0.23641  0.70963  2.18    9800    6955   29418    37468   3.82
1960-1964     90-94     0.33758  0.83186  1.95    2846    2367    7012     8050   2.83
1960-1964     95-99     0.45223  0.91072  1.72     478     436     964     1038   2.17
1960-1964    100-104    0.57262  0.95430  1.51      43      41      71       74   1.73
1960-1964    105-109    0.68585  0.97571  1.33       2       2       3        3   1.45
1960-1964    110+       0.76975  1.00000  1.30       0       0       0        0   1.30
1965-1969        0      0.02417  0.02366  0.11  100000    2366   97888  6654312  66.54
1965-1969      1-4      0.00096  0.00383  1.39   97634     374  389561  6556425  67.15
