Slovenia, Life tables (period 5x5), Males	Last modified: 01 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1983-1984        0      0.01479  0.01460  0.12  100000    1460   98715  6700109  67.00
1983-1984      1-4      0.00066  0.00263  1.66   98540     259  393555  6601394  66.99
1983-1984      5-9      0.00037  0.00184  2.66   98281     181  490983  6207838  63.16
1983-1984     10-14     0.00029  0.00145  2.84   98100     142  490196  5716855  58.28
1983-1984     15-19     0.00095  0.00472  2.95   97958     463  488844  5226660  53.36
1983-1984     20-24     0.00165  0.00824  2.49   97496     803  485459  4737815  48.60
1983-1984     25-29     0.00190  0.00947  2.46   96692     915  481135  4252356  43.98
1983-1984     30-34     0.00234  0.01164  2.60   95777    1115  476214  3771221  39.37
1983-1984     35-39     0.00337  0.01673  2.69   94663    1584  469658  3295007  34.81
1983-1984     40-44     0.00509  0.02518  2.77   93078    2344  460174  2825349  30.35
1983-1984     45-49     0.00852  0.04176  2.69   90735    3789  444930  2365175  26.07
1983-1984     50-54     0.01404  0.06795  2.66   86945    5908  420877  1920245  22.09
1983-1984     55-59     0.02027  0.09659  2.57   81037    7827  386182  1499368  18.50
1983-1984     60-64     0.02766  0.12957  2.56   73210    9486  342891  1113186  15.21
1983-1984     65-69     0.04120  0.18735  2.58   63724   11938  289770   770295  12.09
1983-1984     70-74     0.06409  0.27782  2.60   51786   14387  224467   480526   9.28
1983-1984     75-79     0.10604  0.41755  2.46   37399   15616  147267   256059   6.85
1983-1984     80-84     0.16875  0.58006  2.31   21783   12635   74876   108792   4.99
1983-1984     85-89     0.24108  0.71206  2.13    9147    6514   27018    33915   3.71
1983-1984     90-94     0.36965  0.85037  1.83    2634    2240    6059     6897   2.62
1983-1984     95-99     0.46201  0.91537  1.70     394     361     781      838   2.13
1983-1984    100-104    0.58155  0.95648  1.49      33      32      55       57   1.71
1983-1984    105-109    0.69307  0.97665  1.32       1       1       2        2   1.44
1983-1984    110+       0.77533  1.00000  1.29       0       0       0        0   1.29
1985-1989        0      0.01213  0.01200  0.13  100000    1200   98950  6837708  68.38
1985-1989      1-4      0.00058  0.00233  1.64   98800     230  394659  6738758  68.21
1985-1989      5-9      0.00030  0.00148  2.45   98570     145  492480  6344098  64.36
1985-1989     10-14     0.00034  0.00171  2.68   98425     168  491733  5851618  59.45
1985-1989     15-19     0.00096  0.00477  2.79   98256     469  490244  5359885  54.55
1985-1989     20-24     0.00167  0.00834  2.44   97787     815  486846  4869641  49.80
1985-1989     25-29     0.00164  0.00816  2.63   96972     791  482983  4382795  45.20
1985-1989     30-34     0.00201  0.01001  2.67   96181     963  478656  3899812  40.55
1985-1989     35-39     0.00287  0.01426  2.61   95218    1358  472850  3421156  35.93
1985-1989     40-44     0.00441  0.02184  2.68   93860    2050  464537  2948306  31.41
1985-1989     45-49     0.00707  0.03477  2.70   91810    3192  451693  2483769  27.05
1985-1989     50-54     0.01205  0.05861  2.67   88618    5194  430963  2032075  22.93
1985-1989     55-59     0.01930  0.09228  2.62   83424    7698  398824  1601112  19.19
1985-1989     60-64     0.02697  0.12661  2.58   75726    9588  355450  1202288  15.88
1985-1989     65-69     0.03840  0.17572  2.59   66138   11622  302682   846838  12.80
1985-1989     70-74     0.05760  0.25237  2.55   54516   13758  238857   544156   9.98
1985-1989     75-79     0.09158  0.37247  2.50   40758   15181  165773   305299   7.49
1985-1989     80-84     0.14820  0.53286  2.36   25577   13629   91965   139526   5.46
1985-1989     85-89     0.22230  0.68211  2.17   11948    8150   36662    47561   3.98
1985-1989     90-94     0.33337  0.82574  1.94    3798    3136    9408    10899   2.87
1985-1989     95-99     0.43396  0.90139  1.76     662     597    1375     1491   2.25
1985-1989    100-104    0.55627  0.95006  1.53      65      62     111      116   1.78
1985-1989    105-109    0.67301  0.97397  1.35       3       3       5        5   1.48
1985-1989    110+       0.76017  1.00000  1.32       0       0       0        0   1.32
1990-1994        0      0.00882  0.00875  0.13  100000     875   99240  6960158  69.60
1990-1994      1-4      0.00044  0.00174  1.71   99125     173  396104  6860919  69.22
1990-1994      5-9      0.00023  0.00113  2.17   98952     112  494443  6464815  65.33
1990-1994     10-14     0.00026  0.00130  2.83   98840     129  493920  5970372  60.40
1990-1994     15-19     0.00098  0.00488  3.09   98711     481  492635  5476452  55.48
