Chile, Population size (abridged)	Last modified: 18 Apr 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1992           0            137242.54       143654.94       280897.48
  1992           1            134593.85       140715.42       275309.27
  1992           2            141549.73       147507.90       289057.63
  1992           3            145633.53       151902.89       297536.42
  1992           4            147489.34       154421.43       301910.77
  1992           5            127352.19       131877.29       259229.48
  1992           6            122107.49       125772.57       247880.06
  1992           7            119702.18       123937.11       243639.29
  1992           8            119862.54       123572.49       243435.03
  1992           9            125539.61       128969.88       254509.49
  1992          10            128195.44       132301.69       260497.13
  1992          11            120931.21       125810.83       246742.04
  1992          12            118786.91       121931.74       240718.65
  1992          13            115663.38       118231.25       233894.63
  1992          14            116079.64       120335.27       236414.91
  1992          15            113494.25       116665.68       230159.93
  1992          16            118497.28       121902.42       240399.70
  1992          17            124128.56       128274.49       252403.05
  1992          18            125507.13       128945.60       254452.73
  1992          19            122183.39       121232.29       243415.68
  1992          20            121615.16       119479.51       241094.67
  1992          21            120135.32       119548.21       239683.53
  1992          22            120665.68       119765.88       240431.56
  1992          23            122919.13       120179.16       243098.29
  1992          24            123936.26       120465.83       244402.09
  1992          25            123702.64       119022.69       242725.33
  1992          26            125801.03       120866.21       246667.24
  1992          27            126990.26       122481.19       249471.45
  1992          28            124380.11       120778.23       245158.34
  1992          29            124717.90       119927.22       244645.12
  1992          30            122920.24       117580.33       240500.57
  1992          31            114493.59       110177.58       224671.17
  1992          32            119021.89       113476.17       232498.06
  1992          33            109860.66       107397.16       217257.82
  1992          34            103308.25        99285.10       202593.35
  1992          35            101976.01        96568.86       198544.87
  1992          36             98323.15        92616.62       190939.77
  1992          37             94981.08        89349.19       184330.27
  1992          38             91916.41        87264.45       179180.86
  1992          39             85769.62        81845.34       167614.96
  1992          40             82336.65        76885.10       159221.75
  1992          41             78024.43        75855.05       153879.48
  1992          42             85600.06        81683.94       167284.00
  1992          43             74287.04        70084.72       144371.76
  1992          44             69531.43        64711.38       134242.81
  1992          45             68241.04        63188.49       131429.53
  1992          46             68936.43        66221.16       135157.59
  1992          47             67765.91        64304.88       132070.79
  1992          48             64892.36        61498.64       126391.00
  1992          49             62084.81        58035.66       120120.47
  1992          50             61083.01        55740.16       116823.17
  1992          51             56163.83        54152.03       110315.86
  1992          52             60091.92        56557.86       116649.78
  1992          53             51688.32        47153.68        98842.00
  1992          54             50720.47        45219.26        95939.73
  1992          55             48835.55        43393.65        92229.20
  1992          56             46851.88        43260.65        90112.53
  1992          57             45390.03        41449.96        86839.99
  1992          58             45296.39        41056.19        86352.58
  1992          59             46367.39        39958.71        86326.10
  1992          60             48288.15        39846.71        88134.86
  1992          61             44086.42        40096.93        84183.35
  1992          62             49548.31        42937.96        92486.27
  1992          63             44043.80        37753.23        81797.03
  1992          64             42582.10        37544.57        80126.67
  1992          65             40189.58        34875.32        75064.90
  1992          66             34070.30        28877.01        62947.31
  1992          67             32408.97        27762.58        60171.55
  1992          68             29568.84        24249.17        53818.01
  1992          69             27546.94        22439.04        49985.98
  1992          70             28561.67        22457.74        51019.41
