Croatia, Population size (abridged)	Last modified: 24 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  2001           0             20585.00        21849.00        42434.00
  2001           1             21461.00        22561.00        44022.00
  2001           2             22689.00        23730.00        46419.00
  2001           3             23840.00        24801.00        48641.00
  2001           4             23992.00        25572.00        49564.00
  2001           5             23192.00        24407.00        47599.00
  2001           6             23252.00        23873.00        47125.00
  2001           7             23164.00        24421.00        47585.00
  2001           8             22278.00        23475.00        45753.00
  2001           9             24271.00        25619.00        49890.00
  2001          10             24250.00        25243.00        49493.00
  2001          11             24343.00        25415.00        49758.00
  2001          12             25125.00        26440.00        51565.00
  2001          13             25119.00        26281.00        51400.00
  2001          14             25634.00        26593.00        52227.00
  2001          15             26646.00        27670.00        54316.00
  2001          16             27434.00        28989.00        56423.00
  2001          17             27142.00        28375.00        55517.00
  2001          18             27434.00        28860.00        56294.00
  2001          19             27687.00        29008.00        56695.00
  2001          20             28086.00        29913.00        57999.00
  2001          21             28250.00        29807.00        58057.00
  2001          22             27744.00        29072.00        56816.00
  2001          23             27719.00        29094.00        56813.00
  2001          24             27762.00        28370.00        56132.00
  2001          25             27395.00        28261.00        55656.00
  2001          26             27346.00        28070.00        55416.00
  2001          27             27579.00        27813.00        55392.00
  2001          28             27603.00        28067.00        55670.00
  2001          29             27602.00        28077.00        55679.00
  2001          30             26487.00        26756.00        53243.00
  2001          31             27739.00        27774.00        55513.00
  2001          32             28382.00        28330.00        56712.00
  2001          33             29317.00        29428.00        58745.00
  2001          34             30947.00        30628.00        61575.00
  2001          35             31059.00        31109.00        62168.00
  2001          36             29959.00        29726.00        59685.00
  2001          37             30366.00        30323.00        60689.00
  2001          38             31207.00        30886.00        62093.00
  2001          39             32279.00        31894.00        64173.00
  2001          40             32505.00        32300.00        64805.00
  2001          41             32730.00        32884.00        65614.00
  2001          42             32399.00        32545.00        64944.00
  2001          43             32353.00        32475.00        64828.00
  2001          44             34086.00        34115.00        68201.00
  2001          45             33628.00        34322.00        67950.00
  2001          46             32807.00        35043.00        67850.00
  2001          47             32428.00        33223.00        65651.00
  2001          48             32031.00        32617.00        64648.00
  2001          49             29637.00        30211.00        59848.00
  2001          50             31443.00        31456.00        62899.00
  2001          51             31422.00        30399.00        61821.00
  2001          52             29356.00        27897.00        57253.00
  2001          53             28953.00        27251.00        56204.00
  2001          54             26882.00        24583.00        51465.00
  2001          55             20677.00        18856.00        39533.00
  2001          56             22657.00        20425.00        43082.00
  2001          57             25359.00        22376.00        47735.00
  2001          58             27623.00        24921.00        52544.00
  2001          59             26394.00        23148.00        49542.00
  2001          60             28084.00        24783.00        52867.00
  2001          61             28178.00        24508.00        52686.00
  2001          62             28528.00        24077.00        52605.00
  2001          63             29232.00        24814.00        54046.00
  2001          64             29261.00        24208.00        53469.00
  2001          65             28793.00        23600.00        52393.00
  2001          66             28947.00        23233.00        52180.00
  2001          67             28924.00        22358.00        51282.00
  2001          68             29066.00        21305.00        50371.00
  2001          69             28040.00        20539.00        48579.00
  2001          70             27706.00        20072.00        47778.00
  2001          71             24999.00        17885.00        42884.00
  2001          72             24047.00        16318.00        40365.00
  2001          73             21975.00        13890.00        35865.00
  2001          74             22382.00        12668.00        35050.00
  2001          75             20953.00        10599.00        31552.00
  2001          76             20138.00         9687.00        29825.00
  2001          77             18590.00         8717.00        27307.00
  2001          78             17192.00         7673.00        24865.00
  2001          79             16209.00         6938.00        23147.00
