Belgium, Population size (1-year)	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
     1841        0             60433.69        62321.59       122755.28
     1841      1-4            200863.94       204551.43       405415.37
     1841      5-9            215012.69       222393.20       437405.89
     1841     10-14           203584.67       202341.40       405926.07
     1841     15-19           203708.39       207009.59       410717.98
     1841     20-24           171646.30       174465.02       346111.32
     1841     25-29           153818.62       154201.95       308020.57
     1841     30-34           153110.11       155163.14       308273.25
     1841     35-39           132743.31       137732.56       270475.87
     1841     40-44           133894.23       137073.60       270967.83
     1841     45-49           101575.62        88543.27       190118.89
     1841     50-54            94814.83        76605.92       171420.75
     1841     55-59            77317.62        68133.07       145450.69
     1841     60-64            69106.60        62809.65       131916.25
     1841     65-69            49118.52        45402.07        94520.59
     1841     70-74            38387.78        34580.61        72968.39
     1841     75-79            22420.05        19821.20        42241.25
     1841     80-84            10955.20         8952.66        19907.86
     1841     85-89             4052.65         2949.15         7001.80
     1841     90-94             1000.36          656.53         1656.89
     1841     95-99              159.34          108.43          267.77
     1841    100-104               9.59            6.62           16.21
     1841    105-109               0.00            0.00            0.00
     1841    110+                  0.00            0.00            0.00
     1842        0             60529.61        62358.12       122887.73
     1842      1-4            203543.72       207119.13       410662.85
     1842      5-9            217689.03       224694.65       442383.68
     1842     10-14           201936.07       204363.30       406299.37
     1842     15-19           204408.14       205801.45       410209.59
     1842     20-24           172705.87       175654.92       348360.79
     1842     25-29           157348.29       157517.65       314865.94
     1842     30-34           149419.19       151105.95       300525.14
     1842     35-39           135984.53       141077.21       277061.74
     1842     40-44           131750.95       136622.86       268373.81
     1842     45-49           108383.58        99907.15       208290.73
     1842     50-54            92056.86        73258.57       165315.43
     1842     55-59            81690.90        70997.85       152688.75
     1842     60-64            68648.09        61713.47       130361.56
     1842     65-69            51349.98        47046.04        98396.02
     1842     70-74            37921.84        34613.68        72535.52
     1842     75-79            23582.32        20843.64        44425.96
     1842     80-84            11066.52         9041.10        20107.62
     1842     85-89             4073.84         3018.87         7092.71
     1842     90-94             1031.30          672.99         1704.29
     1842     95-99              167.24          115.45          282.69
     1842    100-104              12.76            7.46           20.22
     1842    105-109               0.00            0.00            0.00
     1842    110+                  0.00            0.00            0.00
     1843        0             59029.73        60915.50       119945.23
     1843      1-4            204556.76       208796.59       413353.35
     1843      5-9            219574.04       225751.56       445325.60
     1843     10-14           204724.54       209923.73       414648.27
     1843     15-19           199527.59       200785.07       400312.66
     1843     20-24           182211.51       184664.61       366876.12
     1843     25-29           155415.28       155918.04       311333.32
     1843     30-34           149845.80       151271.62       301117.42
     1843     35-39           136143.48       141288.72       277432.20
     1843     40-44           132118.21       137535.51       269653.72
     1843     45-49           110813.36       106608.82       217422.18
     1843     50-54            94052.89        75054.06       169106.95
     1843     55-59            80982.39        69099.44       150081.83
     1843     60-64            69646.08        62171.39       131817.47
     1843     65-69            51935.11        47010.73        98945.84
     1843     70-74            37941.88        34602.43        72544.31
     1843     75-79            23562.16        20841.27        44403.43
     1843     80-84            11071.81         9137.48        20209.29
     1843     85-89             4032.19         3013.70         7045.89
     1843     90-94             1050.32          663.87         1714.19
     1843     95-99              163.17          116.36          279.53
     1843    100-104              12.78            5.15           17.93
     1843    105-109               0.00            0.00            0.00
     1843    110+                  0.00            0.00            0.00
     1844        0             57476.04        59587.88       117063.92
     1844      1-4            204790.50       208828.15       413618.65
     1844      5-9            223392.48       229339.40       452731.88
     1844     10-14           203612.59       212986.07       416598.66
     1844     15-19           198120.36       197251.35       395371.71
     1844     20-24           188174.21       190479.99       378654.20
     1844     25-29           156373.97       157699.31       314073.28
     1844     30-34           148580.66       150493.20       299073.86
     1844     35-39           139488.18       143858.82       283347.00
     1844     40-44           129511.22       135996.59       265507.81
     1844     45-49           115836.54       114437.17       230273.71
     1844     50-54            93895.81        76323.04       170218.85
     1844     55-59            82500.47        68588.63       151089.10
     1844     60-64            69589.78        61831.44       131421.22
     1844     65-69            52919.78        47581.87       100501.65
     1844     70-74            37652.16        34248.33        71900.49
     1844     75-79            24135.70        21315.50        45451.20
     1844     80-84            11246.96         9381.87        20628.83
     1844     85-89             4061.64         3044.06         7105.70
     1844     90-94             1071.20          707.41         1778.61
     1844     95-99              173.78          104.25          278.03
     1844    100-104              11.65            5.78           17.43
     1844    105-109               0.00            0.00            0.00
     1844    110+                  0.00            0.00            0.00
     1845        0             59670.28        60960.19       120630.47
     1845      1-4            203787.71       207756.35       411544.06
     1845      5-9            226972.91       232970.94       459943.85
     1845     10-14           205100.27       215609.38       420709.65
     1845     15-19           195671.23       195313.66       390984.89
     1845     20-24           193269.25       195907.87       389177.12
     1845     25-29           157860.21       159983.97       317844.18
     1845     30-34           149904.78       152196.30       302101.08
     1845     35-39           139845.91       143374.49       283220.40
     1845     40-44           129408.47       136525.41       265933.88
     1845     45-49           118631.51       119924.56       238556.07
     1845     50-54            95416.21        79533.62       174949.83
     1845     55-59            82832.67        67612.58       150445.25
     1845     60-64            69458.69        61043.02       130501.71
     1845     65-69            53961.33        48193.34       102154.67
     1845     70-74            37042.83        33810.31        70853.14
     1845     75-79            24247.78        21233.81        45481.59
     1845     80-84            11301.56         9505.17        20806.73
     1845     85-89             4028.30         3052.77         7081.07
     1845     90-94             1018.84          692.51         1711.35
     1845     95-99              176.21          104.18          280.39
     1845    100-104              12.20            8.06           20.26
     1845    105-109               0.00            0.00            0.00
     1845    110+                  0.00            0.00            0.00
     1846        0             56567.50        58057.04       114624.54
     1846      1-4            204262.61       207955.79       412218.40
     1846      5-9            231449.13       237485.90       468935.03
     1846     10-14           205323.88       214899.10       420222.98
     1846     15-19           195416.68       196726.38       392143.06
     1846     20-24           194420.61       198197.25       392617.86
     1846     25-29           163490.13       165878.31       329368.44
     1846     30-34           145776.22       147579.39       293355.61
     1846     35-39           144787.09       148652.32       293439.41
     1846     40-44           123909.03       130654.99       254564.02
     1846     45-49           125470.23       129238.45       254708.68
     1846     50-54            93952.66        81474.49       175427.15
     1846     55-59            86198.88        68971.79       155170.67
     1846     60-64            67358.52        58385.14       125743.66
     1846     65-69            57112.81        50889.26       108002.07
     1846     70-74            35796.37        32399.94        68196.31
     1846     75-79            24910.68        21748.42        46659.10
     1846     80-84            11372.06         9477.71        20849.77
     1846     85-89             4011.35         3042.63         7053.98
     1846     90-94             1008.95          682.03         1690.98
     1846     95-99              168.01          104.51          272.52
     1846    100-104              11.03            6.19           17.22
     1846    105-109               0.00            0.00            0.00
     1846    110+                  0.00            0.00            0.00
     1847        0             48179.96        48403.14        96583.10
     1847      1-4            200370.43       203619.97       403990.40
     1847      5-9            234033.78       239996.66       474030.44
     1847     10-14           207693.32       216792.92       424486.24
     1847     15-19           193300.95       198679.04       391979.99
