East Germany, Population size (1-year)	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
     1956        0            136585.00       145122.00       281707.00
     1956      1-4            545631.00       574878.00      1120509.00
     1956      5-9            518311.00       538647.00      1056958.00
     1956     10-14           620071.00       639083.00      1259154.00
     1956     15-19           785750.00       803954.00      1589704.00
     1956     20-24           616113.00       610873.00      1226986.00
     1956     25-29           600506.00       489313.00      1089819.00
     1956     30-34           624330.00       388212.00      1012542.00
     1956     35-39           472312.00       287317.00       759629.00
     1956     40-44           703781.00       440836.00      1144617.00
     1956     45-49           812539.00       562469.00      1375008.00
     1956     50-54           778888.00       620912.00      1399800.00
     1956     55-59           722025.00       532185.00      1254210.00
     1956     60-64           624627.00       417075.00      1041702.00
     1956     65-69           523955.00       363519.00       887474.00
     1956     70-74           373172.00       268168.00       641340.00
     1956     75-79           246305.00       178653.00       424958.00
     1956     80-84           112808.54        81165.19       193973.73
     1956     85-89            34449.14        21847.31        56296.45
     1956     90-94             5999.71         3051.38         9051.09
     1956     95-99              475.12          182.40          657.52
     1956    100-104              13.24            3.35           16.59
     1956    105-109               0.00            0.00            0.00
     1956    110+                  0.00            0.00            0.00
     1957        0            131810.00       138950.00       270760.00
     1957      1-4            537152.00       566528.00      1103680.00
     1957      5-9            572170.00       596449.00      1168619.00
     1957     10-14           527396.00       543686.00      1071082.00
     1957     15-19           770113.00       791983.00      1562096.00
     1957     20-24           628476.00       636234.00      1264710.00
     1957     25-29           579566.00       499908.00      1079474.00
     1957     30-34           590869.00       377993.00       968862.00
     1957     35-39           524229.00       320135.00       844364.00
     1957     40-44           617577.00       380798.00       998375.00
     1957     45-49           784567.00       530184.00      1314751.00
     1957     50-54           774369.00       602669.00      1377038.00
     1957     55-59           722624.00       544794.00      1267418.00
     1957     60-64           631195.00       420194.00      1051389.00
     1957     65-69           532010.00       362437.00       894447.00
     1957     70-74           385227.00       271654.00       656881.00
     1957     75-79           248375.00       177812.00       426187.00
     1957     80-84           121683.20        86612.04       208295.24
     1957     85-89            35245.07        22406.96        57652.03
     1957     90-94             6802.83         3496.13        10298.96
     1957     95-99              538.66          206.50          745.16
     1957    100-104              16.62            8.06           24.68
     1957    105-109               0.00            0.00            0.00
     1957    110+                  0.00            0.00            0.00
     1958        0            128551.00       135875.00       264426.00
     1958      1-4            527238.00       556189.00      1083427.00
     1958      5-9            604209.00       631801.00      1236010.00
     1958     10-14           492347.00       507274.00       999621.00
     1958     15-19           730830.00       750950.00      1481780.00
     1958     20-24           638065.00       652484.00      1290549.00
     1958     25-29           563367.00       507665.00      1071032.00
     1958     30-34           570090.00       382319.00       952409.00
     1958     35-39           574125.00       350486.00       924611.00
     1958     40-44           521296.00       316943.00       838239.00
     1958     45-49           766710.00       504574.00      1271284.00
     1958     50-54           766484.00       583312.00      1349796.00
     1958     55-59           730467.00       560521.00      1290988.00
     1958     60-64           640872.00       428651.00      1069523.00
     1958     65-69           532344.00       354573.00       886917.00
     1958     70-74           397547.00       275160.00       672707.00
     1958     75-79           251826.00       176954.00       428780.00
     1958     80-84           127747.63        89945.02       217692.65
     1958     85-89            38173.23        24549.61        62722.84
     1958     90-94             7416.57         3718.75        11135.32
     1958     95-99              601.84          246.27          848.11
     1958    100-104              14.48            6.25           20.73
     1958    105-109               0.00            0.00            0.00
     1958    110+                  0.00            0.00            0.00
     1959        0            127760.00       135156.00       262916.00
     1959      1-4            517367.00       545260.00      1062627.00
     1959      5-9            634188.00       665360.00      1299548.00
     1959     10-14           460670.00       473525.00       934195.00
     1959     15-19           700738.00       722434.00      1423172.00
     1959     20-24           667449.00       684670.00      1352119.00
     1959     25-29           545448.00       512781.00      1058229.00
     1959     30-34           566981.00       409361.00       976342.00
     1959     35-39           611975.00       373402.00       985377.00
     1959     40-44           437781.00       264902.00       702683.00
     1959     45-49           741291.00       479558.00      1220849.00
     1959     50-54           765883.00       567336.00      1333219.00
     1959     55-59           724652.00       564806.00      1289458.00
     1959     60-64           649466.00       440163.00      1089629.00
     1959     65-69           538150.00       352105.00       890255.00
     1959     70-74           409418.00       278550.00       687968.00
     1959     75-79           254757.00       176018.00       430775.00
     1959     80-84           132774.24        92125.99       224900.23
     1959     85-89            41056.41        26600.76        67657.17
     1959     90-94             7854.40         4061.17        11915.57
     1959     95-99              704.34          275.68          980.02
     1959    100-104              18.48            2.67           21.15
     1959    105-109               0.00            0.00            0.00
     1959    110+                  0.00            0.00            0.00
     1960        0            137733.00       145538.00       283271.00
     1960      1-4            511920.00       539909.00      1051829.00
     1960      5-9            650981.00       684498.00      1335479.00
     1960     10-14           452340.00       466220.00       918560.00
     1960     15-19           657744.00       677022.00      1334766.00
     1960     20-24           687357.00       704512.00      1391869.00
     1960     25-29           556334.00       543328.00      1099662.00
     1960     30-34           568410.00       440227.00      1008637.00
     1960     35-39           613345.00       375262.00       988607.00
     1960     40-44           404939.00       246690.00       651629.00
     1960     45-49           710899.00       449670.00      1160569.00
     1960     50-54           763968.00       547515.00      1311483.00
     1960     55-59           725550.00       569537.00      1295087.00
     1960     60-64           654427.00       453215.00      1107642.00
     1960     65-69           541422.00       348523.00       889945.00
     1960     70-74           419914.00       279444.00       699358.00
     1960     75-79           259662.00       176047.00       435709.00
     1960     80-84           136161.51        92759.22       228920.73
     1960     85-89            43447.79        28546.18        71993.97
     1960     90-94             8366.96         4455.19        12822.15
     1960     95-99              770.72          314.22         1084.94
     1960    100-104              24.61            6.67           31.28
     1960    105-109               0.00            0.00            0.00
     1960    110+                  0.00            0.00            0.00
     1961        0            138785.00       145643.00       284428.00
     1961      1-4            513683.00       541095.00      1054778.00
     1961      5-9            650845.00       686038.00      1336883.00
     1961     10-14           491546.00       510006.00      1001552.00
     1961     15-19           575176.00       589662.00      1164838.00
     1961     20-24           696447.00       713276.00      1409723.00
     1961     25-29           566074.00       571415.00      1137489.00
     1961     30-34           562697.00       463480.00      1026177.00
     1961     35-39           582686.00       364144.00       946830.00
     1961     40-44           438281.00       267131.00       705412.00
     1961     45-49           653062.00       407294.00      1060356.00
     1961     50-54           755734.00       520125.00      1275859.00
     1961     55-59           721695.00       564970.00      1286665.00
     1961     60-64           658579.00       469230.00      1127809.00
     1961     65-69           546828.00       347923.00       894751.00
     1961     70-74           426533.00       277699.00       704232.00
     1961     75-79           266069.00       177311.00       443380.00
     1961     80-84           136837.13        91762.60       228599.73
     1961     85-89            46060.54        30078.19        76138.73
     1961     90-94             8598.14         4655.31        13253.45
     1961     95-99              804.71          333.38         1138.09
     1961    100-104              25.35           12.75           38.10
     1961    105-109               0.00            0.00            0.00
     1961    110+                  0.00            0.00            0.00
     1962        0            142432.00       150109.00       292541.00
     1962      1-4            520090.00       547068.00      1067158.00
     1962      5-9            641351.00       675603.00      1316954.00
     1962     10-14           547099.00       569262.00      1116361.00
     1962     15-19           492703.00       503709.00       996412.00
     1962     20-24           691837.00       706223.00      1398060.00
     1962     25-29           584255.00       597222.00      1181477.00
     1962     30-34           549126.00       476575.00      1025701.00
     1962     35-39           557795.00       357741.00       915536.00
     1962     40-44           491893.00       300653.00       792546.00
     1962     45-49           575919.00       354631.00       930550.00
     1962     50-54           731923.00       492603.00      1224526.00
     1962     55-59           719482.00       551935.00      1271417.00
     1962     60-64           660763.00       481576.00      1142339.00
     1962     65-69           554416.00       351448.00       905864.00
     1962     70-74           434407.00       277166.00       711573.00
     1962     75-79           275689.00       180267.00       455956.00
     1962     80-84           138309.89        91436.88       229746.77
     1962     85-89            49601.20        31888.04        81489.24
     1962     90-94             8780.07         4819.96        13600.03
     1962     95-99              931.83          359.13         1290.96
     1962    100-104              25.27            9.56           34.83
     1962    105-109               0.00            0.00            0.00
     1962    110+                  0.00            0.00            0.00
     1963        0            142130.00       149858.00       291988.00
     1963      1-4            537168.00       564974.00      1102142.00
     1963      5-9            636038.00       669560.00      1305598.00
     1963     10-14           585050.00       610945.00      1195995.00
     1963     15-19           469760.00       480601.00       950361.00
     1963     20-24           679971.00       691509.00      1371480.00
     1963     25-29           609041.00       627891.00      1236932.00
     1963     30-34           542902.00       492213.00      1035115.00
     1963     35-39           546717.00       367905.00       914622.00
     1963     40-44           547253.00       335047.00       882300.00
     1963     45-49           492167.00       299204.00       791371.00
     1963     50-54           721919.00       473398.00      1195317.00
     1963     55-59           717315.00       538098.00      1255413.00
     1963     60-64           671644.00       498531.00      1170175.00
     1963     65-69           565223.00       359392.00       924615.00
     1963     70-74           435356.00       271576.00       706932.00
     1963     75-79           285237.00       183058.00       468295.00
     1963     80-84           139361.63        89798.97       229160.60
     1963     85-89            51246.63        32470.02        83716.65
     1963     90-94             9223.23         5168.61        14391.84
     1963     95-99              929.57          374.75         1304.32
     1963    100-104              24.29            9.51           33.80
     1963    105-109               0.00            0.00            0.00
     1963    110+                  0.00            0.00            0.00
     1964        0            143017.00       150649.00       293666.00
     1964      1-4            553743.00       582192.00      1135935.00
     1964      5-9            631407.00       664439.00      1295846.00
     1964     10-14           620080.00       650028.00      1270108.00
     1964     15-19           446598.00       457022.00       903620.00
     1964     20-24           661680.00       673128.00      1334808.00
     1964     25-29           643257.00       660862.00      1304119.00
     1964     30-34           530840.00       499861.00      1030701.00
     1964     35-39           549878.00       397291.00       947169.00
     1964     40-44           590310.00       360152.00       950462.00
     1964     45-49           418357.00       252624.00       670981.00
     1964     50-54           704867.00       453167.00      1158034.00
     1964     55-59           721822.00       526228.00      1248050.00
     1964     60-64           666608.00       504059.00      1170667.00
     1964     65-69           569953.00       368109.00       938062.00
     1964     70-74           438011.00       268140.00       706151.00
     1964     75-79           293033.00       184745.00       477778.00
     1964     80-84           142400.71        90037.51       232438.22
     1964     85-89            53642.24        33447.99        87090.23
     1964     90-94            10162.41         5736.76        15899.17
     1964     95-99              967.40          413.17         1380.57
     1964    100-104              29.80            7.33           37.13
     1964    105-109               0.00            0.00            0.00
     1964    110+                  0.00            0.00            0.00
     1965        0            138871.00       145875.00       284746.00
     1965      1-4            561965.00       589905.00      1151870.00
     1965      5-9            637800.00       671426.00      1309226.00
     1965     10-14           632748.00       666363.00      1299111.00
     1965     15-19           428786.00       445366.00       874152.00
     1965     20-24           615776.00       623673.00      1239449.00
     1965     25-29           645876.00       655698.00      1301574.00
     1965     30-34           523248.00       528736.00      1051984.00
     1965     35-39           540545.00       441651.00       982196.00
     1965     40-44           583518.00       361153.00       944671.00
     1965     45-49           376596.00       229902.00       606498.00
     1965     50-54           673052.00       424920.00      1097972.00
     1965     55-59           714658.00       506348.00      1221006.00
     1965     60-64           663101.00       508896.00      1171997.00
     1965     65-69           568778.00       375495.00       944273.00
     1965     70-74           438304.00       260223.00       698527.00
     1965     75-79           295799.00       179829.00       475628.00
     1965     80-84           146244.60        90635.74       236880.34
     1965     85-89            55455.51        34032.22        89487.73
     1965     90-94            10887.79         6253.18        17140.97
     1965     95-99             1152.96          456.19         1609.15
     1965    100-104              24.31            4.87           29.18
     1965    105-109               0.00            0.00            0.00
     1965    110+                  0.00            0.00            0.00
     1966        0            133248.00       141702.00       274950.00
     1966      1-4            563393.00       591569.00      1154962.00
     1966      5-9            646216.00       678726.00      1324942.00
     1966     10-14           638814.00       673520.00      1312334.00
     1966     15-19           474771.00       496943.00       971714.00
     1966     20-24           548192.00       553154.00      1101346.00
     1966     25-29           664828.00       675002.00      1339830.00
     1966     30-34           537309.00       546215.00      1083524.00
     1966     35-39           540950.00       474582.00      1015532.00
     1966     40-44           558945.00       354879.00       913824.00
     1966     45-49           412326.00       252275.00       664601.00
     1966     50-54           624391.00       387944.00      1012335.00
     1966     55-59           712694.00       484226.00      1196920.00
     1966     60-64           662048.00       508353.00      1170401.00
     1966     65-69           573787.00       389282.00       963069.00
     1966     70-74           444552.00       260354.00       704906.00
     1966     75-79           301001.00       177930.00       478931.00
     1966     80-84           151287.24        91144.37       242431.61
     1966     85-89            56268.13        33709.60        89977.73
     1966     90-94            11625.54         6411.19        18036.73
     1966     95-99             1138.14          497.31         1635.45
     1966    100-104              40.03            6.12           46.15
     1966    105-109               0.00            0.00            0.00
     1966    110+                  0.00            0.00            0.00
     1967        0            128587.00       135067.00       263654.00
     1967      1-4            554148.00       583523.00      1137671.00
     1967      5-9            661774.00       695049.00      1356823.00
     1967     10-14           638997.00       672349.00      1311346.00
     1967     15-19           534297.00       560982.00      1095279.00
     1967     20-24           476969.00       481976.00       958945.00
