Northern Ireland, Population size (1-year)	Last modified: 21 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1922           0             13999.21        14367.75        28366.96
  1922         1-4             47270.29        48617.33        95887.62
  1922         5-9             58584.49        59296.70       117881.19
  1922        10-14            61101.35        60004.85       121106.20
  1922        15-19            58070.37        54582.52       112652.89
  1922        20-24            55060.62        47646.75       102707.37
  1922        25-29            46504.80        39821.12        86325.92
  1922        30-34            42596.11        36483.66        79079.77
  1922        35-39            39235.68        34114.15        73349.83
  1922        40-44            37918.36        34590.25        72508.61
  1922        45-49            35555.90        34163.93        69719.83
  1922        50-54            31383.99        30405.84        61789.83
  1922        55-59            25729.87        24708.30        50438.17
  1922        60-64            23699.33        21941.85        45641.18
  1922        65-69            22742.22        18616.24        41358.46
  1922        70-74            15999.42        12468.24        28467.66
  1922        75-79             8865.88         6800.79        15666.67
  1922        80-84             4514.74         3574.25         8088.99
  1922        85-89             1697.43         1356.32         3053.75
  1922        90-94              522.57          413.55          936.12
  1922        95-99              108.28           84.18          192.46
  1922       100-104              12.25            9.53           21.78
  1922       105-109               0.00            0.00            0.00
  1922       110+                  0.00            0.00            0.00
  1923           0             13647.04        14109.63        27756.67
  1923         1-4             50011.38        51454.06       101465.44
  1923         5-9             56723.93        57601.97       114325.90
  1923        10-14            60751.51        60208.34       120959.85
  1923        15-19            59036.23        56219.87       115256.10
  1923        20-24            55249.20        48363.05       103612.25
  1923        25-29            48706.70        41304.48        90011.18
  1923        30-34            41777.88        35944.44        77722.32
  1923        35-39            40450.78        35038.91        75489.69
  1923        40-44            36864.88        33532.82        70397.70
  1923        45-49            36448.91        34463.21        70912.12
  1923        50-54            31427.30        30649.21        62076.51
  1923        55-59            26394.27        25430.50        51824.77
  1923        60-64            23032.73        21375.95        44408.68
  1923        65-69            22406.43        18856.66        41263.09
  1923        70-74            16615.12        12838.04        29453.16
  1923        75-79             8843.51         6838.80        15682.31
  1923        80-84             4453.60         3469.88         7923.48
  1923        85-89             1693.08         1387.01         3080.09
  1923        90-94              509.08          388.17          897.25
  1923        95-99              107.43           80.18          187.61
  1923       100-104              12.42            8.58           21.00
  1923       105-109               0.00            0.00            0.00
  1923       110+                  0.00            0.00            0.00
  1924           0             13424.78        14040.80        27465.58
  1924         1-4             52089.67        53556.96       105646.63
  1924         5-9             55207.77        56312.55       111520.32
  1924        10-14            60464.20        60538.46       121002.66
  1924        15-19            59760.36        57268.22       117028.58
  1924        20-24            55717.61        49573.49       105291.10
  1924        25-29            50194.92        42504.52        92699.44
  1924        30-34            42148.71        36496.36        78645.07
  1924        35-39            40670.49        35178.75        75849.24
  1924        40-44            36906.30        33297.30        70203.60
  1924        45-49            36647.44        34255.28        70902.72
  1924        50-54            32101.96        31424.37        63526.33
  1924        55-59            26636.12        25642.97        52279.09
  1924        60-64            22939.27        21364.85        44304.12
  1924        65-69            21386.05        18483.31        39869.36
  1924        70-74            17528.03        13415.49        30943.52
  1924        75-79             8860.00         6804.87        15664.87
  1924        80-84             4437.21         3428.10         7865.31
  1924        85-89             1747.57         1398.76         3146.33
  1924        90-94              523.39          350.99          874.38
  1924        95-99              111.65           77.85          189.50
  1924       100-104              11.87            4.98           16.85
  1924       105-109               0.00            0.00            0.00
  1924       110+                  0.00            0.00            0.00
  1925           0             12729.07        13422.65        26151.72
  1925         1-4             52276.12        53678.86       105954.98
  1925         5-9             55463.46        56877.53       112340.99
  1925        10-14            60285.35        60785.19       121070.54
  1925        15-19            60150.01        57794.56       117944.57
  1925        20-24            55873.86        50736.32       106610.18
  1925        25-29            52434.58        44535.91        96970.49
  1925        30-34            41925.08        36608.27        78533.35
  1925        35-39            42150.79        36091.96        78242.75
  1925        40-44            35790.03        32363.34        68153.37
  1925        45-49            37965.63        34908.32        72873.95
  1925        50-54            31084.53        30494.58        61579.11
  1925        55-59            28080.70        27059.28        55139.98
  1925        60-64            22118.98        20758.45        42877.43
  1925        65-69            20720.45        18416.66        39137.11
  1925        70-74            17400.62        13406.26        30806.88
  1925        75-79             9332.71         7037.41        16370.12
  1925        80-84             4309.39         3258.05         7567.44
  1925        85-89             1766.09         1354.53         3120.62
  1925        90-94              518.03          346.48          864.51
  1925        95-99              103.90           79.55          183.45
  1925       100-104               9.67            5.22           14.89
  1925       105-109               0.00            0.00            0.00
  1925       110+                  0.00            0.00            0.00
  1926           0             12326.11        12983.78        25309.89
  1926         1-4             50987.90        52529.63       103517.53
  1926         5-9             56979.26        58559.29       115538.55
  1926        10-14            59491.49        60132.96       119624.45
  1926        15-19            60182.16        58579.90       118762.06
  1926        20-24            56025.93        51650.94       107676.87
  1926        25-29            53083.03        45665.34        98748.37
  1926        30-34            43329.36        37490.79        80820.15
  1926        35-39            41516.91        35699.28        77216.19
  1926        40-44            36535.33        32435.16        68970.49
  1926        45-49            37170.37        34035.68        71206.05
  1926        50-54            32475.96        31601.18        64077.14
  1926        55-59            28153.94        27208.87        55362.81
  1926        60-64            22290.79        21168.96        43459.75
  1926        65-69            20455.96        18687.25        39143.21
  1926        70-74            17506.98        13520.52        31027.50
  1926        75-79             9823.01         7356.33        17179.34
  1926        80-84             4210.14         3103.43         7313.57
  1926        85-89             1748.58         1309.11         3057.69
  1926        90-94              515.49          342.99          858.48
  1926        95-99               97.93           71.89          169.82
  1926       100-104               7.57            3.52           11.09
  1926       105-109               0.00            0.00            0.00
  1926       110+                  0.00            0.00            0.00
  1927           0             12513.20        13181.70        25694.90
  1927         1-4             49361.83        51088.16       100449.99
  1927         5-9             59319.42        60824.16       120143.58
  1927        10-14            57948.40        58668.63       116617.03
  1927        15-19            60169.80        59227.40       119397.20
  1927        20-24            56692.12        53372.07       110064.19
  1927        25-29            53536.17        46398.54        99934.71
  1927        30-34            44961.46        38717.61        83679.07
  1927        35-39            41129.21        35384.58        76513.79
  1927        40-44            37592.03        32894.26        70486.29
  1927        45-49            36146.82        33073.19        69220.01
  1927        50-54            33182.21        32029.72        65211.93
  1927        55-59            28640.06        27754.15        56394.21
  1927        60-64            22572.31        21639.05        44211.36
  1927        65-69            20018.57        18339.20        38357.77
  1927        70-74            17513.25        13909.48        31422.73
  1927        75-79            10476.12         7790.21        18266.33
  1927        80-84             4239.60         3018.12         7257.72
  1927        85-89             1735.73         1278.13         3013.86
  1927        90-94              530.17          340.86          871.03
  1927        95-99              105.13           70.83          175.96
  1927       100-104               8.96            4.17           13.13
  1927       105-109               0.00            0.00            0.00
  1927       110+                  0.00            0.00            0.00
  1928           0             12316.23        12872.56        25188.79
  1928         1-4             48415.80        50368.73        98784.53
  1928         5-9             61462.60        63042.20       124504.80
  1928        10-14            55971.13        56456.89       112428.02
  1928        15-19            59441.70        58652.20       118093.90
  1928        20-24            56972.10        54234.11       111206.21
  1928        25-29            53292.27        46918.99       100211.26
  1928        30-34            46857.25        40127.93        86985.18
  1928        35-39            40196.40        34848.01        75044.41
  1928        40-44            38580.91        33743.99        72324.90
  1928        45-49            35082.82        32046.08        67128.90
  1928        50-54            34047.44        32319.65        66367.09
  1928        55-59            28976.44        28314.65        57291.09
  1928        60-64            23740.53        22667.98        46408.51
  1928        65-69            19733.10        17917.82        37650.92
  1928        70-74            17003.70        13984.34        30988.04
  1928        75-79            10852.12         7971.74        18823.86
  1928        80-84             4276.81         2973.38         7250.19
  1928        85-89             1721.71         1229.34         2951.05
  1928        90-94              545.57          340.77          886.34
  1928        95-99              107.62           64.38          172.00
  1928       100-104               9.63            3.41           13.04
  1928       105-109               0.00            0.00            0.00
  1928       110+                  0.00            0.00            0.00
  1929           0             11911.57        12615.90        24527.47
  1929         1-4             47467.08        49417.90        96884.98
  1929         5-9             63122.26        64747.71       127869.97
  1929        10-14            54399.34        54808.82       109208.16
  1929        15-19            58908.08        58198.01       117106.09
  1929        20-24            57153.11        54447.01       111600.12
  1929        25-29            53074.46        47566.54       100641.00
  1929        30-34            48120.39        41277.84        89398.23
  1929        35-39            40245.48        35175.80        75421.28
  1929        40-44            38661.67        33917.99        72579.66
  1929        45-49            34956.64        31738.11        66694.75
  1929        50-54            34253.50        32124.96        66378.46
  1929        55-59            29772.18        29179.83        58952.01
  1929        60-64            24470.51        23197.58        47668.09
  1929        65-69            20050.32        18137.64        38187.96
  1929        70-74            16063.17        13597.00        29660.17
  1929        75-79            11301.25         8290.70        19591.95
  1929        80-84             4319.23         2980.35         7299.58
  1929        85-89             1677.87         1201.87         2879.74
  1929        90-94              545.98          331.10          877.08
  1929        95-99              107.87           66.31          174.18
  1929       100-104              11.86            5.70           17.56
  1929       105-109               0.00            0.00            0.00
  1929       110+                  0.00            0.00            0.00
  1930           0             11726.60        12159.83        23886.43
  1930         1-4             46641.11        48594.86        95235.97
  1930         5-9             62734.12        64420.68       127154.80
  1930        10-14            54420.49        54958.83       109379.32
  1930        15-19            58696.67        57905.75       116602.42
  1930        20-24            56893.03        54092.99       110986.02
  1930        25-29            52622.56        48086.04       100708.60
  1930        30-34            49602.46        42745.36        92347.82
  1930        35-39            40205.01        35517.92        75722.93
  1930        40-44            39453.40        34390.69        73844.09
  1930        45-49            34127.44        31038.81        65166.25
  1930        50-54            35015.14        32420.41        67435.55
  1930        55-59            29312.73        28657.92        57970.65
  1930        60-64            25857.56        24537.96        50395.52
  1930        65-69            19964.06        18083.98        38048.04
  1930        70-74            15490.12        13490.95        28981.07
  1930        75-79            10866.70         8101.80        18968.50
  1930        80-84             4210.94         2931.29         7142.23
  1930        85-89             1643.88         1133.95         2777.83
  1930        90-94              529.62          315.17          844.79
  1930        95-99              101.65           61.73          163.38
  1930       100-104               9.26            5.96           15.22
  1930       105-109               0.00            0.00            0.00
  1930       110+                  0.00            0.00            0.00
  1931           0             12140.73        12458.43        24599.16
  1931         1-4             46204.87        48002.34        94207.21
  1931         5-9             61295.67        63235.50       124531.17
  1931        10-14            55888.70        56415.01       112303.71
  1931        15-19            57794.18        56691.11       114485.29
  1931        20-24            56949.81        54353.26       111303.07
  1931        25-29            51623.39        47619.10        99242.49
  1931        30-34            50640.83        44199.34        94840.17
  1931        35-39            40873.23        36036.07        76909.30
  1931        40-44            39224.03        34401.55        73625.58
  1931        45-49            34073.81        30601.89        64675.70
  1931        50-54            34760.90        31944.11        66705.01
  1931        55-59            30110.35        29295.11        59405.46
  1931        60-64            26346.18        25041.93        51388.11
  1931        65-69            20545.52        18635.88        39181.40
  1931        70-74            15735.43        13909.83        29645.26
  1931        75-79            10684.88         8047.50        18732.38
  1931        80-84             4193.69         2984.38         7178.07
