Scotland, Population size (1-year)	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1855           0             44701.36        46456.50        91157.86
  1855         1-4            149372.55       154257.53       303630.08
  1855         5-9            163252.73       166161.16       329413.89
  1855        10-14           161321.08       149613.83       310934.91
  1855        15-19           152378.13       126879.88       279258.01
  1855        20-24           132459.57       105101.37       237560.94
  1855        25-29           113672.29        93457.55       207129.84
  1855        30-34            99953.56        83072.14       183025.70
  1855        35-39            90302.18        76434.73       166736.91
  1855        40-44            77101.43        66557.22       143658.65
  1855        45-49            69737.72        59212.02       128949.74
  1855        50-54            58588.89        48952.26       107541.15
  1855        55-59            55621.65        43728.53        99350.18
  1855        60-64            39926.16        30718.15        70644.31
  1855        65-69            33024.51        24241.41        57265.92
  1855        70-74            24411.14        17718.71        42129.85
  1855        75-79            17159.44        11793.45        28952.89
  1855        80-84             9637.49         6122.85        15760.34
  1855        85-89             3997.95         2385.62         6383.57
  1855        90-94             1329.88          636.12         1966.00
  1855        95-99              337.52          152.95          490.47
  1855       100-104              52.92           18.70           71.62
  1855       105-109               3.01            0.00            3.01
  1855       110+                  0.00            0.00            0.00
  1856           0             45555.19        47280.24        92835.43
  1856         1-4            152309.13       157150.38       309459.51
  1856         5-9            163093.95       168793.07       331887.02
  1856        10-14           161071.10       152776.92       313848.02
  1856        15-19           155943.68       131322.82       287266.50
  1856        20-24           135388.85       106183.79       241572.64
  1856        25-29           116029.97        95157.59       211187.56
  1856        30-34           100273.10        83059.10       183332.20
  1856        35-39            92616.34        77900.34       170516.68
  1856        40-44            77193.13        66774.81       143967.94
  1856        45-49            71988.15        60873.35       132861.50
  1856        50-54            56887.16        48256.79       105143.95
  1856        55-59            58442.80        45799.12       104241.92
  1856        60-64            39826.50        30801.52        70628.02
  1856        65-69            33434.57        24355.12        57789.69
  1856        70-74            23899.83        17422.24        41322.07
  1856        75-79            17155.06        11742.56        28897.62
  1856        80-84             9647.73         6041.59        15689.32
  1856        85-89             3916.15         2358.11         6274.26
  1856        90-94             1284.32          616.95         1901.27
  1856        95-99              322.69          149.01          471.70
  1856       100-104              49.20           20.43           69.63
  1856       105-109               2.48            0.32            2.80
  1856       110+                  0.00            0.00            0.00
  1857           0             46263.68        48392.96        94656.64
  1857         1-4            155888.77       160580.02       316468.79
  1857         5-9            164988.16       171190.94       336179.10
