Republic of Korea, Population size (1-year)	Last modified: 20 Jul 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  2003           0            224081.00       246170.00       470251.00
  2003         1-4           1172432.00      1284361.00      2456793.00
  2003         5-9           1649664.00      1855317.00      3504981.00
  2003        10-14          1567839.00      1765044.00      3332883.00
  2003        15-19          1587984.00      1715150.00      3303134.00
  2003        20-24          1967600.00      2081134.00      4048734.00
  2003        25-29          2014068.00      2084069.00      4098137.00
  2003        30-34          2271204.00      2369316.00      4640520.00
  2003        35-39          2049846.00      2157264.00      4207110.00
  2003        40-44          2178443.00      2267371.00      4445814.00
  2003        45-49          1699675.00      1751284.00      3450959.00
  2003        50-54          1250457.00      1268384.00      2518841.00
  2003        55-59          1035544.00       991009.00      2026553.00
  2003        60-64          1067850.00       944762.00      2012612.00
  2003        65-69           849644.00       656546.00      1506190.00
  2003        70-74           622447.00       379242.00      1001689.00
  2003        75-79           412460.00       218949.00       631409.00
  2003        80-84           245694.26       114045.45       359739.71
  2003        85-89           112527.03        38580.31       151107.34
  2003        90-94            36931.80        10170.05        47101.85
  2003        95-99             7276.53         1354.94         8631.47
  2003       100-104            1005.24          130.61         1135.85
  2003       105-109              67.05            3.60           70.65
  2003       110+                  1.09            0.00            1.09
  2004           0            225049.00       244221.00       469270.00
  2004         1-4           1102210.00      1206494.00      2308704.00
  2004         5-9           1621911.00      1808120.00      3430031.00
  2004        10-14          1602928.00      1813164.00      3416092.00
  2004        15-19          1517828.00      1657429.00      3175257.00
  2004        20-24          1980123.00      2085692.00      4065815.00
  2004        25-29          1910741.00      1998077.00      3908818.00
  2004        30-34          2247386.00      2337732.00      4585118.00
  2004        35-39          2115105.00      2201651.00      4316756.00
  2004        40-44          2168261.00      2258905.00      4427166.00
  2004        45-49          1807290.00      1869101.00      3676391.00
  2004        50-54          1277770.00      1290344.00      2568114.00
  2004        55-59          1067849.00      1037450.00      2105299.00
  2004        60-64          1074923.00       954085.00      2029008.00
  2004        65-69           885203.00       697876.00      1583079.00
  2004        70-74           646190.00       404643.00      1050833.00
  2004        75-79           429723.00       227543.00       657266.00
  2004        80-84           264218.31       122608.71       386827.02
  2004        85-89           116437.45        41296.77       157734.22
  2004        90-94            39097.22        10591.11        49688.33
  2004        95-99             7848.56         1573.57         9422.13
  2004       100-104            1007.84          128.10         1135.94
  2004       105-109              62.81            2.42           65.23
  2004       110+                  0.78            0.00            0.78
  2005           0            216761.00       234458.00       451219.00
  2005         1-4           1042990.00      1138521.00      2181511.00
  2005         5-9           1584539.00      1749058.00      3333597.00
  2005        10-14          1635956.00      1863132.00      3499088.00
  2005        15-19          1498358.00      1645641.00      3143999.00
  2005        20-24          1890769.00      2005814.00      3896583.00
  2005        25-29          1896885.00      1974896.00      3871781.00
  2005        30-34          2205296.00      2301853.00      4507149.00
  2005        35-39          2157448.00      2232118.00      4389566.00
  2005        40-44          2142906.00      2239667.00      4382573.00
  2005        45-49          1919879.00      1974437.00      3894316.00
  2005        50-54          1342624.00      1360592.00      2703216.00
  2005        55-59          1106763.00      1087127.00      2193890.00
  2005        60-64          1062619.00       947752.00      2010371.00
  2005        65-69           920737.00       738565.00      1659302.00
  2005        70-74           680238.00       438950.00      1119188.00
  2005        75-79           462901.00       242754.00       705655.00
  2005        80-84           276530.35       128220.31       404750.66
  2005        85-89           121400.15        44832.47       166232.62
  2005        90-94            41004.18        10962.21        51966.39
  2005        95-99             8316.00         1799.19        10115.19
  2005       100-104             971.81          145.38         1117.19
  2005       105-109              57.70            4.02           61.72
  2005       110+                  0.35            0.00            0.35
  2006           0            199424.00       214434.00       413858.00
  2006         1-4            966279.00      1049462.00      2015741.00
  2006         5-9           1555694.00      1706485.00      3262179.00
  2006        10-14          1671034.00      1895137.00      3566171.00
  2006        15-19          1482616.00      1648190.00      3130806.00
  2006        20-24          1796395.00      1912923.00      3709318.00
  2006        25-29          1914050.00      2003176.00      3917226.00
  2006        30-34          2144921.00      2229829.00      4374750.00
  2006        35-39          2182414.00      2264612.00      4447026.00
  2006        40-44          2098658.00      2195695.00      4294353.00
  2006        45-49          2009832.00      2069016.00      4078848.00
  2006        50-54          1473493.00      1482498.00      2955991.00
  2006        55-59          1161176.00      1144873.00      2306049.00
  2006        60-64          1044166.00       941268.00      1985434.00
  2006        65-69           934376.00       760084.00      1694460.00
  2006        70-74           721678.00       484358.00      1206036.00
  2006        75-79           491567.00       257135.00       748702.00
  2006        80-84           289100.39       132845.64       421946.03
  2006        85-89           128426.53        48498.58       176925.11
  2006        90-94            43381.63        11514.97        54896.60
  2006        95-99             8780.94         2044.11        10825.05
  2006       100-104             996.40          157.41         1153.81
  2006       105-109              57.87            4.84           62.71
  2006       110+                  0.28            0.00            0.28
  2007           0            204794.00       219943.00       424737.00
  2007         1-4            908243.00       983563.00      1891806.00
  2007         5-9           1498511.00      1635518.00      3134029.00
  2007        10-14          1662922.00      1885351.00      3548273.00
  2007        15-19          1517170.00      1689603.00      3206773.00
  2007        20-24          1685575.00      1808371.00      3493946.00
  2007        25-29          1950943.00      2042483.00      3993426.00
  2007        30-34          2054737.00      2136530.00      4191267.00
  2007        35-39          2252542.00      2313682.00      4566224.00
  2007        40-44          2027805.00      2153450.00      4181255.00
  2007        45-49          2112928.00      2168562.00      4281490.00
  2007        50-54          1599949.00      1612371.00      3212320.00
  2007        55-59          1182843.00      1165530.00      2348373.00
  2007        60-64          1024124.00       937003.00      1961127.00
  2007        65-69           966481.00       796486.00      1762967.00
  2007        70-74           764436.00       528912.00      1293348.00
  2007        75-79           518359.00       273070.00       791429.00
  2007        80-84           302459.38       137628.73       440088.11
  2007        85-89           137896.41        52903.03       190799.44
  2007        90-94            46526.16        12456.54        58982.70
  2007        95-99             9531.60         2218.29        11749.89
  2007       100-104            1071.34          178.45         1249.79
  2007       105-109              64.74            6.14           70.88
  2007       110+                  0.33            0.00            0.33
  2008           0            228180.00       242078.00       470258.00
  2008         1-4            888674.00       956834.00      1845508.00
  2008         5-9           1410736.00      1544312.00      2955048.00
  2008        10-14          1645000.00      1848861.00      3493861.00
  2008        15-19          1561356.00      1754854.00      3316210.00
  2008        20-24          1582457.00      1704753.00      3287210.00
