Norway, Population size (1-year)	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1846           0             17990.00        18382.00        36372.00
  1846         1-4             66452.00        67492.00       133944.00
  1846         5-9             68905.00        69740.00       138645.00
  1846        10-14            67502.00        70034.00       137536.00
  1846        15-19            65680.00        66853.00       132533.00
  1846        20-24            65566.00        62133.00       127699.00
  1846        25-29            57413.00        54170.00       111583.00
  1846        30-34            41107.00        40048.00        81155.00
  1846        35-39            36390.00        36115.00        72505.00
  1846        40-44            34701.00        33361.00        68062.00
  1846        45-49            33915.00        31916.00        65831.00
  1846        50-54            31728.00        29144.00        60872.00
  1846        55-59            25363.00        22669.00        48032.00
  1846        60-64            20646.00        17334.00        37980.00
  1846        65-69            16605.00        13272.00        29877.00
  1846        70-74            11260.00         8847.00        20107.00
  1846        75-79             7742.00         5772.00        13514.00
  1846        80-84             5258.00         3559.00         8817.00
  1846        85-89             2373.00         1382.00         3755.00
  1846        90-94              732.00          384.00         1116.00
  1846        95-99              219.00           99.00          318.00
  1846       100-104              27.00            9.00           36.00
  1846       105-109               1.00            0.00            1.00
  1846       110+                  0.00            0.00            0.00
  1847           0             18742.00        19544.00        38286.00
  1847         1-4             65715.00        67132.00       132847.00
  1847         5-9             70583.00        71353.00       141936.00
  1847        10-14            68819.00        70151.00       138970.00
  1847        15-19            65281.00        66331.00       131612.00
  1847        20-24            65359.00        62848.00       128207.00
  1847        25-29            58029.00        54849.00       112878.00
  1847        30-34            44173.00        42707.00        86880.00
  1847        35-39            36086.00        35539.00        71625.00
  1847        40-44            35266.00        33989.00        69255.00
  1847        45-49            34255.00        32260.00        66515.00
  1847        50-54            31717.00        29127.00        60844.00
  1847        55-59            26230.00        23432.00        49662.00
  1847        60-64            20841.00        17620.00        38461.00
  1847        65-69            17110.00        13707.00        30817.00
  1847        70-74            11413.00         8878.00        20291.00
  1847        75-79             7887.00         5888.00        13775.00
  1847        80-84             5264.00         3553.00         8817.00
  1847        85-89             2449.00         1435.00         3884.00
  1847        90-94              707.00          360.00         1067.00
  1847        95-99              211.00           94.00          305.00
  1847       100-104              25.00            9.00           34.00
  1847       105-109               1.00            0.00            1.00
  1847       110+                  0.00            0.00            0.00
  1848           0             18786.00        19540.00        38326.00
  1848         1-4             64711.00        66978.00       131689.00
  1848         5-9             72782.00        73356.00       146138.00
  1848        10-14            69777.00        70181.00       139958.00
  1848        15-19            65672.00        66515.00       132187.00
