New Zealand, Population size (1-year)	Last modified: 06 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
     1948        0             23375.56        24375.40        47750.96
     1948      1-4             75733.62        79029.01       154762.63
     1948      5-9             81748.27        83783.77       165532.04
     1948     10-14            65311.93        67701.57       133013.50
     1948     15-19            67113.81        69523.54       136637.35
     1948     20-24            69973.98        69313.11       139287.09
     1948     25-29            70191.26        66941.91       137133.17
     1948     30-34            69034.90        68069.40       137104.30
     1948     35-39            64906.69        66731.15       131637.84
     1948     40-44            57627.43        60417.40       118044.83
     1948     45-49            51351.18        52832.16       104183.34
     1948     50-54            46360.60        42901.01        89261.61
     1948     55-59            42574.94        40934.00        83508.94
     1948     60-64            39770.52        39669.64        79440.16
     1948     65-69            34950.77        33990.57        68941.34
     1948     70-74            23352.00        22331.34        45683.34
     1948     75-79            14010.63        12675.48        26686.11
     1948     80-84             7485.62         6026.39        13512.01
     1948     85-89             2747.92         2009.02         4756.94
     1948     90-94              734.39          508.67         1243.06
     1948     95-99              143.92           82.17          226.09
     1948    100-104              36.40           14.01           50.41
     1948    105-109               7.04            2.00            9.04
     1948    110+                  1.00            1.00            2.00
     1949        0             23399.51        24454.82        47854.33
     1949      1-4             82194.09        85634.08       167828.17
     1949      5-9             83807.36        86333.21       170140.57
     1949     10-14            67228.30        69352.96       136581.26
     1949     15-19            66233.79        68639.05       134872.84
     1949     20-24            69289.16        71257.23       140546.39
     1949     25-29            71246.63        68682.86       139929.49
     1949     30-34            68734.27        67458.93       136193.20
     1949     35-39            66081.54        67611.26       133692.80
     1949     40-44            59437.53        62152.37       121589.90
     1949     45-49            52281.38        54362.02       106643.40
     1949     50-54            46966.06        44007.02        90973.08
     1949     55-59            42504.87        40193.98        82698.85
     1949     60-64            40170.57        39439.73        79610.30
     1949     65-69            35310.21        34245.12        69555.33
     1949     70-74            24942.35        23406.60        48348.95
     1949     75-79            14360.33        12975.34        27335.67
     1949     80-84             7871.40         6360.65        14232.05
     1949     85-89             2924.14         2091.71         5015.85
     1949     90-94              780.59          505.91         1286.50
     1949     95-99              148.85           86.40          235.25
     1949    100-104              30.24           11.28           41.52
     1949    105-109               6.46            2.00            8.46
     1949    110+                  1.47            1.00            2.47
     1950        0             23250.08        24405.04        47655.12
     1950      1-4             87856.45        91527.07       179383.52
     1950      5-9             85798.08        88808.58       174606.66
     1950     10-14            70280.05        72219.89       142499.94
     1950     15-19            65293.64        68049.33       133342.97
     1950     20-24            68749.37        72190.33       140939.70
     1950     25-29            71925.24        70547.27       142472.51
     1950     30-34            68595.34        67090.06       135685.40
     1950     35-39            67191.50        68466.08       135657.58
     1950     40-44            61177.24        63802.16       124979.40
     1950     45-49            53090.84        55631.44       108722.28
     1950     50-54            47896.49        45888.13        93784.62
     1950     55-59            42670.57        39659.56        82330.13
     1950     60-64            40354.93        39119.40        79474.33
     1950     65-69            35420.08        34204.77        69624.85
     1950     70-74            26667.38        24636.77        51304.15
     1950     75-79            14765.78        13325.62        28091.40
     1950     80-84             8389.87         6809.57        15199.44
     1950     85-89             3073.36         2192.82         5266.18
     1950     90-94              824.84          543.64         1368.48
     1950     95-99              161.26           82.73          243.99
     1950    100-104              29.73           12.81           42.54
     1950    105-109               8.41            1.55            9.96
     1950    110+                  2.00            1.45            3.45
     1951        0             23440.44        24590.47        48030.91
     1951      1-4             91137.57        95072.65       186210.22
     1951      5-9             88624.66        92025.23       180649.89
     1951     10-14            74491.47        76572.03       151063.50
     1951     15-19            64774.94        67744.83       132519.77
     1951     20-24            68429.75        71893.86       140323.61
     1951     25-29            71914.75        72267.46       144182.21
     1951     30-34            69206.32        67631.43       136837.75
     1951     35-39            68301.53        68950.24       137251.77
     1951     40-44            62606.68        65196.66       127803.34
     1951     45-49            54051.79        56912.05       110963.84
     1951     50-54            48720.78        47957.54        96678.32
     1951     55-59            43175.81        39630.35        82806.16
     1951     60-64            40294.91        38528.99        78823.90
     1951     65-69            35755.83        34079.89        69835.72
     1951     70-74            27865.92        25620.93        53486.85
     1951     75-79            15676.72        14061.40        29738.12
     1951     80-84             8848.97         7238.53        16087.50
     1951     85-89             3251.72         2294.63         5546.35
     1951     90-94              849.62          561.19         1410.81
     1951     95-99              153.06           82.55          235.61
     1951    100-104              32.60           10.00           42.60
     1951    105-109               7.47            1.90            9.37
     1951    110+                  2.00            2.00            4.00
     1952        0             23885.78        25146.05        49031.83
     1952      1-4             92300.63        96305.73       188606.36
     1952      5-9             93248.00        97188.91       190436.91
     1952     10-14            78890.59        81501.49       160392.08
     1952     15-19            65326.57        68056.03       133382.60
     1952     20-24            68385.13        71500.05       139885.18
     1952     25-29            72130.85        74513.70       146644.55
     1952     30-34            70416.99        69237.98       139654.97
     1952     35-39            69286.16        69055.03       138341.19
     1952     40-44            64037.23        66526.99       130564.22
     1952     45-49            55657.61        58657.72       114315.33
     1952     50-54            49381.04        49742.35        99123.39
     1952     55-59            43640.47        40040.76        83681.23
     1952     60-64            40380.33        37879.24        78259.57
     1952     65-69            36410.94        34060.05        70470.99
     1952     70-74            28375.49        26135.47        54510.96
     1952     75-79            16921.70        15126.52        32048.22
     1952     80-84             9220.13         7570.92        16791.05
     1952     85-89             3413.92         2457.54         5871.46
     1952     90-94              856.81          555.94         1412.75
     1952     95-99              152.11           91.15          243.26
     1952    100-104              26.47            8.91           35.38
     1952    105-109               7.40            2.90           10.30
     1952    110+                  2.94            1.00            3.94
     1953        0             24455.78        25780.68        50236.46
     1953      1-4             93171.75        97417.32       190589.07
     1953      5-9             99744.80       104059.92       203804.72
     1953     10-14            82394.04        85559.65       167953.69
     1953     15-19            66812.49        69167.02       135979.51
     1953     20-24            68465.10        71690.47       140155.57
     1953     25-29            72790.96        76887.81       149678.77
     1953     30-34            72137.73        71753.92       143891.65
     1953     35-39            69995.78        69059.97       139055.75
     1953     40-44            65857.75        68052.20       133909.95
     1953     45-49            57472.36        60462.23       117934.59
     1953     50-54            50426.83        51587.71       102014.54
     1953     55-59            44165.96        40761.20        84927.16
     1953     60-64            40635.36        37414.50        78049.86
     1953     65-69            36905.39        34009.81        70915.20
     1953     70-74            29001.23        26535.62        55536.85
     1953     75-79            18041.37        16025.95        34067.32
     1953     80-84             9629.31         7871.39        17500.70
     1953     85-89             3581.57         2593.35         6174.92
     1953     90-94              928.90          572.72         1501.62
     1953     95-99              159.63          103.67          263.30
     1953    100-104              20.41            8.35           28.76
     1953    105-109              10.33            3.45           13.78
     1953    110+                  2.00            0.00            2.00
     1954        0             25005.73        26335.84        51341.57
     1954      1-4             94657.31        99227.65       193884.96
     1954      5-9            106313.21       110738.38       217051.59
     1954     10-14            85203.67        88844.36       174048.03
     1954     15-19            68933.32        71083.24       140016.56
     1954     20-24            68234.28        71529.10       139763.38
     1954     25-29            73235.26        78481.55       151716.81
     1954     30-34            73831.91        74393.32       148225.23
     1954     35-39            70455.49        69044.98       139500.47
     1954     40-44            67707.32        69391.47       137098.79
     1954     45-49            59197.37        62057.16       121254.53
     1954     50-54            51626.47        53357.15       104983.62
     1954     55-59            44921.10        41876.85        86797.95
     1954     60-64            40875.28        37029.45        77904.73
     1954     65-69            37125.19        33759.50        70884.69
     1954     70-74            29795.94        26895.36        56691.30
     1954     75-79            19031.35        16695.88        35727.23
