Slovenia, Population size (1-year)	Last modified: 01 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1983           0             13871.00        14745.00        28616.00
  1983         1-4             57504.00        61998.00       119502.00
  1983         5-9             71772.00        76686.00       148458.00
  1983        10-14            67540.00        71900.00       139440.00
  1983        15-19            72128.00        73973.00       146101.00
  1983        20-24            74287.00        74071.00       148358.00
  1983        25-29            80179.00        83745.00       163924.00
  1983        30-34            75889.00        81758.00       157647.00
  1983        35-39            59153.00        62798.00       121951.00
  1983        40-44            60811.00        63669.00       124480.00
  1983        45-49            60400.00        60651.00       121051.00
  1983        50-54            63125.00        58381.00       121506.00
  1983        55-59            59167.00        42592.00       101759.00
  1983        60-64            43913.00        28731.00        72644.00
  1983        65-69            33273.00        22663.00        55936.00
  1983        70-74            39542.00        25945.00        65487.00
  1983        75-79            28082.00        15726.00        43808.00
  1983        80-84            16141.31         7406.00        23547.31
  1983        85-89             5984.00         2130.00         8114.00
  1983        90-94             1374.00          395.00         1769.00
  1983        95-99              170.00           44.00          214.00
  1983       100-104               6.00            3.00            9.00
  1983       105-109               0.00            0.00            0.00
  1983       110+                  0.00            0.00            0.00
  1984           0             13151.00        13794.00        26945.00
  1984         1-4             57098.00        61039.00       118137.00
  1984         5-9             72044.00        77462.00       149506.00
  1984        10-14            68312.00        72473.00       140785.00
  1984        15-19            71734.00        74071.00       145805.00
  1984        20-24            74549.00        74403.00       148952.00
  1984        25-29            79021.00        81710.00       160731.00
  1984        30-34            78031.00        83970.00       162001.00
  1984        35-39            60230.00        64209.00       124439.00
  1984        40-44            61712.00        64440.00       126152.00
  1984        45-49            59570.00        60398.00       119968.00
  1984        50-54            63028.00        58655.00       121683.00
  1984        55-59            59489.00        44606.00       104095.00
  1984        60-64            49705.00        32330.00        82035.00
  1984        65-69            28988.00        19339.00        48327.00
  1984        70-74            39925.00        25758.00        65683.00
  1984        75-79            28705.00        15872.00        44577.00
  1984        80-84            16598.23         7624.00        24222.23
  1984        85-89             6343.00         2191.00         8534.00
  1984        90-94             1378.00          396.00         1774.00
  1984        95-99              186.00           39.00          225.00
  1984       100-104              13.00            5.00           18.00
  1984       105-109               0.00            0.00            0.00
  1984       110+                  0.00            0.00            0.00
  1985           0             12728.00        13287.00        26015.00
  1985         1-4             55782.00        59020.00       114802.00
  1985         5-9             72749.00        78271.00       151020.00
