Sweden, Population size (1-year)	Last modified: 23 May 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1751           0             28595.61        28608.93        57204.54
  1751         1-4             92997.78        91320.80       184318.58
  1751         5-9             91564.40        91593.81       183158.21
  1751        10-14            85438.27        84624.78       170063.05
  1751        15-19            85413.31        77835.75       163249.06
  1751        20-24            80643.06        69748.31       150391.37
  1751        25-29            77047.34        69012.22       146059.56
  1751        30-34            62081.64        56189.60       118271.24
  1751        35-39            57769.15        51891.58       109660.73
  1751        40-44            47451.62        41740.71        89192.33
  1751        45-49            47206.94        40212.67        87419.61
  1751        50-54            39726.52        31759.67        71486.19
  1751        55-59            36775.68        26443.07        63218.75
  1751        60-64            37978.01        25637.82        63615.83
  1751        65-69            28941.75        19632.66        48574.41
  1751        70-74            17949.82        11887.15        29836.97
  1751        75-79             9914.46         6199.86        16114.32
  1751        80-84             6178.59         3623.55         9802.14
  1751        85-89             2432.72         1410.51         3843.23
  1751        90-94              825.13          477.11         1302.24
  1751        95-99              199.74          125.25          324.99
  1751       100-104              31.24           22.07           53.31
  1751       105-109               1.60            0.93            2.53
  1751       110+                  0.00            0.00            0.00
  1752           0             27192.00        27939.00        55131.00
  1752         1-4             98336.00        96705.50       195041.50
  1752         5-9             89881.00        88896.51       178777.51
  1752        10-14            87796.50        87475.99       175272.49
  1752        15-19            83438.00        78282.00       161720.00
  1752        20-24            82157.49        70073.00       152230.49
  1752        25-29            76481.00        68613.00       145094.00
  1752        30-34            65961.50        59243.00       125204.50
  1752        35-39            55484.51        50587.00       106071.51
  1752        40-44            51186.00        44576.01        95762.01
  1752        45-49            43434.00        37748.51        81182.51
  1752        50-54            43799.50        35029.00        78828.50
  1752        55-59            33364.51        24636.00        58000.51
  1752        60-64            39148.50        25818.00        64966.50
  1752        65-69            28260.51        19555.99        47816.50
  1752        70-74            19655.00        12677.50        32332.50
  1752        75-79             9315.49         5975.00        15290.49
  1752        80-84             6184.40         3606.02         9790.42
  1752        85-89             2426.38         1360.51         3786.89
  1752        90-94              784.17          439.18         1223.35
  1752        95-99              179.28          109.49          288.77
  1752       100-104              25.11           18.21           43.32
  1752       105-109               0.26            0.28            0.54
  1752       110+                  0.00            0.00            0.00
  1753           0             26931.50        27637.00        54568.50
  1753         1-4            100279.00        98768.50       199047.50
  1753         5-9             91459.00        90521.50       181980.50
  1753        10-14            87457.00        87528.50       174985.50
  1753        15-19            83604.99        78104.00       161708.99
  1753        20-24            82748.50        70771.00       153519.50
  1753        25-29            77180.01        69259.50       146439.51
  1753        30-34            68033.50        61164.99       129198.49
  1753        35-39            55982.49        51217.99       107200.48
  1753        40-44            52206.99        45857.00        98063.99
  1753        45-49            43304.50        37602.50        80907.00
  1753        50-54            44390.00        35943.51        80333.51
  1753        55-59            33404.50        24971.00        58375.50
  1753        60-64            37881.51        25375.50        63257.01
  1753        65-69            28513.50        19533.50        48047.00
  1753        70-74            19973.00        13009.00        32982.00
  1753        75-79             9561.50         6139.49        15700.99
