Taiwan, Population size (1-year)	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
     1970        0            187015.31       197145.20       384160.51
     1970      1-4            758890.60       804204.96      1563095.56
     1970      5-9           1015529.11      1067099.33      2082628.44
     1970     10-14           953042.48      1002563.81      1955606.29
     1970     15-19           830626.09       874702.99      1705329.08
     1970     20-24           513876.83       536272.19      1050149.02
     1970     25-29           464261.86       471356.44       935618.30
     1970     30-34           438042.50       435844.73       873887.23
     1970     35-39           385087.51       468020.05       853107.56
     1970     40-44           329833.71       488609.84       818443.55
     1970     45-49           269147.61       387217.29       656364.90
     1970     50-54           201824.46       273636.45       475460.91
     1970     55-59           175898.93       221423.82       397322.75
     1970     60-64           130999.90       145157.71       276157.61
     1970     65-69            91228.12        87762.60       178990.72
     1970     70-74            60761.96        49177.48       109939.44
     1970     75-79            35584.99        22676.02        58261.01
     1970     80-84            18482.01        10278.90        28760.91
     1970     85-89             7693.13         3465.44        11158.57
     1970     90-94             2409.36          833.79         3243.15
     1970     95-99              560.98          140.64          701.62
     1970    100-104              89.02           14.01          103.03
     1970    105-109               6.26            0.00            6.26
     1970    110+                  0.00            0.00            0.00
     1971        0            172337.90       184109.47       356447.37
     1971      1-4            747264.80       791020.49      1538285.29
     1971      5-9           1011795.44      1060307.87      2072103.31
     1971     10-14           965520.84      1016256.98      1981777.82
     1971     15-19           871036.33       922066.73      1793103.06
     1971     20-24           581785.84       606009.14      1187794.98
     1971     25-29           445551.17       454767.45       900318.62
     1971     30-34           446300.75       444882.91       891183.66
     1971     35-39           396286.11       449174.98       845461.09
     1971     40-44           342899.00       495631.51       838530.51
     1971     45-49           281517.83       409715.44       691233.27
     1971     50-54           211158.47       290562.10       501720.57
     1971     55-59           178700.50       230688.08       409388.58
     1971     60-64           137069.19       151985.56       289054.75
     1971     65-69            95700.36        93973.98       189674.34
     1971     70-74            63493.55        52350.95       115844.50
     1971     75-79            38065.55        24002.57        62068.12
     1971     80-84            18868.53        10655.87        29524.40
     1971     85-89             7896.21         3639.78        11535.99
     1971     90-94             2420.95          872.16         3293.11
     1971     95-99              550.06          146.28          696.34
     1971    100-104              85.62           14.85          100.47
     1971    105-109               6.88            0.00            6.88
     1971    110+                  0.00            0.00            0.00
     1972        0            182215.32       193144.79       375360.11
     1972      1-4            726924.27       769593.02      1496517.29
     1972      5-9            996257.71      1050638.69      2046896.40
     1972     10-14           971721.13      1019978.71      1991699.84
     1972     15-19           885844.93       935667.68      1821512.61
     1972     20-24           666314.38       697839.04      1364153.42
     1972     25-29           437288.07       451440.84       888728.91
     1972     30-34           452833.48       457817.27       910650.75
     1972     35-39           402510.00       436351.65       838861.65
     1972     40-44           352656.50       499380.60       852037.10
     1972     45-49           288209.36       428284.20       716493.56
     1972     50-54           226883.39       316028.44       542911.83
     1972     55-59           181424.49       243377.70       424802.19
     1972     60-64           146731.81       161394.29       308126.10
     1972     65-69           101727.65       101472.47       203200.12
     1972     70-74            69078.19        56409.55       125487.74
     1972     75-79            37965.08        25968.00        63933.08
     1972     80-84            19392.02        11065.65        30457.67
     1972     85-89             8123.15         3819.52        11942.67
     1972     90-94             2433.98          935.50         3369.48
     1972     95-99              525.98          162.66          688.64
     1972    100-104              78.08           17.98           96.06
     1972    105-109               6.63            0.00            6.63
     1972    110+                  0.00            0.00            0.00
     1973        0            175418.70       185502.06       360920.76
     1973      1-4            732516.55       775751.17      1508267.72
     1973      5-9            968312.06      1021709.63      1990021.69
     1973     10-14           981130.27      1033695.14      2014825.41
     1973     15-19           897809.27       944383.57      1842192.84
     1973     20-24           729054.36       763623.23      1492677.59
     1973     25-29           447567.55       468588.46       916156.01
     1973     30-34           458147.87       469736.73       927884.60
     1973     35-39           409294.00       432307.82       841601.82
     1973     40-44           361371.57       492265.35       853636.92
     1973     45-49           296337.17       450026.95       746364.12
     1973     50-54           238310.12       339201.51       577511.63
     1973     55-59           187703.21       246545.86       434249.07
     1973     60-64           155015.77       180423.19       335438.96
     1973     65-69           107600.60       109649.16       217249.76
     1973     70-74            73885.13        61518.15       135403.28
     1973     75-79            39694.94        28156.64        67851.58
     1973     80-84            20025.64        11525.39        31551.03
     1973     85-89             8415.70         4049.56        12465.26
     1973     90-94             2411.77          992.57         3404.34
     1973     95-99              470.98          168.29          639.27
     1973    100-104              59.22           16.39           75.61
